agency_code,pct_AIG_ELP,pct_ALL_ELP,pct_AM7_ELP,pct_AS7_ELP,pct_BL7_ELP,pct_EDS_ELP,pct_ELS_ELP,pct_FCS_ELP,pct_FEM_ELP,pct_HI7_ELP,pct_HMS_ELP,pct_MALE_ELP,pct_MIL_ELP,pct_MU7_ELP,pct_SWD_ELP,pct_WH7_ELP
860336,,47.6,,,,44.4,47.6,,,50.0,,42.9,,,,
860339,,51.7,,,,46.2,51.7,,75.0,50.0,,23.1,,,,
860340,,20.0,,,,21.4,20.0,,,21.4,,,,,,
860344,,57.4,,,,59.3,57.4,,44.4,58.5,,67.6,,,,
860352,,31.3,,,,32.2,31.3,,34.6,31.3,,28.9,,,18.8,
860356,,21.4,,,,21.4,21.4,,,21.4,,,,,,
860360,,62.9,,,,61.8,62.9,,63.2,66.7,,62.5,,,,
860LEA,,47.7,,,,47.0,47.7,,51.9,47.6,,44.7,,,31.8,50.0
861304,,40.5,,,,36.8,40.5,,33.3,41.0,,44.4,,,21.4,
861308,,7.7,,,,9.1,7.7,,,7.7,,,,,,
861LEA,,36.7,,,,35.2,36.7,,28.0,36.8,,42.9,,,20.0,
862308,,65.5,,,,66.7,65.5,,71.4,63.0,,60.0,,,,
862310,,47.5,,,,44.4,47.5,,47.1,48.6,,47.8,,,,
862312,,25.0,,,,25.0,25.0,,,25.0,,,,,,
862316,,7.1,,,,7.1,7.1,,,8.3,,,,,,
862LEA,,44.2,,,,42.7,44.2,,43.2,44.2,,45.1,,,45.0,
870LEA,,41.2,,,,42.9,41.2,,,41.2,,50.0,,,,
880304,,53.8,,,,50.0,53.8,,,50.0,,70.0,,,,
880318,,69.0,,,,73.1,69.0,,72.7,67.9,,66.7,,,,
880LEA,,57.1,,,,56.7,57.1,,51.9,58.1,,60.5,,,38.1,
890308,,55.2,,,,,55.2,,55.6,53.6,,54.5,,,,
890LEA,,48.6,,,,36.4,48.6,,47.8,50.0,,50.0,,,20.0,
900302,,75.0,,,,,75.0,,,,,80.0,,,,
900304,,57.5,,,,52.5,57.5,,54.4,57.5,,59.8,,,63.6,
900305,,60.0,,,,,60.0,,,,,,,,,
900306,,41.7,,,,45.5,41.7,,42.9,41.7,,40.8,,,36.0,
900307,,57.9,,,,55.8,57.9,,68.0,57.1,,50.0,,,35.7,
900308,,9.8,,,,11.5,9.8,,18.2,9.8,,5.1,,,5.0,
900312,,56.3,,,,,56.3,,,58.3,,,,,,
900314,,23.3,,,,21.6,23.3,,20.0,23.0,,26.4,,,8.6,
900316,,24.1,,,,23.7,24.1,,25.0,24.4,,23.7,,,23.3,
900318,,73.7,,,,75.0,73.7,,,,,70.0,,,,
900320,,55.6,,,,50.0,55.6,,66.7,50.0,,41.7,,,,63.6
