agency_code,crime,short_term,long_term,expulsion
110382,0.17,2.2,0.0,0.0
110384,0.44,14.19,0.0,0.0
110388,0.0,2.86,0.0,0.0
110401,0.34,19.13,0.0,0.0
110408,0.32,1.75,0.0,0.0
110410,0.0,2.38,0.0,0.0
110412,0.0,5.15,0.0,0.0
110416,0.95,6.82,0.0,0.0
110420,0.16,10.66,0.0,0.0
110422,0.0,0.39,0.0,0.0
110425,0.0,7.92,0.0,0.0
110428,0.0,3.07,0.0,0.0
110432,0.0,2.88,0.0,0.0
110436,0.0,0.71,0.0,0.0
110444,0.0,9.22,0.0,0.0
110450,0.0,15.42,0.0,0.0
110451,0.14,6.29,0.0,0.0
110500,0.0,0.68,0.0,0.0
110LEA,0.07,3.79,0.0,0.0
110LEA,1.38,17.96,0.04,0.0
110LEA,0.42,15.14,0.0,0.0
111302,0.93,22.6,1.55,0.0
111304,0.3,39.52,0.0,0.0
111306,0.19,8.71,0.0,0.0
111312,0.41,11.66,0.0,0.0
111332,0.0,7.23,0.0,0.0
111356,0.76,41.47,0.0,0.0
111360,0.22,12.04,0.0,0.0
111700,0.0,1.44,0.0,0.0
111LEA,0.22,14.13,0.0,0.0
111LEA,0.68,17.02,1.14,0.0
111LEA,0.76,41.47,0.0,0.0
111LEA,,,,
11A000,0.0,2.95,0.0,0.0
11B000,0.0,9.34,0.0,0.0
11C000,1.29,8.15,0.0,0.0
11D000,1.0,12.69,0.25,0.0
11K000,0.0,0.58,0.0,0.0
120304,0.0,9.04,0.0,0.0
120308,6.36,200.91,0.0,0.0
120310,0.0,0.0,0.0,0.0
120312,0.45,12.67,0.0,0.0
120314,3.13,22.68,0.0,0.0
120315,0.46,7.0,0.0,0.0
120316,0.47,5.85,0.0,0.0
120318,0.88,14.31,0.0,0.0
120320,0.0,0.3,0.0,0.0
120324,0.25,4.24,0.0,0.0
120334,0.21,12.4,0.0,0.0
120338,0.0,4.24,0.0,0.0
120340,0.0,2.83,0.0,0.0
120344,0.0,0.0,0.0,0.0
120346,1.05,4.63,0.0,0.0
120350,0.0,3.99,0.0,0.0
120352,0.0,1.14,0.0,0.0
120360,0.7,9.41,0.0,0.0
120364,0.0,1.73,0.0,0.0
120368,0.0,1.16,0.0,0.0
120370,2.45,5.21,0.11,0.0
120372,0.0,1.04,0.0,0.0
120374,0.0,0.82,0.0,0.0
120376,0.4,8.48,0.0,0.0
120380,0.0,1.54,0.0,0.0
120386,0.48,9.16,0.0,0.0
120390,0.0,5.34,0.0,0.0
120LEA,0.0,1.14,0.0,0.0
120LEA,0.16,4.24,0.0,0.0
120LEA,1.82,11.92,0.03,0.0
120LEA,0.23,7.34,0.0,0.0
120LEA,6.36,200.91,0.0,0.0
12A000,0.34,5.42,0.0,0.0
130304,0.0,3.55,0.0,0.0
130307,0.84,9.84,0.0,0.0
130308,0.33,16.01,0.0,0.0
130309,0.25,6.03,0.0,0.0
130310,0.6,18.73,0.0,0.0
130311,0.0,6.1,0.0,0.0
130312,0.19,1.05,0.0,0.0
130313,1.25,40.5,0.0,0.0
130314,1.12,18.01,0.0,0.0
130315,0.25,0.51,0.0,0.0
130316,0.85,21.83,0.0,0.0
130317,6.02,92.77,0.0,0.0
130318,1.06,16.94,0.0,0.0
130319,0.0,1.19,0.0,0.0
130320,0.0,6.32,0.0,0.0
130321,0.12,5.61,0.0,0.0
130322,0.3,1.97,0.0,0.0
130323,0.94,9.09,0.0,0.0
130324,0.7,7.79,0.0,0.0
130325,0.0,3.46,0.0,0.0
130326,0.49,17.72,0.0,0.0
130327,0.92,25.14,0.0,0.0
130328,0.0,10.36,0.0,0.0
130329,0.26,11.23,0.13,0.0
130330,0.0,6.67,0.0,0.0
130331,0.0,2.42,0.0,0.0
130332,0.65,8.91,0.0,0.0
130333,0.0,10.0,0.0,0.0
130336,0.0,1.14,0.0,0.0
130337,0.0,3.09,0.0,0.0
130338,0.2,6.73,0.0,0.0
130340,0.25,8.24,0.0,0.0
130342,0.14,25.38,0.0,0.0
130344,0.0,20.2,0.0,0.0
130345,0.0,1.9,0.0,0.0
130346,0.08,10.19,0.0,0.0
130349,0.0,0.0,0.0,0.0
130350,0.0,2.97,0.0,0.0
130355,0.0,12.98,0.0,0.0
130LEA,0.11,6.5,0.01,0.0
130LEA,0.72,14.33,0.0,0.0
130LEA,0.51,14.7,0.0,0.0
130LEA,2.46,43.84,0.0,0.0
132304,0.92,16.25,0.13,0.0
132308,0.0,6.45,0.0,0.0
132312,0.27,5.59,0.0,0.0
132328,0.0,9.25,0.0,0.0
132329,0.0,6.61,0.0,0.0
132330,1.14,36.71,1.14,0.0
132332,0.0,8.28,0.0,0.0
132336,0.0,6.98,0.0,0.0
132LEA,0.05,7.3,0.0,0.0
132LEA,0.92,16.25,0.13,0.0
132LEA,0.56,21.41,0.56,0.0
13A000,0.0,7.3,0.11,0.0
13B000,0.15,5.17,0.0,0.0
13C000,0.27,2.47,0.0,0.0
13D000,0.22,5.87,0.0,0.0
140304,0.0,1.96,0.0,0.0
140305,0.0,0.42,0.0,0.0
140306,3.85,109.62,1.92,0.0
140307,48.89,51.11,0.0,0.0
140308,0.0,2.02,0.0,0.0
140309,0.26,0.51,0.0,0.0
140312,0.0,7.4,0.0,0.0
140316,0.0,1.1,0.0,0.0
140324,0.0,4.1,0.0,0.0
140332,0.98,14.9,0.0,0.0
140336,1.84,3.35,0.0,0.0
140340,0.0,3.29,0.0,0.0
140344,1.2,8.03,0.0,0.0
140348,1.24,14.46,0.0,0.0
140352,0.0,2.23,0.0,0.0
140356,1.21,8.65,0.0,0.0
140360,0.56,6.7,0.0,0.0
140368,0.35,7.03,0.0,0.0
140372,0.0,2.14,0.0,0.0
140376,0.78,3.1,0.0,0.0
140384,0.3,8.96,0.0,0.0
140386,0.87,6.93,0.0,0.0
140388,0.66,15.23,0.0,0.0
140390,1.28,14.9,0.0,0.0
140392,1.86,18.01,0.0,0.0
140396,0.36,4.98,0.0,0.0
140LEA,0.61,5.12,0.0,0.0
140LEA,0.92,9.28,0.0,0.0
140LEA,0.55,4.76,0.0,0.0
140LEA,1.11,8.27,0.0,0.0
140LEA,3.85,109.62,1.92,0.0
150304,0.46,3.2,0.23,0.0
150308,0.0,3.58,0.0,0.0
150310,0.0,3.54,0.0,0.0
150312,0.35,5.24,0.0,0.0
150350,0.0,4.46,0.0,0.0
150LEA,0.0,3.56,0.0,0.0
150LEA,0.34,3.54,0.17,0.0
150LEA,0.35,5.24,0.0,0.0
160304,0.0,0.0,0.0,0.0
160306,0.49,3.42,0.0,0.0
160308,0.21,9.73,0.21,0.0
160309,7.14,132.14,0.0,0.0
160310,0.74,7.04,0.0,0.0
160311,0.76,8.99,0.0,0.0
160313,0.89,17.89,0.18,0.0
160314,1.49,15.92,0.11,0.0
160316,3.19,2.13,0.0,0.0
160317,0.0,3.33,0.0,0.0
160318,2.04,14.03,0.0,0.0
160322,0.0,0.73,0.0,0.0
160324,0.27,2.46,0.0,0.0
160326,0.24,6.55,0.24,0.0
160332,0.39,2.33,0.0,0.0
160344,1.58,30.9,0.0,0.0
160352,0.0,1.77,0.0,0.0
160LEA,7.14,132.14,0.0,0.0
160LEA,0.23,3.15,0.03,0.0
160LEA,1.4,23.18,0.08,0.0
160LEA,0.39,2.33,0.0,0.0
160LEA,0.96,9.38,0.06,0.0
160LEA,,,,
16B000,0.0,0.0,0.0,0.0
170316,1.35,31.65,0.12,0.0
170334,0.0,8.11,0.0,0.0
170338,1.03,37.95,0.0,0.0
170339,0.0,19.7,0.0,0.0
170342,0.0,6.57,0.0,0.0
170344,0.53,4.74,0.0,0.0
170LEA,0.08,10.4,0.0,0.0
170LEA,1.35,31.65,0.12,0.0
170LEA,1.03,37.95,0.0,0.0
180302,1.13,9.98,0.0,0.0
180304,0.48,1.12,0.0,0.0
180308,0.35,4.6,0.12,0.0
180312,0.0,10.14,0.0,0.0
180316,1.2,3.59,0.0,0.0
180320,0.86,10.96,0.0,0.0
180323,1.06,5.32,0.0,0.0
180324,0.24,1.43,0.0,0.0
180325,0.51,2.28,0.0,0.0
180326,0.22,3.24,0.0,0.0
180332,0.99,1.23,0.0,0.0
180336,0.18,1.09,0.0,0.0
180340,0.81,9.24,0.0,0.0
180342,0.0,14.96,0.0,0.0
180343,0.19,0.58,0.0,0.0
180344,0.59,4.54,0.0,0.0
180346,0.0,8.67,0.0,0.0
180348,2.03,16.67,0.0,0.0
180352,0.97,7.0,0.0,0.0
180356,0.0,3.34,0.13,0.0
180360,0.53,2.48,0.0,0.0
180364,0.43,8.51,0.0,0.0
180368,0.0,3.29,0.0,0.0
180372,0.0,5.44,0.0,0.0
180376,1.61,20.18,0.08,0.0
180379,0.0,5.06,0.0,0.0
180380,0.97,1.35,0.0,0.0
180388,0.25,5.09,0.0,0.0
180LEA,1.06,5.32,0.0,0.0
180LEA,0.37,3.18,0.01,0.0
180LEA,1.11,12.06,0.04,0.0
180LEA,0.53,9.95,0.0,0.0
180LEA,,,,
181312,0.0,18.54,0.17,0.0
181316,2.66,35.27,0.0,0.0
181318,0.0,20.0,0.0,0.0
181322,0.38,23.19,0.19,0.0
181326,0.0,2.44,0.0,0.0
181332,0.0,9.17,0.0,0.0
181336,0.27,3.5,0.0,0.0
181342,0.72,21.38,0.36,0.0
181344,0.0,4.19,0.0,0.0
181LEA,0.15,7.19,0.05,0.0
181LEA,0.38,23.19,0.19,0.0
181LEA,1.11,25.53,0.1,0.0
181LEA,0.0,20.0,0.0,0.0
182304,0.0,10.0,0.0,0.0
182316,2.24,17.52,0.0,0.0
182321,0.16,15.94,0.0,0.0
182322,0.0,2.77,0.0,0.0
182324,0.51,1.53,0.0,0.0
182328,0.0,1.84,0.0,0.0
182700,0.88,2.2,0.0,0.0
182LEA,0.0,10.0,0.0,0.0
182LEA,0.15,2.07,0.0,0.0
182LEA,1.93,14.0,0.0,0.0
182LEA,0.16,15.94,0.0,0.0
190304,0.0,1.9,0.0,0.0
190308,0.0,4.4,0.0,0.0
190310,3.03,18.18,0.0,0.0
190312,0.37,8.47,0.0,0.0
190316,1.5,15.79,0.0,0.0
190328,0.0,17.11,0.0,0.0
190332,0.0,7.77,0.0,0.0
190336,2.08,13.55,0.24,0.12
190339,0.47,4.52,0.0,0.0
190340,0.0,0.7,0.0,0.0
190341,0.19,2.61,0.0,0.0
190342,1.46,6.36,0.15,0.0
190346,0.0,1.84,0.0,0.0
190348,0.8,3.98,0.0,0.0
190350,0.76,2.12,0.0,0.0
