agency_code,pct_met_ACT WorkKeys_PART,pct_met_Biology_PART,pct_met_English II_PART,pct_met_High School Math_PART,pct_met_Math Grades 3-8_PART,pct_met_Reading Grades 3-8_PART,pct_met_Science Grades 5&8_PART,pct_met_The ACT_PART,pct_met_Total Targets_PART
11C000,,,,,100.0,100.0,100.0,,100.0
11D000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11K000,,,,,100.0,100.0,100.0,,100.0
120304,,,,,100.0,100.0,100.0,,100.0
120308,,,,,,,,0.0,0.0
120310,,100.0,,100.0,,,,100.0,100.0
120312,,,,,100.0,100.0,100.0,,100.0
120314,100.0,100.0,100.0,100.0,,,,100.0,100.0
120315,,,,,100.0,100.0,100.0,,100.0
120316,,,,,100.0,100.0,100.0,,100.0
120318,100.0,100.0,100.0,100.0,,,,80.0,95.5
120320,,,,,100.0,100.0,100.0,,100.0
120324,,,,,100.0,100.0,100.0,,100.0
120334,,,,,100.0,100.0,100.0,,100.0
120338,,,,,100.0,100.0,100.0,,100.0
120340,,,,,100.0,100.0,100.0,,100.0
120344,,,,,100.0,100.0,100.0,,100.0
120346,100.0,100.0,100.0,100.0,,,,100.0,100.0
120350,,,,,100.0,100.0,100.0,,100.0
120352,,,,,100.0,100.0,,,100.0
120360,,,,,100.0,100.0,100.0,,100.0
120364,,,,,100.0,100.0,100.0,,100.0
120368,,,,,100.0,100.0,100.0,,100.0
120370,100.0,100.0,100.0,100.0,,,,100.0,100.0
120372,,,,,100.0,100.0,100.0,,100.0
120374,,,,,100.0,100.0,100.0,,100.0
120376,,,,,100.0,100.0,100.0,,100.0
120380,,,,,100.0,100.0,100.0,,100.0
120386,,,,,100.0,100.0,100.0,,100.0
120390,,,,,100.0,100.0,100.0,,100.0
12A000,,,,,100.0,100.0,100.0,,100.0
130304,,,,,100.0,100.0,100.0,,100.0
130307,100.0,100.0,85.7,100.0,,,,100.0,96.0
130308,,,,,100.0,100.0,100.0,,100.0
130309,,,,,100.0,100.0,100.0,,100.0
130310,100.0,83.3,100.0,83.3,,,,100.0,92.9
130311,,,,,100.0,100.0,100.0,,100.0
130312,,,,,100.0,100.0,100.0,,100.0
130313,,,,,100.0,100.0,100.0,,100.0
130314,100.0,100.0,85.7,100.0,,,,100.0,96.4
130315,,,,,100.0,100.0,100.0,,100.0
130316,100.0,83.3,100.0,100.0,,,,66.7,89.3
130317,,,0.0,,50.0,50.0,,,40.0
130318,,,,,100.0,100.0,100.0,,100.0
130319,,,,,100.0,100.0,100.0,,100.0
130320,,,,,100.0,100.0,100.0,,100.0
130321,,,,,100.0,100.0,100.0,,100.0
130322,,,,,100.0,100.0,100.0,,100.0
130323,,,,,100.0,100.0,100.0,,100.0
130324,100.0,100.0,100.0,100.0,,,,100.0,100.0
130325,,,,,100.0,100.0,100.0,,100.0
130326,100.0,100.0,100.0,100.0,,,,100.0,100.0
130327,,,,,100.0,100.0,100.0,,100.0
130328,,,,,100.0,100.0,100.0,,100.0
130329,,,,,100.0,100.0,100.0,,100.0
130330,,,,,100.0,100.0,100.0,,100.0
130331,,,,,100.0,100.0,100.0,,100.0
130332,75.0,83.3,100.0,100.0,,,,50.0,81.5
130333,,0.0,,100.0,,,,0.0,33.3
130337,,,,,100.0,100.0,100.0,,100.0
130338,,,,,100.0,100.0,100.0,,100.0
130340,,,,,100.0,100.0,100.0,,100.0
130342,,,,,100.0,100.0,100.0,,100.0
