agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
180360,N,N,Y,Y
180364,N,N,Y,Y
180368,N,N,N,N
180372,N,N,Y,Y
180376,N,N,N,N
180379,N,N,N,N
180380,N,N,N,N
180388,N,N,Y,N
181312,N,N,Y,Y
181316,N,N,Y,Y
181318,N,N,N,N
181322,N,N,Y,Y
181326,N,N,Y,Y
181332,N,N,N,N
181336,N,N,N,N
181342,N,N,N,N
181344,N,N,Y,Y
182304,N,N,N,N
182316,N,N,Y,Y
182321,N,N,Y,Y
182322,N,N,N,N
182324,N,N,Y,Y
182328,N,N,Y,Y
182700,N,N,N,N
190304,N,N,Y,Y
190308,N,N,Y,Y
190310,N,N,N,N
190312,N,N,Y,Y
190316,N,N,Y,Y
190328,N,N,Y,Y
190332,N,N,Y,Y
190336,N,N,Y,Y
190339,N,N,Y,Y
190340,N,N,Y,Y
190341,N,N,Y,Y
190342,N,N,Y,Y
190346,N,N,Y,Y
190348,N,N,Y,Y
190350,N,N,Y,Y
190352,N,N,Y,Y
190370,N,N,Y,Y
190501,N,N,N,N
19A000,N,N,Y,Y
19B000,N,N,N,N
19C000,N,N,Y,Y
200304,N,N,N,N
200308,N,N,N,N
200310,N,N,Y,Y
200312,N,N,Y,Y
200314,N,N,N,N
200320,N,N,Y,Y
200322,N,N,N,N
200324,N,N,Y,Y
200328,N,N,Y,Y
200330,N,N,Y,Y
200332,N,N,N,N
200336,N,N,Y,Y
200350,N,N,N,N
20A000,N,N,Y,Y
210304,N,N,Y,Y
210306,N,N,Y,Y
210312,N,N,Y,Y
210316,N,N,Y,Y
220308,N,N,Y,Y
220310,N,N,N,N
220312,N,N,Y,Y
230304,N,N,Y,Y
230308,N,N,Y,Y
230312,N,N,Y,Y
230316,N,N,Y,Y
230320,N,N,Y,Y
230322,N,N,N,N
230324,N,N,Y,Y
230328,N,N,Y,Y
230330,N,Y,Y,Y
230334,N,N,N,N
230336,N,N,Y,Y
230340,N,N,Y,Y
230342,N,N,N,N
230344,N,N,Y,Y
230346,N,N,Y,Y
230348,N,N,Y,Y
230350,N,N,Y,Y
230351,N,N,Y,N
230352,N,N,Y,Y
230355,N,N,Y,Y
230357,N,N,Y,Y
230359,N,N,Y,Y
230361,N,N,Y,Y
230362,N,N,N,N
230364,N,N,Y,Y
230368,N,N,Y,Y
230370,N,N,Y,Y
230376,N,N,Y,Y
230380,N,N,Y,Y
23A000,N,N,Y,Y
240304,Y,N,N,N
240308,N,N,Y,Y
240328,N,N,N,N
240330,N,N,Y,Y
240332,N,N,Y,Y
240334,N,N,N,N
240344,N,N,Y,Y
240352,N,N,Y,N
240354,N,N,N,N
240356,N,N,Y,Y
240368,N,N,Y,Y
240370,N,N,N,N
240371,N,N,Y,Y
240372,N,N,Y,Y
240373,N,N,N,N
240376,N,N,Y,Y
240380,N,N,N,N
240388,N,N,Y,Y
241304,N,N,Y,Y
241308,N,N,N,N
241312,N,N,N,N
241316,N,N,Y,Y
241320,N,N,N,N
24B000,N,Y,N,N
24N000,N,N,Y,Y
250304,N,N,N,N
