agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only
790366,0,13,68,4.0
790378,3,42,91,10.0
790379,0,0,2,0.0
800340,3,41,64,8.0
800361,3,51,121,12.0
800376,0,14,52,2.0
800394,0,0,1,0.0
800396,1,23,61,2.0
800400,4,50,79,3.0
800408,3,43,107,8.0
810324,0,60,26,3.0
810340,1,78,31,2.0
810384,1,40,66,16.0
810385,0,0,23,2.0
810386,0,0,0,1.0
81A000,0,0,77,0.0
820324,0,7,20,0.0
820348,0,74,9,2.0
820349,0,38,27,9.0
820352,0,90,26,2.0
820388,0,44,30,3.0
821308,1,54,60,5.0
830343,1,93,104,5.0
830348,0,0,26,1.0
840302,0,1,4,0.0
840332,1,7,1,2.0
840356,3,4,0,4.0
840361,0,6,27,3.0
840368,2,2,1,3.0
840370,0,0,0,2.0
84B000,0,0,1,0.0
850332,0,39,19,20.0
850352,1,26,55,4.0
850358,4,40,66,11.0
860316,1,50,45,13.0
860336,5,61,45,19.0
860352,8,43,46,17.0
860354,0,11,42,2.0
861308,0,31,48,5.0
862312,0,22,53,3.0
870314,3,33,26,1.0
880308,2,72,37,5.0
880328,5,29,16,4.0
890304,1,6,3,8.0
900311,2,76,216,3.0
900316,1,30,55,2.0
900336,2,31,85,6.0
900342,2,68,205,11.0
900344,8,68,121,7.0
900348,7,77,172,10.0
900360,0,53,191,15.0
900365,1,0,0,0.0
900366,0,146,33,1.0
900367,0,0,1,1.0
900377,0,66,182,2.0
900393,0,77,297,12.0
90A000,0,4,94,0.0
910364,0,18,53,0.0
910368,0,0,1,2.0
910370,0,7,69,4.0
910382,0,0,29,0.0
920316,0,158,199,16.0
920317,0,96,223,8.0
920318,0,98,158,5.0
920348,0,67,218,7.0
920368,1,91,258,16.0
920386,0,0,17,1.0
920411,1,55,100,10.0
920412,0,86,277,5.0
920428,0,69,242,18.0
920436,0,63,226,9.0
920441,0,170,415,11.0
920445,0,115,202,8.0
920455,0,62,282,16.0
920466,0,51,152,9.0
920473,0,77,304,13.0
920495,0,81,277,9.0
920500,0,87,228,20.0
920526,0,196,297,3.0
920528,0,0,12,1.0
920546,0,62,174,10.0
920552,0,79,182,8.0
920556,0,0,1,1.0
920562,0,1,3,1.0
920581,0,22,6,1.0
920582,0,0,4,1.0
920583,0,0,4,0.0
920585,0,0,0,1.0
920586,0,0,1,0.0
920588,0,83,215,9.0
920595,0,65,243,5.0
92F000,0,0,106,0.0
92G000,0,0,64,1.0
92P000,0,1,23,4.0
92U000,0,0,37,0.0
930352,0,16,12,1.0
940308,0,5,7,1.0
940316,0,12,24,1.0
94Z000,0,2,0,0.0
950336,0,41,140,9.0
950338,4,36,19,8.0
960324,1,107,118,7.0
960330,0,41,83,7.0
960335,0,12,29,3.0
960372,0,40,41,7.0
960380,3,65,62,7.0
960386,0,51,39,3.0
960490,0,0,1,0.0
960700,0,6,19,0.0
970320,0,45,53,9.0
970356,14,67,38,8.0
970388,2,58,35,27.0
970390,9,66,35,13.0
970393,0,1,30,11.0
980318,43,2,0,1.0
980336,5,54,87,2.0
980342,0,60,102,3.0
990322,5,62,67,10.0
990326,2,34,48,10.0
995330,0,70,61,18.0
