agency_code,avg_size_00_SAR,avg_size_01_SAR,avg_size_02_SAR,avg_size_03_SAR,avg_size_04_SAR,avg_size_05_SAR,avg_size_06_SAR,avg_size_07_SAR,avg_size_08_SAR,avg_size_Biology_SAR,avg_size_English II_SAR,avg_size_Math I_SAR
130333,,,,,,,,,,6.0,6.0,
130336,19.0,19.0,19.0,,,,,,,,,
130337,,,,21.0,28.0,29.0,,,,,,
130338,19.0,19.0,19.0,19.0,30.0,28.0,,,,,,
130340,,,,,19.0,16.0,,,,,,
130342,,,,,20.0,21.0,,,,,,
130344,17.0,14.0,15.0,15.0,26.0,25.0,,,,,,
130345,20.0,20.0,19.0,21.0,29.0,30.0,,,,,,
130346,,,,,,,28.0,27.0,30.0,,,27.0
130349,,,,,,,,,,20.0,21.0,21.0
130350,,,,,,,,,,16.0,21.0,21.0
130355,,,,,,,28.0,27.0,28.0,,,25.0
130LEA,18.0,18.0,18.0,18.0,24.0,24.0,26.0,26.0,27.0,16.0,16.0,19.5
132304,,,,,,,,,,22.0,24.0,20.0
132308,17.0,20.0,18.0,20.0,22.0,22.0,,,,,,
132312,16.0,21.0,16.0,14.0,21.0,19.0,,,,,,
132314,17.0,17.0,18.0,19.0,17.0,17.0,,,,,,
132328,15.0,17.0,18.0,16.0,17.0,18.0,,,,,,
132330,,,,,,,21.0,21.0,19.0,,,25.0
132332,15.0,16.0,15.0,18.0,15.0,16.0,,,,,,
132336,14.0,14.0,20.0,15.0,19.0,19.0,,,,,,
132LEA,16.0,18.0,18.0,17.0,19.0,19.0,21.0,21.0,19.0,22.0,24.0,22.333333333333332
13A000,,,,,,,,,,18.0,13.0,18.0
13B000,,,,,,,,,,17.0,11.0,13.0
140304,22.0,17.0,17.0,16.0,20.0,24.0,,,,,,
140305,,,,,,,,,,9.0,10.0,21.0
140306,,,,,,,,11.0,,,6.0,5.0
140308,14.0,19.0,20.0,17.0,25.0,17.0,19.0,21.0,17.0,,,
140309,,,,,,,,,,25.0,21.0,21.0
140312,23.0,21.0,22.0,20.0,20.0,19.0,,,,,,
140316,18.0,17.0,19.0,19.0,21.0,20.0,,,,,,
140324,18.0,16.0,16.0,16.0,23.0,22.0,,,,,,
140332,,,,,,,21.0,19.0,22.0,,,
140336,,,,,,,23.0,26.0,25.0,,,22.0
140340,20.0,22.0,18.0,21.0,21.0,26.0,,,,,,
140344,16.0,18.0,16.0,22.0,15.0,22.0,30.0,27.0,19.0,,,
140348,,,,,,,,,,18.0,18.0,21.0
140352,19.0,17.0,18.0,16.0,19.0,29.0,,,,,,
140356,,,,,,,21.0,24.0,22.0,,,27.0
140360,19.0,18.0,18.0,20.0,20.0,21.0,14.0,16.0,13.0,,,
140368,,,,,,,22.0,24.0,23.0,,,27.0
140372,19.0,19.0,18.0,20.0,22.0,26.0,,,,,,
140376,17.0,16.0,16.0,51.0,13.0,14.0,11.0,13.0,18.0,,,
140384,17.0,16.0,14.0,20.0,20.0,18.0,,,,,,
140386,,,,,,,,,,19.0,18.0,17.0
140388,16.0,17.0,23.0,19.0,,26.0,,,,,,
140390,,,,,,,,,,19.0,19.0,15.0
140392,23.0,21.0,20.0,10.0,13.0,18.0,,,,,,
