agency_code,avg_size_00_SAR,avg_size_01_SAR,avg_size_02_SAR,avg_size_03_SAR,avg_size_04_SAR,avg_size_05_SAR,avg_size_06_SAR,avg_size_07_SAR,avg_size_08_SAR,avg_size_Biology_SAR,avg_size_English II_SAR,avg_size_Math I_SAR
360499,15.0,18.0,17.0,,,,,,,,,
360500,,,,,,,,,,,,23.0
360504,17.0,11.0,18.0,10.0,,,,,,,,
360510,11.0,18.0,12.0,12.0,,29.0,,,,,,
360514,,,,,,,,,23.0,,,36.0
360LEA,18.0,17.0,17.0,15.0,,29.0,,21.0,23.0,17.333333333333332,16.0,18.75
36B000,,,,,,,,,,15.0,20.0,20.0
36C000,,,,,,,,,,21.0,23.0,21.0
370304,20.0,14.0,18.0,15.0,22.0,14.0,,,,,,
370308,,,,,,,15.0,13.0,13.0,,,13.0
370312,,,,,,,,,,17.0,16.0,15.0
370316,17.0,20.0,13.0,14.0,14.0,15.0,,,,,,
370324,15.0,15.0,12.0,14.0,18.0,13.0,,,,,,
370LEA,17.0,16.0,14.0,14.0,18.0,14.0,15.0,13.0,13.0,17.0,16.0,14.0
380306,16.0,17.0,17.0,14.0,20.0,21.0,20.0,,,,,
380308,,,,,,,,,,16.0,16.0,16.0
380310,,,,,,,,14.0,12.0,,,
380LEA,16.0,17.0,17.0,14.0,20.0,21.0,20.0,14.0,12.0,16.0,16.0,16.0
390309,,,,,,,29.0,25.0,15.0,,,19.0
390311,17.0,21.0,17.0,19.0,25.0,24.0,,,,,,
390312,19.0,16.0,19.0,19.0,21.0,20.0,,,,,,
390316,15.0,18.0,18.0,17.0,20.0,23.0,,,,,,
390320,,,,,,,28.0,26.0,23.0,,,24.0
390322,,,,,,,,,,18.0,20.0,23.0
390323,,,,,,,,,,14.0,17.0,13.0
390324,,,,,,,,,,22.0,22.0,20.0
390331,,,,,,,26.0,26.0,25.0,,,23.0
390333,16.0,15.0,22.0,17.0,24.0,24.0,,,,,,
390334,,,,,,,24.0,25.0,,,,7.0
390336,17.0,21.0,18.0,18.0,18.0,20.0,,,,,,
390352,,,,,,,,,,25.0,23.0,21.0
390360,15.0,22.0,20.0,16.0,26.0,25.0,,,,,,
390362,18.0,22.0,19.0,18.0,25.0,23.0,,,,,,
390364,16.0,18.0,19.0,18.0,23.0,20.0,,,,,,
390368,18.0,21.0,17.0,14.0,26.0,27.0,,,,,,
390700,,,,,,,,,,15.0,11.0,25.0
390LEA,17.0,19.0,19.0,17.0,23.0,23.0,27.0,26.0,21.0,19.0,19.0,19.333333333333332
39A000,,,,,,,,,,14.0,15.0,15.0
39B000,,,,,,,,,,19.0,20.0,9.0
400308,,,,,,,,,,17.0,18.0,23.0
400312,,,,,,,26.0,25.0,25.0,,,28.0
400315,,,,,,,,,,15.0,19.0,11.0
400318,,,,,22.0,26.0,,,,,,
400321,17.0,20.0,,,,,,,,,,
400332,,,19.0,19.0,,,,,,,,
400LEA,17.0,20.0,19.0,19.0,22.0,26.0,26.0,25.0,25.0,16.0,19.0,22.0
410304,22.0,20.0,19.0,19.0,23.0,18.0,,,,,,
410307,17.0,18.0,20.0,19.0,21.0,21.0,,,,,,
410310,19.0,20.0,12.0,18.0,24.0,29.0,,,,,,
410311,,,,,,25.0,23.0,24.0,21.0,,,28.0
410313,,,,,,,24.0,25.0,27.0,,,22.0
410316,,,,,,,27.0,22.0,20.0,,,23.0
410319,,,,,,,,,,16.0,15.0,14.0
410322,17.0,19.0,19.0,13.0,22.0,16.0,,,,,,
410325,,,,,,,20.0,17.0,22.0,,,16.0
410326,,,,,,,,,,13.0,16.0,11.0
410328,18.0,20.0,20.0,17.0,20.0,19.0,,,,,,
410331,20.0,22.0,15.0,16.0,20.0,,,,,,,
410334,22.0,13.0,18.0,20.0,19.0,18.0,,,,,,
410337,22.0,22.0,21.0,20.0,22.0,19.0,,,,,,
410340,17.0,19.0,13.0,19.0,17.0,26.0,,,,,,
410341,,,,,,,24.0,25.0,25.0,,,30.0
410343,18.0,19.0,17.0,21.0,27.0,23.0,,,,,,
410346,22.0,17.0,17.0,21.0,23.0,27.0,,,,,,
410349,20.0,20.0,17.0,15.0,24.0,20.0,,,,,,
410355,,,,,,,,,,19.0,14.0,15.0
410358,,,,,,,,,,21.0,19.0,17.0
410361,,18.0,15.0,18.0,,27.0,,,,,,
410364,18.0,13.0,13.0,17.0,25.0,25.0,,,,,,
410366,21.0,19.0,14.0,18.0,27.0,23.0,,,,,,
410367,,,,,,,24.0,21.0,24.0,,,32.0
410370,19.0,19.0,20.0,19.0,25.0,24.0,,,,,,
410373,17.0,21.0,20.0,20.0,17.0,25.0,,,,,,
410376,20.0,18.0,21.0,18.0,26.0,,,,,,,
410382,18.0,18.0,20.0,22.0,21.0,29.0,,,,,,
410385,17.0,20.0,15.0,22.0,17.0,16.0,,,,,,
410388,20.0,18.0,19.0,10.0,21.0,24.0,,,,,,
410391,,,,,,,23.0,23.0,18.0,27.0,24.0,14.0
410394,,,,,,,,,,24.0,27.0,24.0
410395,,,,,,,,,,17.0,13.0,
410397,,,,,,,22.0,27.0,25.0,,,22.0
410398,,,,,,,15.0,15.0,14.0,,,10.0
410399,,,,,,,,,,13.0,14.0,13.0
410400,19.0,19.0,13.0,19.0,27.0,20.0,,,,,,
410401,,,,,,,,,,15.0,14.0,24.0
410402,,,,,,,19.0,21.0,19.0,,,29.0
410403,18.0,17.0,15.0,18.0,15.0,15.0,,,,,,
410406,,,,,,,,,,20.0,20.0,21.0
410407,,,,,,,,,,17.0,11.0,10.0
410408,,,,,,,,,,12.0,13.0,13.0
410409,17.0,20.0,16.0,16.0,19.0,25.0,,,,,,
410412,20.0,19.0,19.0,19.0,23.0,19.0,,,,,,
410415,,,,,,,21.0,18.0,18.0,,,23.0
410418,12.0,15.0,13.0,13.0,21.0,25.0,,,,,,
410421,,,,,,,29.0,28.0,28.0,,,30.0
410423,15.0,20.0,15.0,19.0,25.0,19.0,,,,,,
410424,18.0,21.0,21.0,19.0,12.0,26.0,,,,,,
410427,17.0,21.0,21.0,14.0,22.0,15.0,17.0,14.0,12.0,,,
410430,20.0,19.0,18.0,18.0,19.0,19.0,,,,,,
410436,15.0,19.0,17.0,17.0,24.0,25.0,,,,,,
410437,,,,,,,22.0,24.0,23.0,,,29.0
410439,14.0,14.0,11.0,13.0,12.0,10.0,,,,,,
410442,,,,,,,26.0,27.0,33.0,,,32.0
410448,,,,,20.0,31.0,22.0,21.0,18.0,,,26.0
410451,17.0,20.0,19.0,12.0,27.0,24.0,,,,,,
410454,13.0,,19.0,16.0,19.0,15.0,,,,,,
410460,,,,,,,24.0,25.0,24.0,,,26.0
410461,19.0,20.0,13.0,14.0,28.0,20.0,,,,,,
410462,21.0,21.0,19.0,18.0,25.0,19.0,,,,,,
410463,,,,,,,23.0,27.0,25.0,,,30.0
410466,22.0,19.0,16.0,17.0,31.0,28.0,,,,,,
410469,21.0,20.0,19.0,22.0,21.0,16.0,,,,,,
410472,17.0,21.0,18.0,19.0,25.0,25.0,,,,,,
410478,18.0,17.0,17.0,20.0,27.0,23.0,,,,,,
410481,23.0,21.0,20.0,20.0,18.0,19.0,,,,,,
410483,,,,,,,,,,,11.0,7.0
410484,,,,,,,,,,20.0,23.0,20.0
410486,19.0,19.0,20.0,21.0,27.0,23.0,,,,,,
410487,,,,,,,22.0,22.0,22.0,,,16.0
410488,,,,,,,28.0,28.0,26.0,,,26.0
410489,,,,,,,,,,27.0,23.0,23.0
410490,,,,,,,,,,28.0,26.0,24.0
410491,18.0,21.0,20.0,18.0,25.0,23.0,,,,,,
410493,,,,,,,25.0,30.0,28.0,,,28.0
410496,20.0,21.0,20.0,20.0,21.0,23.0,,,,,,
410499,16.0,18.0,17.0,17.0,26.0,22.0,,,,,,
410502,15.0,20.0,19.0,17.0,17.0,17.0,,,,,,
410505,22.0,21.0,20.0,18.0,27.0,28.0,,,,,,
410508,,,,,,,,,,24.0,17.0,13.0
410511,18.0,17.0,16.0,16.0,16.0,18.0,,,,,,
410514,19.0,18.0,15.0,12.0,22.0,22.0,,,,,,
410517,16.0,16.0,20.0,17.0,14.0,,,,,,,
410522,21.0,18.0,21.0,16.0,17.0,19.0,,,,,,
410523,17.0,17.0,20.0,18.0,21.0,25.0,,,,,,
410529,,,,,,,,,,21.0,18.0,16.0
410530,19.0,11.0,18.0,17.0,27.0,20.0,,,,,,
410532,19.0,19.0,19.0,20.0,25.0,28.0,,,,,,
410533,,,,,,,,,,,,5.0
410535,17.0,21.0,17.0,16.0,26.0,22.0,,,,,,
410538,21.0,18.0,19.0,18.0,23.0,24.0,,,,,,
410541,18.0,19.0,21.0,20.0,21.0,22.0,,,,,,
410542,19.0,19.0,17.0,19.0,29.0,23.0,,,,,,
410544,,,,,,,,,,19.0,16.0,13.0
410545,,,,,,,,,,14.0,14.0,14.0
410547,,,,,,,,,,27.0,21.0,16.0
410550,,,,,,,25.0,29.0,26.0,,,27.0
410553,23.0,17.0,16.0,20.0,28.0,18.0,,,,,,
410556,,,,,,,,,,21.0,22.0,17.0
410559,19.0,19.0,18.0,20.0,24.0,24.0,,,,,,
410562,,,,,,,,,,26.0,21.0,16.0
410565,,,,,,,25.0,27.0,25.0,,,29.0
410568,17.0,20.0,17.0,18.0,21.0,27.0,,,,,,
410569,,,,,,,,,,16.0,,
410571,21.0,19.0,19.0,19.0,24.0,26.0,,,,,,
410574,18.0,21.0,21.0,18.0,27.0,26.0,,,,,,
410577,17.0,20.0,20.0,21.0,25.0,23.0,,,,,,
410578,12.0,20.0,18.0,20.0,18.0,23.0,,,,,,
410579,,,,,,,,,,17.0,17.0,12.0
410580,18.0,19.0,17.0,19.0,24.0,22.0,,,,,,
410583,16.0,17.0,21.0,18.0,16.0,,,,,,,
410586,,21.0,17.0,17.0,24.0,19.0,,,,,,
410589,,,,,,,,,,21.0,21.0,11.0
410592,,,,,,,22.0,19.0,18.0,,,6.0
410595,,,,,,,,,17.0,24.0,26.0,28.0
410598,17.0,16.0,17.0,17.0,,17.0,,,,,,
410LEA,17.666666666666668,19.666666666666668,19.0,16.666666666666668,21.666666666666668,23.0,21.0,20.6,18.333333333333332,22.333333333333332,20.0,17.833333333333332
41B000,,,,,,,,,,,,27.0
41D000,,,,,,,,,,,,16.0
41F000,,,,,,,,,,17.0,17.0,19.0
41G000,,,,,,,,,,18.0,20.0,18.0
41H000,,,,,,,,,,25.0,14.0,12.0
41J000,,,,,,,,,,,,27.0
41K000,,,,,,,,,,22.0,17.0,18.0
420304,10.0,17.0,16.0,22.0,22.0,15.0,,,,,,
420316,,,,,19.0,26.0,,,,,,
420324,,,,,,,17.0,16.0,24.0,,,21.0
420328,,,,,23.0,18.0,,,,,,
420336,16.0,15.0,18.0,15.0,11.0,17.0,,,,,,
420340,17.0,14.0,21.0,16.0,25.0,19.0,,,,,,
420346,,,,,,,,,,14.0,15.0,14.0
420348,,,,,21.0,17.0,,,,,,
420358,,,,,,,,,,10.0,16.0,14.0
420376,,,,,,,14.0,15.0,14.0,,,14.0
420LEA,14.0,15.0,18.0,18.0,20.0,19.0,16.0,16.0,19.0,12.0,15.5,16.0
421304,15.0,14.0,17.0,13.0,15.0,17.0,,,,,,
421306,,,,,,,22.0,22.0,22.0,,,17.0
421316,,,,,,,,,,18.0,17.0,21.0
421328,17.0,13.0,12.0,20.0,19.0,24.0,,,,,,
421LEA,16.0,14.0,15.0,17.0,17.0,21.0,22.0,22.0,22.0,18.0,17.0,19.0
422310,,,,,,,,,,11.0,19.0,15.0
422314,,,,,17.0,,,,,,,
422315,,,,,,,,,,22.0,20.0,17.0
422318,,,,,,16.0,13.0,16.0,,,,14.0
422LEA,,,,,17.0,16.0,13.0,16.0,,16.5,19.5,15.333333333333334
42A000,,,,,,,,,,,,12.0
430304,18.0,20.0,19.0,,,,,,,,,
430308,,,,20.0,21.0,25.0,,,,,,
430312,19.0,18.0,12.0,11.0,19.0,15.0,,,,,,
430316,17.0,12.0,19.0,19.0,19.0,18.0,,,,,,
430320,20.0,22.0,20.0,18.0,24.0,29.0,,,,,,
430328,18.0,19.0,18.0,19.0,16.0,24.0,,,,,,
430330,,,,,,,25.0,21.0,21.0,,,23.0
430332,,,,,,,19.0,17.0,19.0,,,23.0
430336,,,,22.0,18.0,17.0,,,,,,
430340,22.0,22.0,20.0,,,,,,,,,
430341,,,,,,,,,,16.0,15.0,
430344,18.0,19.0,16.0,14.0,,,,,,,,
430345,,,,,,,,,11.0,13.0,10.0,14.0
430346,,,,,,,,,,24.0,25.0,23.0
430347,,,,,,,20.0,20.0,20.0,,,29.0
430348,18.0,19.0,17.0,17.0,13.0,13.0,,,,,,
430349,15.0,20.0,20.0,15.0,27.0,20.0,,,,,,
430351,,,,,,,24.0,26.0,22.0,,,22.0
430352,21.0,19.0,14.0,19.0,22.0,20.0,,,,,,
430358,16.0,18.0,20.0,18.0,26.0,26.0,,,,,,
430368,19.0,21.0,20.0,,,,,,,,,
430369,20.0,21.0,21.0,20.0,23.0,22.0,,,,,,
430370,,,,,,,24.0,22.0,22.0,,,25.0
430371,,,,,,,,,,19.0,24.0,20.0
430376,,,,16.0,21.0,18.0,,,,,,
430378,,,,,,,,,,19.0,20.0,19.0
430380,,,,,19.0,20.0,,,,,,
430384,,,,,,,,,,24.0,18.0,16.0
430386,,,,,,,26.0,25.0,22.0,,,24.0
430LEA,19.0,19.0,18.0,18.0,21.0,21.0,23.0,22.0,17.333333333333332,17.333333333333332,16.333333333333332,20.0
440314,20.0,17.0,20.0,19.0,19.0,21.0,,,,,,
440318,,,,,,,16.0,17.0,19.0,,,23.0
440320,,,,,,,20.0,15.0,20.0,,,22.0
440326,,,,,,,,,,12.0,8.0,6.0
440328,20.0,16.0,20.0,19.0,22.0,17.0,,,,,,
440332,18.0,20.0,15.0,18.0,16.0,17.0,,,,,,
440346,,,,,,,,,,22.0,12.0,6.0
440348,20.0,22.0,19.0,22.0,25.0,22.0,,,,,,
440349,19.0,18.0,20.0,19.0,17.0,22.0,,,,,,
440350,20.0,21.0,17.0,17.0,26.0,20.0,,,,,,
440364,18.0,20.0,15.0,16.0,22.0,19.0,,,,,,
440368,20.0,21.0,15.0,15.0,15.0,20.0,,,,,,
440378,,,,,,,,,,18.0,19.0,16.0
440390,,,,,,,,,,19.0,17.0,19.0
440396,,,,,,,21.0,19.0,19.0,,,28.0
440LEA,19.0,19.0,18.0,18.0,20.0,20.0,19.0,17.0,19.0,18.0,14.5,17.666666666666668
44A000,,,,,,,,,,,,7.0
450301,,,,,,,23.0,22.0,20.0,,,28.0
450302,19.0,20.0,17.0,22.0,19.0,25.0,,,,,,
450306,17.0,16.0,15.0,16.0,19.0,19.0,,,,,,
450307,19.0,18.0,18.0,17.0,27.0,29.0,,,,,,
450308,21.0,16.0,19.0,17.0,18.0,25.0,,,,,,
450316,,,,,,,,,,21.0,18.0,20.0
450322,17.0,19.0,15.0,21.0,23.0,24.0,,,,,,
450324,17.0,18.0,22.0,16.0,20.0,22.0,,,,,,
450328,,,,,,,23.0,21.0,23.0,,,24.0
450332,20.0,16.0,17.0,15.0,18.0,23.0,,,,,,
450333,18.0,21.0,21.0,20.0,22.0,22.0,,,,,,
450334,,,,,,,,,,26.0,26.0,24.0
450335,,,,,,,22.0,22.0,19.0,,,29.0
450336,18.0,18.0,16.0,18.0,25.0,24.0,,,,,,
450339,19.0,22.0,21.0,17.0,23.0,25.0,,,,,,
450340,18.0,19.0,17.0,18.0,23.0,24.0,,,,,,
450341,,,,,,,,,,16.0,18.0,16.0
450342,,,,,,,23.0,24.0,24.0,,,30.0
450343,,,,,,,,,,10.0,12.0,8.0
450344,21.0,18.0,15.0,19.0,19.0,,,,,,,
450346,17.0,16.0,18.0,18.0,24.0,25.0,,,,,,
450352,,,,,,,,,,24.0,24.0,23.0
450354,,,,,,,,,,12.0,24.0,12.0
450LEA,19.0,18.0,18.0,18.0,22.0,24.0,23.0,22.0,22.0,16.0,18.0,19.0
460308,,,,,18.0,25.0,,,,,,
460312,16.0,13.0,10.0,15.0,,,,,,,,
460318,,,,,,,24.0,25.0,24.0,,,
460320,,,,,,,,,,16.0,18.0,24.0
460322,,,,,,,,,,25.0,24.0,15.0
460332,17.0,16.0,17.0,19.0,19.0,17.0,,,,,,
460340,,,,,,,,,,13.0,13.0,11.0
460LEA,17.0,15.0,14.0,17.0,19.0,21.0,24.0,25.0,24.0,18.0,18.0,17.5
470310,22.0,20.0,18.0,17.0,13.0,19.0,,,,,,
470312,,,,,,,,,,17.0,19.0,19.0
470316,23.0,17.0,15.0,15.0,,,,,,,,
470320,,,,,,,19.0,21.0,14.0,,,16.0
470328,19.0,18.0,10.0,,16.0,22.0,,,,,,
470330,19.0,15.0,16.0,13.0,17.0,18.0,,,,,,
470332,,,,,,,22.0,16.0,20.0,,,22.0
470336,21.0,20.0,20.0,16.0,17.0,14.0,,,,,,
470340,19.0,20.0,19.0,18.0,19.0,21.0,,,,,,
470342,,,,,,,,,,8.0,10.0,8.0
470346,12.0,17.0,11.0,13.0,17.0,16.0,,,,,,
470441,18.0,14.0,17.0,15.0,16.0,14.0,,,,,,
470442,,,,,,,21.0,18.0,17.0,,,20.0
470443,,,,,,,,,,14.0,17.0,13.0
470LEA,19.0,18.0,16.0,15.0,16.0,18.0,21.0,18.0,17.0,12.666666666666666,14.666666666666666,15.0
480306,19.0,14.0,20.0,16.0,15.0,15.0,,,,,,
480316,12.0,,12.0,16.0,12.0,17.0,15.0,,,11.0,7.0,
480318,,,,,,,14.0,14.0,,18.0,12.0,11.0
480LEA,15.666666666666666,14.0,16.0,16.0,13.666666666666666,16.0,14.666666666666666,14.0,,14.666666666666666,9.666666666666666,11.0
490307,,,,,,,,,,,27.0,14.0
490308,,,,,,,24.0,25.0,25.0,,,24.0
490310,,,,,,,,,,13.0,8.0,
490312,20.0,17.0,17.0,16.0,20.0,24.0,,,,,,
490316,21.0,16.0,21.0,18.0,24.0,22.0,,,,,,
490318,18.0,20.0,21.0,22.0,21.0,24.0,,,,,,
490319,18.0,20.0,18.0,20.0,20.0,21.0,,,,,,
490320,,,,,,,,,,14.0,18.0,13.0
490324,20.0,19.0,20.0,11.0,21.0,24.0,,,,,,
490326,18.0,20.0,19.0,18.0,19.0,25.0,,,,,,
490327,,,,,,,19.0,20.0,20.0,,,23.0
490332,22.0,19.0,18.0,19.0,23.0,19.0,,,,,,
490335,,,,,,,,,,25.0,31.0,33.0
490336,20.0,23.0,22.0,20.0,26.0,22.0,,,,,,
490337,20.0,18.0,18.0,21.0,26.0,27.0,,,,,,
490338,,,,,,,27.0,30.0,25.0,,,32.0
490344,,,,,,,24.0,24.0,24.0,,,28.0
490345,,,,,20.0,11.0,,,,,,
490346,,,,,,,,,,23.0,22.0,17.0
490347,,,,,,,20.0,21.0,20.0,,,21.0
490348,23.0,21.0,21.0,17.0,18.0,23.0,,,,,,
490349,,,,,,,24.0,22.0,20.0,,,25.0
490350,,,,,,,,,,7.0,7.0,9.0
490352,,,,,,,16.0,17.0,18.0,,,20.0
490354,,,,,,,,,,17.0,18.0,16.0
490355,,,,,,,,,,16.0,22.0,22.0
490356,21.0,19.0,16.0,21.0,27.0,27.0,,,,,,
490360,18.0,19.0,20.0,19.0,25.0,21.0,,,,,,
490362,,,,,,,,,,25.0,23.0,23.0
490363,18.0,22.0,21.0,18.0,22.0,23.0,,,,,,
490364,19.0,19.0,21.0,22.0,26.0,19.0,,,,,,
490366,,,,,,,21.0,29.0,21.0,,,28.0
490368,21.0,18.0,18.0,14.0,10.0,13.0,,,,,,
490380,,,,,,,,,,20.0,17.0,13.0
490384,,,,,,,19.0,18.0,21.0,,,26.0
490390,20.0,21.0,20.0,21.0,23.0,28.0,,,,,,
490LEA,20.0,19.0,19.0,19.0,22.0,22.0,22.0,23.0,22.0,14.5,14.25,18.5
491303,,,,,22.0,27.0,27.0,,,,,
491306,,,,,21.0,22.0,24.0,,,,,
491308,,,,,,,,27.0,25.0,,,27.0
491312,,,,,,,,,,21.0,22.0,21.0
491316,20.0,19.0,16.0,17.0,,,,,,,,
491318,18.0,18.0,16.0,18.0,,,,,,,,
491320,16.0,19.0,17.0,17.0,,,,,,,,
491LEA,18.0,19.0,16.0,17.0,22.0,25.0,26.0,27.0,25.0,21.0,22.0,23.666666666666668
49B000,,,,,,,,,,,,18.0
49E000,,,,,,,,,,21.0,17.0,19.0
49F000,,,,,,,,,,23.0,16.0,14.0
500302,,,,,,,,10.0,19.0,12.0,24.0,18.0
500304,15.0,19.0,23.0,16.0,22.0,23.0,20.0,20.0,12.0,,,8.0
500314,20.0,21.0,17.0,21.0,22.0,24.0,19.0,18.0,18.0,,,24.0
500316,23.0,11.0,21.0,16.0,20.0,30.0,28.0,,,,,
500323,,,,,,,,,,10.0,11.0,11.0
500324,,,,,,,,,,8.0,8.0,15.0
500332,18.0,19.0,22.0,23.0,25.0,20.0,20.0,18.0,13.0,,,6.0
500337,18.0,14.0,19.0,19.0,,21.0,16.0,13.0,11.0,,,7.0
500340,,,,,,,,,,25.0,20.0,19.0
500LEA,20.0,15.333333333333334,20.333333333333332,18.333333333333332,21.666666666666668,25.333333333333332,22.666666666666668,14.333333333333334,16.0,13.25,16.0,14.6
50Z000,,,,,,,,,,,,7.0
510308,20.0,19.0,14.0,18.0,21.0,,,,,,,
510310,,,,,,22.0,22.0,28.0,23.0,,,29.0
510324,,,,,,,,,,24.0,25.0,21.0
510325,,,,,,,,,,10.0,13.0,11.0
510326,18.0,20.0,18.0,16.0,27.0,20.0,,,,,,
510327,,,,,,,,,,24.0,25.0,25.0
510328,19.0,18.0,17.0,19.0,28.0,25.0,,,,,,
510329,,,,,,,28.0,24.0,28.0,,,29.0
510330,,,,,25.0,24.0,,,,,,
510332,20.0,20.0,20.0,16.0,20.0,19.0,,,,,,
510333,,,,,,,,,,28.0,26.0,26.0
510334,19.0,18.0,17.0,19.0,24.0,25.0,,,,,,
510336,16.0,17.0,19.0,19.0,24.0,19.0,,,,,,
510340,18.0,17.0,18.0,17.0,23.0,22.0,,,,,,
510342,,,,,,,18.0,24.0,19.0,,,24.0
510343,20.0,13.0,13.0,13.0,19.0,19.0,,,,,,
510344,,,,,,,25.0,28.0,23.0,,,28.0
510356,15.0,17.0,16.0,16.0,24.0,22.0,,,,,,
510358,16.0,19.0,18.0,20.0,24.0,22.0,,,,,,
510359,,,,,,,22.0,27.0,27.0,,,29.0
510360,17.0,13.0,20.0,16.0,22.0,22.0,20.0,22.0,19.0,,,25.0
510364,,,,,,,27.0,29.0,27.0,,,28.0
510367,,,,,,,,,,12.0,15.0,10.0
510368,,,,,,,,,,23.0,23.0,18.0
510372,16.0,15.0,14.0,13.0,20.0,17.0,,,,,,
510373,17.0,19.0,19.0,18.0,24.0,21.0,,,,,,
510374,17.0,14.0,18.0,18.0,23.0,26.0,,,,,,
510376,,,,,,,23.0,28.0,24.0,26.0,18.0,23.0
510377,15.0,17.0,19.0,19.0,25.0,25.0,,,,,,
510378,17.0,18.0,16.0,19.0,24.0,25.0,,,,,,
510379,,,,,,,24.0,25.0,24.0,,,26.0
510382,,,,,,,31.0,,,,,
510388,14.0,15.0,13.0,17.0,22.0,,,,,,,
510390,,,,,,23.0,17.0,19.0,16.0,,,13.0
510396,13.0,19.0,17.0,17.0,14.0,14.0,,,,,,
510397,,,,,,,17.0,21.0,19.0,,,31.0
510399,,,,,,,,,,22.0,21.0,20.0
510402,,,,,,,,,,13.0,12.0,24.0
510404,16.0,16.0,15.0,17.0,17.0,20.0,,,,,,
510406,,,,,,,,,,18.0,20.0,23.0
510408,16.0,15.0,17.0,17.0,27.0,30.0,,,,,,
510410,16.0,14.0,14.0,12.0,24.0,24.0,,,,,,
510411,,,,,,,24.0,23.0,21.0,,,30.0
510412,,,,,,,22.0,23.0,24.0,,,31.0
510414,19.0,18.0,18.0,19.0,24.0,22.0,,,,,,
510LEA,17.0,15.666666666666666,18.0,16.666666666666668,22.666666666666668,22.25,22.25,25.0,22.25,21.666666666666668,19.333333333333332,23.8
51A000,,,,,,,,,,15.0,20.0,21.0
520304,18.0,12.0,15.0,,23.0,18.0,11.0,,,,,
520308,16.0,23.0,19.0,23.0,17.0,12.0,15.0,,,,,
520320,,,,,,,,,,15.0,16.0,20.0
520324,,,,,,,,,,,,13.0
520328,21.0,16.0,19.0,20.0,19.0,24.0,,,,,,
520336,13.0,14.0,15.0,17.0,11.0,25.0,16.0,,,,,
520LEA,17.0,16.0,17.0,20.0,18.0,20.0,14.0,,,15.0,16.0,16.666666666666668
530302,16.0,17.0,17.0,17.0,18.0,20.0,,,,,,
530306,,,,,,,,,,6.0,6.0,7.0
530308,17.0,20.0,14.0,12.0,19.0,20.0,,,,,,
530312,15.0,18.0,,16.0,20.0,18.0,,,,,,
530314,,,,,,,22.0,17.0,20.0,,,21.0
530320,17.0,12.0,19.0,18.0,15.0,20.0,,,,,,
530335,,,,,,,,,,17.0,21.0,17.0
530336,,,,,,,,,,15.0,18.0,20.0
530340,19.0,18.0,18.0,19.0,21.0,22.0,,,,,,
530341,,,,,,,24.0,24.0,20.0,,,17.0
530343,,,,,,,,,,16.0,17.0,21.0
530346,17.0,17.0,17.0,14.0,20.0,16.0,,,,,,
530354,18.0,19.0,18.0,19.0,18.0,23.0,,,,,,
530356,,,,,,,18.0,23.0,20.0,,,32.0
530LEA,17.0,17.0,17.0,16.0,19.0,20.0,21.0,21.0,20.0,12.0,13.666666666666666,17.0
540304,22.0,18.0,17.0,16.0,,,,,,,,
540308,19.0,19.0,17.0,18.0,18.0,22.0,22.0,24.0,22.0,,,20.0
540312,,,,,,,26.0,28.0,23.0,,,17.0
540315,,,,,,,,,,14.0,18.0,23.0
540316,17.0,19.0,17.0,15.0,15.0,18.0,,,,,,
540317,,,,,,,,,,10.0,13.0,13.0
540318,,,,,,,,,,7.0,7.0,8.0
540320,16.0,17.0,19.0,15.0,19.0,19.0,,,,,,
540324,,,,,,,,,,22.0,20.0,22.0
540325,19.0,17.0,20.0,18.0,17.0,19.0,,,,,,
540326,15.0,20.0,15.0,15.0,21.0,20.0,,,,,,
540328,21.0,18.0,21.0,17.0,,,,,,,,
540330,,,,,,,21.0,22.0,26.0,,,19.0
540336,,,,,,,,,,16.0,21.0,18.0
540338,16.0,19.0,15.0,16.0,,13.0,,,,,,
540340,17.0,15.0,19.0,13.0,,17.0,,,,,,
540344,,,,,,,25.0,22.0,23.0,,,26.0
540LEA,18.333333333333332,18.333333333333332,17.666666666666668,16.666666666666668,18.0,19.333333333333332,23.333333333333332,24.0,23.333333333333332,12.333333333333334,13.666666666666666,17.4
550308,,,,,,,,,,5.0,9.0,
550312,17.0,15.0,20.0,,,,,,,,,
550314,18.0,20.0,17.0,21.0,23.0,24.0,,,,,,
550316,17.0,15.0,19.0,16.0,26.0,,,,,,,
550320,,,,,,,,,,21.0,21.0,20.0
550322,,,,,,,24.0,26.0,26.0,,,31.0
550324,,,,14.0,,,,,,,,
550328,19.0,18.0,16.0,21.0,21.0,20.0,,,,,,
550332,,,,,,,,,,18.0,19.0,18.0
550334,,,,,,,19.0,21.0,15.0,,,20.0
550336,22.0,18.0,12.0,14.0,23.0,21.0,,,,,,
550340,23.0,16.0,19.0,20.0,22.0,19.0,,,,,,
550342,18.0,18.0,19.0,18.0,20.0,21.0,,,,,,
550344,,,,,,,,,,20.0,23.0,23.0
550348,20.0,13.0,18.0,,,,,,,,,
550349,,,,20.0,21.0,21.0,,,,,,
550350,,,,,,,22.0,22.0,25.0,,,24.0
550356,19.0,22.0,21.0,22.0,22.0,33.0,,,,,,
550360,19.0,14.0,19.0,15.0,17.0,,,,,,,
550362,21.0,18.0,17.0,20.0,26.0,20.0,,,,,,
550364,18.0,18.0,15.0,19.0,20.0,25.0,,,,,,
