agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
960340,28.6,
960348,36.5,
960360,34.1,
960372,,41.9
960374,31.9,
960380,,15.2
960386,,31.1
960387,33.7,
960488,5.0,5.9
960490,,62.5
960700,71.4,60.0
96C000,7.4,
96F000,25.4,
970315,53.1,
970320,,39.8
970322,56.9,
970356,,27.1
970358,49.7,
970388,,31.4
970389,50.3,
970390,,38.0
970393,,73.6
97D000,29.4,
980317,20.7,
980318,,22.4
980324,53.1,
980336,,23.9
980338,42.9,
980342,,23.7
980380,47.4,
980384,52.4,
980390,32.6,
980397,,41.0
980398,,58.5
98A000,51.0,
98B000,53.0,38.1
990304,61.2,
990308,50.0,
990312,35.1,
990316,41.0,
990320,51.5,
990322,,35.4
990324,34.7,
990326,,38.9
990328,51.0,
990332,,76.1
990336,30.1,
995316,66.7,
995324,58.2,
995330,,48.6
NC-SEA,48.0,39.6
