District Name,unit_code,School Name,State Board Region,SPG Grade,SPG Score,Reading SPG Grade,Reading SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing Math III,4-Year Cohort Graduation Rate Score,State Gap Compared
Beaufort County Schools,070308,Bath Elementary,Northeast Region,B,72.0,69.0,C,68.0,C,Met,83.1,69,65,66,82,100,,,,,,,
Beaufort County Schools,070310,B C Ed Tech Center,Northeast Region,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast Region,A,92.0,,,,,Exceeded,86.2,94,,,,91,90,93,89,,100,100,N
Beaufort County Schools,070325,Chocowinity Middle,Northeast Region,D,52.0,54.0,D,50.0,D,NotMet,53.4,52,53,46,57,100,,,,,,,
Beaufort County Schools,070326,Chocowinity Primary,Northeast Region,B,76.0,74.0,B,78.0,B,Met,75.9,76,72,80,,,,,,,,,
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast Region,C,61.0,59.0,C,58.0,C,Exceeded,87.6,55,52,58,,,,,,,,,
Beaufort County Schools,070328,John Small Elementary,Northeast Region,C,63.0,58.0,C,62.0,C,Met,83.2,58,53,57,71,,,,,,,,
Beaufort County Schools,070329,Northeast Elementary,Northeast Region,C,58.0,53.0,D,55.0,C,Met,78.5,52,47,49,71,100,,,,,,,
Beaufort County Schools,070330,Northside High,Northeast Region,C,64.0,,,,,NotMet,55.8,66,,,,36,59,46,67,83,100,89,
Beaufort County Schools,070338,P S Jones Middle,Northeast Region,C,56.0,51.0,D,49.0,D,Exceeded,89.6,47,43,39,69,100,,,,,,,
Beaufort County Schools,070339,Southside High,Northeast Region,D,51.0,,,,,NotMet,57.9,49,,,,40,35,24,38,62,94,88,
Beaufort County Schools,070340,S W Snowden Elementary,Northeast Region,D,47.0,52.0,D,33.0,F,Met,81.3,38,44,22,76,,,,,,,,
Beaufort County Schools,070342,Washington High,Northeast Region,D,52.0,,,,,NotMet,53.5,52,,,,29,40,37,53,57,100,81,
Bertie County Schools,080311,Bertie Early College High,Northeast Region,A,86.0,,,,,Met,84.7,86,,,,77,100,85,73,100,100,91,N
Bertie County Schools,080312,Bertie High,Northeast Region,D,46.0,,,,,NotMet,64.8,42,,,,18,18,29,5,18,100,80,
Bertie County Schools,080314,Bertie Middle,Northeast Region,D,48.0,46.0,D,39.0,F,Exceeded,85.7,38,37,27,66,82,,,,,,,
Bertie County Schools,080348,Aulander Elementary,Northeast Region,C,65.0,60.0,C,66.0,C,Exceeded,91.5,59,53,60,72,,,,,,,,
Bertie County Schools,080356,West Bertie Elementary,Northeast Region,D,46.0,46.0,D,44.0,D,Met,71.2,40,38,38,54,,,,,,,,
Bertie County Schools,080360,Colerain Elementary,Northeast Region,C,61.0,57.0,C,60.0,C,Met,84.1,55,49,56,72,,,,,,,,
Bertie County Schools,080362,Windsor Elementary,Northeast Region,C,58.0,50.0,D,58.0,C,Exceeded,86.3,51,42,52,73,,,,,,,,
Bertie County Schools,080700,Bertie STEM High,Northeast Region,B,77.0,,,,,NotMet,61.3,81,,,,67,80,86,69,100,100,100,
Bladen County Schools,090304,B T Washington Primary,SandHills Region,C,55.0,52.0,D,61.0,C,Met,77.2,49,45,57,40,,,,,,,,
Bladen County Schools,090315,Bladenboro Middle,SandHills Region,D,45.0,47.0,D,36.0,F,NotMet,69.7,39,39,27,62,,,,,,,,
Bladen County Schools,090317,Bladenboro Primary,SandHills Region,D,53.0,50.0,D,58.0,C,NotMet,64.5,50,47,54,,,,,,,,,
Bladen County Schools,090318,Bladen Lakes Primary,SandHills Region,D,53.0,51.0,D,55.0,C,Met,74.8,47,47,48,,,,,,,,,
Bladen County Schools,090320,Clarkton School of Discovery,SandHills Region,C,61.0,64.0,C,50.0,D,Met,74.2,58,60,46,72,94,,,,,,,
Bladen County Schools,090324,Dublin Primary,SandHills Region,C,56.0,54.0,D,59.0,C,NotMet,63.6,54,51,57,,,,,,,,,
Bladen County Schools,090328,East Arcadia Elementary,SandHills Region,F,37.0,41.0,D,29.0,F,Met,79.0,27,31,17,43,,,,,,,,
Bladen County Schools,090330,East Bladen High,SandHills Region,D,54.0,,,,,NotMet,59.4,53,,,,34,40,29,37,59,100,90,
Bladen County Schools,090332,Elizabethtown Middle,SandHills Region,D,49.0,46.0,D,45.0,D,Exceeded,85.8,40,37,35,56,,,,,,,,
Bladen County Schools,090333,Elizabethtown Primary,SandHills Region,D,53.0,50.0,D,55.0,C,Exceeded,90.1,44,42,45,,,,,,,,,
Bladen County Schools,090352,Plain View Primary,SandHills Region,C,59.0,60.0,C,59.0,C,Met,80.1,54,55,53,,,,,,,,,
Bladen County Schools,090365,Tar Heel Middle,SandHills Region,D,51.0,51.0,D,47.0,D,Exceeded,85.0,43,43,36,55,,,,,,,,
Bladen County Schools,090368,West Bladen High,SandHills Region,C,58.0,,,,,Met,71.8,55,,,,32,43,40,41,61,100,84,
Brunswick County Schools,100302,Belville Elementary,Southeast Region,C,64.0,60.0,C,65.0,C,Met,73.6,62,55,64,75,,,,,,,,
Brunswick County Schools,100304,Bolivia Elementary,Southeast Region,C,57.0,55.0,C,62.0,C,NotMet,58.3,57,53,60,59,,,,,,,,
Brunswick County Schools,100307,Brunswick County Early College,Southeast Region,A+NG,94.0,,,,,Exceeded,85.6,100,,,,91,100,90,100,,100,100,Y
Brunswick County Schools,100308,Brunswick County Academy,Southeast Region,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100309,Cedar Grove Middle,Southeast Region,D,49.0,52.0,D,36.0,F,NotMet,67.5,44,48,29,71,100,,,,,,,
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Southeast Region,D,49.0,51.0,D,44.0,D,NotMet,58.9,46,46,40,69,,,,,,,,
Brunswick County Schools,100316,Leland Middle,Southeast Region,D,51.0,49.0,D,43.0,D,NotMet,57.9,50,47,39,81,89,,,,,,,
Brunswick County Schools,100320,Lincoln Elementary,Southeast Region,C,58.0,43.0,D,64.0,C,Met,83.0,52,37,58,80,,,,,,,,
Brunswick County Schools,100326,North Brunswick High,Southeast Region,C,67.0,,,,,Exceeded,90.7,61,,,,44,49,59,49,53,100,79,
Brunswick County Schools,100332,Shallotte Middle,Southeast Region,C,62.0,60.0,C,51.0,D,Met,83.5,56,57,42,86,100,,,,,,,
Brunswick County Schools,100334,South Brunswick High,Southeast Region,B,72.0,,,,,Exceeded,88.0,68,,,,55,61,59,57,75,100,84,
Brunswick County Schools,100335,South Brunswick Middle,Southeast Region,C,66.0,64.0,C,56.0,C,Exceeded,92.3,59,60,47,84,93,,,,,,,
Brunswick County Schools,100336,Southport Elementary,Southeast Region,C,63.0,61.0,C,62.0,C,Met,81.0,59,59,56,68,,,,,,,,
Brunswick County Schools,100338,Supply Elementary,Southeast Region,D,51.0,52.0,D,53.0,D,Met,76.0,45,45,47,43,,,,,,,,
Brunswick County Schools,100339,Town Creek Elementary,Southeast Region,C,58.0,59.0,C,55.0,C,NotMet,69.6,55,54,52,67,,,,,,,,
Brunswick County Schools,100340,Union Elementary,Southeast Region,B,79.0,74.0,B,80.0,B,Exceeded,85.9,77,72,80,87,,,,,,,,
Brunswick County Schools,100342,Virginia Williamson Elem,Southeast Region,C,58.0,54.0,D,59.0,C,NotMet,57.1,58,51,60,70,,,,,,,,
Brunswick County Schools,100344,Waccamaw,Southeast Region,C,68.0,60.0,C,63.0,C,Exceeded,88.4,62,55,59,90,100,,,,,,,
Brunswick County Schools,100348,West Brunswick High,Southeast Region,B,76.0,,,,,Exceeded,91.2,72,,,,60,59,67,63,73,100,88,
Buncombe County Schools,110303,Community High School,Western Region,,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110304,Reynolds High,Western Region,B,76.0,,,,,Met,78.1,76,,,,61,69,62,70,81,100,93,
Buncombe County Schools,110306,Reynolds Middle,Western Region,C,67.0,65.0,C,61.0,C,Met,82.4,64,63,54,81,100,,,,,,,
Buncombe County Schools,110308,Barnardsville Elementary,Western Region,C,67.0,66.0,C,68.0,C,Met,76.3,64,64,65,,,,,,,,,
Buncombe County Schools,110318,Black Mountain Elementary,Western Region,C,67.0,67.0,C,61.0,C,Met,71.7,66,66,59,80,,,,,,,,
Buncombe County Schools,110320,Black Mountain Primary,Western Region,B,77.0,74.0,B,82.0,B,Met,74.5,78,74,82,,,,,,,,,
Buncombe County Schools,110322,Early College,Western Region,A,90.0,,,,,Met,77.1,93,,,,85,91,93,95,,100,100,N
Buncombe County Schools,110323,Middle College,Western Region,A,91.0,,,,,,,91,,,,,,,68,93,100,92,N
Buncombe County Schools,110324,Candler Elementary,Western Region,C,62.0,59.0,C,58.0,C,Met,79.0,57,53,56,75,,,,,,,,
Buncombe County Schools,110326,Cane Creek Middle,Western Region,B,78.0,77.0,B,75.0,B,Met,82.9,77,75,73,85,100,,,,,,,
