Experience,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct_tch,lea_pct_tch,lea_pct_prin,st_pct_tch,st_pct_prin
4-10 Years,2016,010310,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,M,0.197,0.29,0.417,0.251,0.427
4-10 Years,2016,010311,Alamance-Burlington Schools,Career Technical Education Center,State Of North Carolina,H,0.067,0.24,0.417,0.235,0.427
4-10 Years,2016,010312,Alamance-Burlington Schools,"Highland Elementary, Burlington",State Of North Carolina,E,0.239,0.256,0.417,0.273,0.427
4-10 Years,2016,010320,Alamance-Burlington Schools,E M Yoder Elementary,State Of North Carolina,E,0.148,0.256,0.417,0.273,0.427
4-10 Years,2016,010324,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,H,0.371,0.24,0.417,0.235,0.427
4-10 Years,2016,010326,Alamance-Burlington Schools,Eastlawn Elementary,State Of North Carolina,E,0.295,0.256,0.417,0.273,0.427
4-10 Years,2016,010328,Alamance-Burlington Schools,Edwin M Holt Elementary,State Of North Carolina,E,0.268,0.256,0.417,0.273,0.427
4-10 Years,2016,010340,Alamance-Burlington Schools,Elon Elementary,State Of North Carolina,E,0.233,0.256,0.417,0.273,0.427
4-10 Years,2016,010346,Alamance-Burlington Schools,B Everett Jordan Elem,State Of North Carolina,E,0.345,0.256,0.417,0.273,0.427
4-10 Years,2016,010347,Alamance-Burlington Schools,Garrett Elementary,State Of North Carolina,E,0.227,0.256,0.417,0.273,0.427
4-10 Years,2016,010348,Alamance-Burlington Schools,Graham High,State Of North Carolina,H,0.093,0.24,0.417,0.235,0.427
4-10 Years,2016,010350,Alamance-Burlington Schools,Graham Middle,State Of North Carolina,M,0.37,0.29,0.417,0.251,0.427
4-10 Years,2016,010351,Alamance-Burlington Schools,Grove Park Elementary,State Of North Carolina,E,0.31,0.256,0.417,0.273,0.427
4-10 Years,2016,010353,Alamance-Burlington Schools,Hawfields Middle,State Of North Carolina,M,0.35,0.29,0.417,0.251,0.427
4-10 Years,2016,010354,Alamance-Burlington Schools,Harvey R Newlin Elementary,State Of North Carolina,E,0.283,0.256,0.417,0.273,0.427
4-10 Years,2016,010357,Alamance-Burlington Schools,Haw River Elementary,State Of North Carolina,E,0.174,0.256,0.417,0.273,0.427
4-10 Years,2016,010358,Alamance-Burlington Schools,Hillcrest Elementary,State Of North Carolina,E,0.186,0.256,0.417,0.273,0.427
4-10 Years,2016,010360,Alamance-Burlington Schools,Hugh M Cummings High,State Of North Carolina,H,0.242,0.24,0.417,0.235,0.427
4-10 Years,2016,010362,Alamance-Burlington Schools,Marvin B Smith Elementary,State Of North Carolina,E,0.205,0.256,0.417,0.273,0.427
4-10 Years,2016,010364,Alamance-Burlington Schools,North Graham Elementary,State Of North Carolina,E,0.286,0.256,0.417,0.273,0.427
4-10 Years,2016,010372,Alamance-Burlington Schools,"Pleasant Grove Elementary, Burlington",State Of North Carolina,E,0.45,0.256,0.417,0.273,0.427
4-10 Years,2016,010374,Alamance-Burlington Schools,R Homer Andrews Elementary,State Of North Carolina,E,0.217,0.256,0.417,0.273,0.427
4-10 Years,2016,010378,Alamance-Burlington Schools,Ray Street Academy,State Of North Carolina,A,0.182,0.182,0.417,0.226,0.427
4-10 Years,2016,010380,Alamance-Burlington Schools,South Graham Elementary,State Of North Carolina,E,0.306,0.256,0.417,0.273,0.427
4-10 Years,2016,010384,Alamance-Burlington Schools,South Mebane Elementary,State Of North Carolina,E,0.278,0.256,0.417,0.273,0.427
4-10 Years,2016,010388,Alamance-Burlington Schools,Southern High,State Of North Carolina,H,0.235,0.24,0.417,0.235,0.427
4-10 Years,2016,010390,Alamance-Burlington Schools,"Southern Middle, Graham",State Of North Carolina,M,0.2,0.29,0.417,0.251,0.427
4-10 Years,2016,010392,Alamance-Burlington Schools,Sylvan Elementary,State Of North Carolina,E,0.304,0.256,0.417,0.273,0.427
4-10 Years,2016,010394,Alamance-Burlington Schools,Turrentine Middle,State Of North Carolina,M,0.281,0.29,0.417,0.251,0.427
4-10 Years,2016,010396,Alamance-Burlington Schools,Walter M Williams High,State Of North Carolina,H,0.292,0.24,0.417,0.235,0.427
4-10 Years,2016,010400,Alamance-Burlington Schools,Western Alamance High,State Of North Carolina,H,0.208,0.24,0.417,0.235,0.427
4-10 Years,2016,010403,Alamance-Burlington Schools,Western Middle,State Of North Carolina,M,0.34,0.29,0.417,0.251,0.427
4-10 Years,2016,010406,Alamance-Burlington Schools,Woodlawn Middle,State Of North Carolina,M,0.324,0.29,0.417,0.251,0.427
4-10 Years,2016,01B000,Charter and Non-District Affiliated Schools,River Mill Academy,State Of North Carolina,A,,,,0.226,0.427
4-10 Years,2016,01C000,Charter and Non-District Affiliated Schools,Clover Garden,State Of North Carolina,A,,,,0.226,0.427
4-10 Years,2016,01D000,Charter and Non-District Affiliated Schools,The Hawbridge School,State Of North Carolina,T,,,,0.229,0.427
4-10 Years,2016,020302,Alexander County Schools,Alexander Central High,State Of North Carolina,H,0.276,0.276,0.3,0.235,0.427
4-10 Years,2016,020304,Alexander County Schools,Bethlehem Elementary,State Of North Carolina,E,0.276,0.226,0.3,0.273,0.427
4-10 Years,2016,020306,Alexander County Schools,East Alexander Middle,State Of North Carolina,M,0.244,0.176,0.3,0.251,0.427
4-10 Years,2016,020308,Alexander County Schools,Ellendale Elementary,State Of North Carolina,E,0.4,0.226,0.3,0.273,0.427
4-10 Years,2016,020316,Alexander County Schools,Hiddenite Elementary,State Of North Carolina,E,0.088,0.226,0.3,0.273,0.427
4-10 Years,2016,020320,Alexander County Schools,Stony Point Elementary,State Of North Carolina,E,0.167,0.226,0.3,0.273,0.427
4-10 Years,2016,020324,Alexander County Schools,Sugar Loaf Elementary,State Of North Carolina,E,0.2,0.226,0.3,0.273,0.427
4-10 Years,2016,020328,Alexander County Schools,Taylorsville Elementary,State Of North Carolina,E,0.25,0.226,0.3,0.273,0.427
4-10 Years,2016,020330,Alexander County Schools,West Alexander Middle,State Of North Carolina,M,0.091,0.176,0.3,0.251,0.427
4-10 Years,2016,020332,Alexander County Schools,Wittenburg Elementary,State Of North Carolina,E,0.263,0.226,0.3,0.273,0.427
4-10 Years,2016,030304,Alleghany County Schools,Alleghany High,State Of North Carolina,H,0.162,0.162,0.25,0.235,0.427
4-10 Years,2016,030308,Alleghany County Schools,Glade Creek Elementary,State Of North Carolina,I,0.273,0.286,0.25,0.254,0.427
4-10 Years,2016,030316,Alleghany County Schools,Piney Creek Elementary,State Of North Carolina,I,0.2,0.286,0.25,0.254,0.427
4-10 Years,2016,030320,Alleghany County Schools,Sparta Elementary,State Of North Carolina,I,0.319,0.286,0.25,0.254,0.427
