year,agency_code,poverty,number_of_teachers,beg_teacher,pct_beg_teachers,prov_teachers,pct_prov_teachers,num_prin,inexp_count_prin,pct_inexp_prin
2019,130322,LOW,43.0,1.0,0.0233,0.0,0.0,,,
2019,130323,NEITHER,48.0,7.0,0.1458,1.0,0.0208,,,
2019,130324,LOW,59.0,5.0,0.0847,0.0,0.0,,,
2019,130325,NEITHER,44.0,6.0,0.1364,0.0,0.0,,,
2019,130326,NEITHER,89.0,7.0,0.0787,0.0,0.0,,,
2019,130327,NEITHER,66.0,8.0,0.1212,0.0,0.0,,,
2019,130328,HIGH,23.0,4.0,0.1739,0.0,0.0,,,
2019,130329,NEITHER,58.0,12.0,0.2069,0.0,0.0,,,
2019,130330,NEITHER,30.0,6.0,0.2,0.0,0.0,,,
2019,130331,LOW,57.0,4.0,0.0702,0.0,0.0,,,
2019,130332,LOW,91.0,10.0,0.1099,0.0,0.0,,,
2019,130333,NEITHER,10.0,0.0,0.0,0.0,0.0,,,
2019,130336,LOW,47.0,3.0,0.0638,0.0,0.0,,,
2019,130337,LOW,46.0,3.0,0.0652,0.0,0.0,,,
2019,130338,NEITHER,67.0,4.0,0.0597,0.0,0.0,,,
2019,130340,NEITHER,86.0,12.0,0.1395,0.0,0.0,,,
2019,130342,HIGH,76.0,16.0,0.2105,0.0,0.0,,,
2019,130344,HIGH,42.0,6.0,0.1429,0.0,0.0,,,
2019,130345,LOW,86.0,11.0,0.1279,0.0,0.0,,,
2019,130346,LOW,68.0,9.0,0.1324,0.0,0.0,,,
2019,130349,NEITHER,11.0,3.0,0.2727,0.0,0.0,,,
2019,130350,NEITHER,10.0,2.0,0.2,0.0,0.0,,,
2019,130355,NEITHER,72.0,12.0,0.1667,1.0,0.0139,,,
2019,132304,LOW,107.0,18.0,0.1682,0.0,0.0,,,
2019,132308,NEITHER,42.0,7.0,0.1667,0.0,0.0,,,
2019,132312,NEITHER,27.0,5.0,0.1852,0.0,0.0,,,
2019,132314,NEITHER,89.0,10.0,0.1124,0.0,0.0,,,
2019,132328,NEITHER,32.0,3.0,0.0938,0.0,0.0,,,
2019,132330,NEITHER,79.0,7.0,0.0886,1.0,0.0127,,,
2019,132332,NEITHER,30.0,7.0,0.2333,0.0,0.0,,,
2019,132336,NEITHER,31.0,3.0,0.0968,0.0,0.0,,,
2019,13A000,LOW,63.0,11.0,0.1746,0.0,0.0,,,
2019,13B000,NEITHER,71.0,31.0,0.4366,0.0,0.0,,,
2019,13C000,NEITHER,35.0,11.0,0.3143,1.0,0.0286,,,
2019,13D000,HIGH,39.0,16.0,0.4103,0.0,0.0,,,
2019,140304,NEITHER,27.0,2.0,0.0741,0.0,0.0,,,
2019,140305,LOW,14.0,1.0,0.0714,0.0,0.0,,,
2019,140306,HIGH,12.0,0.0,0.0,0.0,0.0,,,
2019,140307,HIGH,14.0,0.0,0.0,0.0,0.0,,,
2019,140308,NEITHER,25.0,2.0,0.08,0.0,0.0,,,
2019,140309,LOW,19.0,0.0,0.0,0.0,0.0,,,
2019,140312,HIGH,37.0,3.0,0.0811,0.0,0.0,,,
2019,140316,NEITHER,30.0,1.0,0.0333,0.0,0.0,,,
2019,140324,HIGH,33.0,2.0,0.0606,0.0,0.0,,,
2019,140332,HIGH,39.0,5.0,0.1282,0.0,0.0,,,
2019,140336,NEITHER,40.0,4.0,0.1,0.0,0.0,,,
2019,140340,NEITHER,39.0,0.0,0.0,0.0,0.0,,,
2019,140344,NEITHER,20.0,3.0,0.15,0.0,0.0,,,
2019,140348,NEITHER,64.0,4.0,0.0625,0.0,0.0,,,
2019,140352,NEITHER,50.0,4.0,0.08,0.0,0.0,,,
2019,140356,NEITHER,43.0,2.0,0.0465,0.0,0.0,,,
2019,140360,NEITHER,18.0,2.0,0.1111,0.0,0.0,,,
2019,140368,NEITHER,37.0,4.0,0.1081,0.0,0.0,,,
2019,140372,NEITHER,25.0,3.0,0.12,0.0,0.0,,,
2019,140376,NEITHER,17.0,1.0,0.0588,0.0,0.0,,,
2019,140384,NEITHER,26.0,1.0,0.0385,0.0,0.0,,,
2019,140386,NEITHER,105.0,9.0,0.0857,0.0,0.0,,,
2019,140388,HIGH,18.0,4.0,0.2222,0.0,0.0,,,
2019,140390,NEITHER,64.0,6.0,0.0938,0.0,0.0,,,
2019,140392,HIGH,14.0,3.0,0.2143,0.0,0.0,,,
2019,140396,HIGH,26.0,1.0,0.0385,0.0,0.0,,,
2019,150304,LOW,36.0,2.0,0.0556,0.0,0.0,,,
2019,150308,NEITHER,40.0,1.0,0.025,0.0,0.0,,,
2019,150310,LOW,32.0,1.0,0.0313,0.0,0.0,,,
2019,150312,LOW,24.0,0.0,0.0,0.0,0.0,,,
2019,150350,LOW,6.0,0.0,0.0,0.0,0.0,,,
2019,160304,NEITHER,13.0,1.0,0.0769,0.0,0.0,,,
2019,160306,NEITHER,43.0,0.0,0.0,0.0,0.0,,,
2019,160308,NEITHER,43.0,3.0,0.0698,0.0,0.0,,,
2019,160309,NEITHER,7.0,1.0,0.1429,0.0,0.0,,,
2019,160310,NEITHER,26.0,2.0,0.0769,0.0,0.0,,,
2019,160311,LOW,47.0,3.0,0.0638,0.0,0.0,,,
2019,160313,NEITHER,48.0,4.0,0.0833,0.0,0.0,,,
2019,160314,LOW,60.0,6.0,0.1,0.0,0.0,,,
2019,160316,NEITHER,13.0,0.0,0.0,0.0,0.0,,,
2019,160317,NEITHER,22.0,2.0,0.0909,0.0,0.0,,,
2019,160318,NEITHER,40.0,5.0,0.125,0.0,0.0,,,
2019,160322,NEITHER,49.0,2.0,0.0408,0.0,0.0,,,
2019,160324,NEITHER,67.0,9.0,0.1343,0.0,0.0,,,
2019,160326,NEITHER,33.0,0.0,0.0,0.0,0.0,,,
2019,160332,NEITHER,28.0,1.0,0.0357,0.0,0.0,,,
2019,160343,LOW,3.0,1.0,0.3333,0.0,0.0,,,
2019,160344,NEITHER,80.0,5.0,0.0625,0.0,0.0,,,
2019,160352,LOW,60.0,2.0,0.0333,0.0,0.0,,,
2019,16B000,LOW,17.0,3.0,0.1765,0.0,0.0,,,
2019,170316,NEITHER,55.0,6.0,0.1091,0.0,0.0,,,
2019,170334,HIGH,30.0,4.0,0.1333,0.0,0.0,,,
2019,170338,NEITHER,40.0,11.0,0.275,2.0,0.05,,,
2019,170339,HIGH,32.0,5.0,0.1563,0.0,0.0,,,
2019,170342,HIGH,24.0,11.0,0.4583,0.0,0.0,,,
