digital_media,year,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
2,2019,340556,H,No,-,No,-,Yes,9:10:11:12,4.9,113,1.36,1990.0,1.49
3,2019,340560,E,Yes,2:3:4:5,No,-,No,-,15.76,37,1.03,2005.0,0.88
3,2019,340564,M,No,-,No,-,Yes,6:07:08,16.63,51,1.16,2002.0,0.8
1,2019,340568,T,Yes,6:07:08,Yes,6:07:08,Yes,6:7:8:9:10:11:12,13.51,34,0.83,2002.0,0.55
75,2019,34B000,A,No,-,No,-,Yes,9:10:11:12,,42,1.17,2019.0,2.4
1,2019,34D000,A,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12:13,No,-,No,-,6.01,6,0.2,2006.0,4.16
-,2019,34F000,I,No,-,No,-,No,-,,22,0.79,3.0,2.7
0,2019,34G000,I,Yes,5:6:7:8,No,-,Yes,4:5:6:7:8,38.39,10,0.37,2000.0,3.47
0,2019,34H000,A,Yes,6:7:8:9:10:11:12,Yes,6:7:8:9:10:11:12,Yes,5:6:7:8:9:10:11:12,0.31,6,0.13,,8.96
,2019,34Z000,,,,,,,,,,,,-
1,2019,350304,E,Yes,4:05,No,-,No,-,23.08,57,1.16,1995.0,1.03
0,2019,350308,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,5.47,69,1.23,2004.0,1.06
0,2019,350310,M,Yes,6:07:08,No,-,No,-,14.37,50,1.09,2000.0,0.81
0,2019,350312,M,Yes,6:07:08,No,-,No,-,15.1,52,1.37,1998.0,0.82
1,2019,350316,E,Yes,4:05,No,-,No,-,25.59,43,1.43,1999.0,1.6
0,2019,350317,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,8,1.14,2009.0,0.79
0,2019,350318,E,Yes,3:04:05,No,-,No,-,43.16,39,1.44,1995.0,1.11
1,2019,350321,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,9.95,88,1.52,2001.0,2.37
0,2019,350324,M,Yes,6:07:08,No,-,Yes,6:07:08,17.81,35,1.17,2007.0,0.65
1,2019,350330,E,Yes,4:05,No,-,No,-,26.6,33,1.57,2000.0,0.94
1,2019,350331,E,Yes,4:05,No,-,No,-,35.4,44,1.16,2001.0,1.15
1,2019,350332,E,Yes,4:05,No,-,No,-,37.39,57,1.58,1996.0,1.28
1,2019,350336,H,Yes,9:10:11:12,Yes,9:10:11:12,Yes,9:10:11:12,15.17,54,0.96,1999.0,0.73
0,2019,350338,M,Yes,6:07:08,No,-,No,-,17.6,49,1.23,2001.0,0.77
1,2019,350339,E,Yes,4:05,No,-,No,-,30.97,10,0.29,1996.0,1.3
0,2019,350340,E,Yes,4:05,No,-,No,-,26.87,38,1.19,1996.0,1.04
,2019,35A000,I,,,,,,,,,,,-
,2019,35B000,E,,,,,,,,,,,-
1,2019,360310,H,No,-,No,-,No,-,7.62,95,1.25,1999.0,0.57
