year,agency_code,target,pct_met,target_met,target_assign
2019,40304,Total Targets,100.0,8,8
2019,40304,High School Math,100.0,2,2
2019,40304,English II,100.0,2,2
2019,40304,Biology,100.0,2,2
2019,40306,The ACT,100.0,4,4
2019,40306,Total Targets,100.0,20,20
2019,40306,High School Math,100.0,4,4
2019,40306,English II,100.0,4,4
2019,40306,Biology,100.0,4,4
2019,40306,ACT WorkKeys,100.0,4,4
2019,40308,Total Targets,100.0,9,9
2019,40308,Math Grades 3-8,100.0,4,4
2019,40308,Reading Grades 3-8,100.0,4,4
2019,40308,Science Grades 5&8,100.0,1,1
2019,40309,Total Targets,100.0,18,18
2019,40309,Math Grades 3-8,100.0,7,7
2019,40309,Reading Grades 3-8,100.0,7,7
2019,40309,Science Grades 5&8,100.0,4,4
2019,40311,Total Targets,100.0,6,6
2019,40311,Math Grades 3-8,100.0,3,3
2019,40311,Reading Grades 3-8,100.0,3,3
2019,40316,Total Targets,100.0,9,9
2019,40316,Math Grades 3-8,100.0,4,4
2019,40316,Reading Grades 3-8,100.0,4,4
2019,40316,Science Grades 5&8,100.0,1,1
2019,40324,Total Targets,100.0,7,7
2019,40324,Math Grades 3-8,100.0,3,3
2019,40324,Reading Grades 3-8,100.0,3,3
2019,40324,Science Grades 5&8,100.0,1,1
2019,40328,Total Targets,100.0,11,11
2019,40328,Math Grades 3-8,100.0,4,4
2019,40328,Reading Grades 3-8,100.0,4,4
2019,40328,Science Grades 5&8,100.0,3,3
2019,40330,Total Targets,100.0,9,9
2019,40330,Math Grades 3-8,100.0,3,3
2019,40330,Reading Grades 3-8,100.0,3,3
2019,40330,Science Grades 5&8,100.0,3,3
2019,50302,The ACT,100.0,3,3
2019,50302,Total Targets,81.3,13,16
2019,50302,High School Math,100.0,3,3
2019,50302,English II,75.0,3,4
2019,50302,Biology,66.7,2,3
2019,50302,ACT WorkKeys,66.7,2,3
2019,50305,Total Targets,100.0,13,13
2019,50305,Math Grades 3-8,100.0,5,5
2019,50305,Reading Grades 3-8,100.0,5,5
2019,50305,Science Grades 5&8,100.0,3,3
2019,50310,Total Targets,100.0,11,11
2019,50310,Math Grades 3-8,100.0,4,4
2019,50310,Reading Grades 3-8,100.0,4,4
2019,50310,Science Grades 5&8,100.0,3,3
2019,50330,Total Targets,100.0,15,15
2019,50330,Math Grades 3-8,100.0,6,6
2019,50330,Reading Grades 3-8,100.0,6,6
2019,50330,Science Grades 5&8,100.0,3,3
2019,50335,Total Targets,100.0,13,13
2019,50335,Math Grades 3-8,100.0,5,5
2019,50335,Reading Grades 3-8,100.0,5,5
2019,50335,Science Grades 5&8,100.0,3,3
2019,60302,The ACT,100.0,3,3
2019,60302,Total Targets,100.0,14,14
2019,60302,High School Math,100.0,3,3
2019,60302,English II,100.0,3,3
2019,60302,Biology,100.0,3,3
2019,60302,ACT WorkKeys,100.0,2,2
2019,60304,Total Targets,100.0,6,6
2019,60304,Math Grades 3-8,100.0,3,3
2019,60304,Reading Grades 3-8,100.0,3,3
2019,60310,Total Targets,100.0,9,9
2019,60310,Math Grades 3-8,100.0,3,3
2019,60310,Reading Grades 3-8,100.0,3,3
2019,60310,Science Grades 5&8,100.0,3,3
2019,60316,Total Targets,100.0,8,8
2019,60316,Math Grades 3-8,100.0,3,3
2019,60316,Reading Grades 3-8,100.0,3,3
2019,60316,Science Grades 5&8,100.0,2,2
2019,60318,Total Targets,100.0,15,15
2019,60318,Math Grades 3-8,100.0,6,6
2019,60318,Reading Grades 3-8,100.0,6,6
2019,60318,Science Grades 5&8,100.0,3,3
2019,60322,Total Targets,100.0,9,9
2019,60322,Math Grades 3-8,100.0,3,3
2019,60322,Reading Grades 3-8,100.0,3,3
2019,60322,Science Grades 5&8,100.0,3,3
2019,60328,Total Targets,100.0,9,9
2019,60328,Math Grades 3-8,100.0,4,4
2019,60328,Reading Grades 3-8,100.0,4,4
2019,60328,Science Grades 5&8,100.0,1,1
2019,60332,Total Targets,100.0,4,4
2019,60332,Math Grades 3-8,100.0,2,2
2019,60332,Reading Grades 3-8,100.0,2,2
2019,60700,The ACT,100.0,2,2
2019,60700,Total Targets,100.0,6,6
2019,60700,High School Math,100.0,2,2
2019,60700,Biology,100.0,2,2
2019,06B000,Total Targets,100.0,6,6
2019,06B000,Math Grades 3-8,100.0,3,3
2019,06B000,Reading Grades 3-8,100.0,3,3
2019,70308,Total Targets,100.0,13,13
2019,70308,Math Grades 3-8,100.0,5,5
2019,70308,Reading Grades 3-8,100.0,5,5
2019,70308,Science Grades 5&8,100.0,3,3
2019,70311,The ACT,100.0,2,2
2019,70311,Total Targets,100.0,5,5
2019,70311,High School Math,100.0,1,1
2019,70311,English II,100.0,1,1
2019,70311,Biology,100.0,1,1
2019,70325,Total Targets,100.0,16,16
2019,70325,Math Grades 3-8,100.0,6,6
2019,70325,Reading Grades 3-8,100.0,6,6
2019,70325,Science Grades 5&8,100.0,4,4
2019,70326,Total Targets,100.0,8,8
2019,70326,Math Grades 3-8,100.0,4,4
2019,70326,Reading Grades 3-8,100.0,4,4
2019,70327,Total Targets,100.0,14,14
2019,70327,Math Grades 3-8,100.0,7,7
2019,70327,Reading Grades 3-8,100.0,7,7
2019,70328,Total Targets,100.0,21,21
2019,70328,Math Grades 3-8,100.0,7,7
2019,70328,Reading Grades 3-8,100.0,7,7
2019,70328,Science Grades 5&8,100.0,7,7
2019,70329,Total Targets,100.0,16,16
2019,70329,Math Grades 3-8,100.0,6,6
2019,70329,Reading Grades 3-8,100.0,6,6
2019,70329,Science Grades 5&8,100.0,4,4
2019,70330,The ACT,100.0,3,3
2019,70330,Total Targets,100.0,13,13
2019,70330,High School Math,100.0,3,3
2019,70330,English II,100.0,3,3
2019,70330,Biology,100.0,3,3
2019,70330,ACT WorkKeys,100.0,1,1
2019,70338,Total Targets,90.9,20,22
2019,70338,Math Grades 3-8,100.0,8,8
2019,70338,Reading Grades 3-8,100.0,8,8
2019,70338,Science Grades 5&8,66.7,4,6
2019,70339,The ACT,100.0,3,3
2019,70339,Total Targets,93.8,15,16
2019,70339,High School Math,66.7,2,3
2019,70339,English II,100.0,4,4
2019,70339,Biology,100.0,3,3
2019,70339,ACT WorkKeys,100.0,3,3
2019,70340,Total Targets,100.0,7,7
2019,70340,Math Grades 3-8,100.0,3,3
2019,70340,Reading Grades 3-8,100.0,3,3
2019,70340,Science Grades 5&8,100.0,1,1
2019,70342,The ACT,100.0,5,5
2019,70342,Total Targets,95.8,23,24
2019,70342,High School Math,100.0,5,5
2019,70342,English II,100.0,5,5
2019,70342,Biology,100.0,5,5
2019,70342,ACT WorkKeys,75.0,3,4
2019,07A000,Total Targets,100.0,8,8
2019,07A000,Math Grades 3-8,100.0,3,3
2019,07A000,Reading Grades 3-8,100.0,3,3
2019,07A000,Science Grades 5&8,100.0,2,2
2019,80311,The ACT,100.0,1,1
2019,80311,Total Targets,100.0,4,4
2019,80311,High School Math,100.0,1,1
2019,80311,English II,100.0,1,1
2019,80311,Biology,100.0,1,1
2019,80312,The ACT,66.7,2,3
2019,80312,Total Targets,85.7,12,14
2019,80312,High School Math,100.0,3,3
2019,80312,English II,100.0,3,3
2019,80312,Biology,100.0,3,3
2019,80312,ACT WorkKeys,50.0,1,2
2019,80314,Total Targets,100.0,13,13
2019,80314,Math Grades 3-8,100.0,5,5
2019,80314,Reading Grades 3-8,100.0,5,5
2019,80314,Science Grades 5&8,100.0,3,3
2019,80348,Total Targets,100.0,6,6
2019,80348,Math Grades 3-8,100.0,3,3
2019,80348,Reading Grades 3-8,100.0,3,3
2019,80356,Total Targets,100.0,8,8
2019,80356,Math Grades 3-8,100.0,3,3
2019,80356,Reading Grades 3-8,100.0,3,3
2019,80356,Science Grades 5&8,100.0,2,2
2019,80360,Total Targets,100.0,7,7
2019,80360,Math Grades 3-8,100.0,3,3
2019,80360,Reading Grades 3-8,100.0,3,3
2019,80360,Science Grades 5&8,100.0,1,1
2019,80362,Total Targets,100.0,11,11
2019,80362,Math Grades 3-8,100.0,4,4
2019,80362,Reading Grades 3-8,100.0,4,4
2019,80362,Science Grades 5&8,100.0,3,3
2019,08A000,Total Targets,100.0,6,6
2019,08A000,Math Grades 3-8,100.0,3,3
2019,08A000,Reading Grades 3-8,100.0,3,3
2019,90315,Total Targets,100.0,16,16
2019,90315,Math Grades 3-8,100.0,6,6
2019,90315,Reading Grades 3-8,100.0,6,6
2019,90315,Science Grades 5&8,100.0,4,4
2019,90317,Total Targets,100.0,6,6
2019,90317,Math Grades 3-8,100.0,3,3
2019,90317,Reading Grades 3-8,100.0,3,3
2019,90318,Total Targets,100.0,4,4
2019,90318,Math Grades 3-8,100.0,2,2
2019,90318,Reading Grades 3-8,100.0,2,2
2019,90320,Total Targets,100.0,12,12
2019,90320,Math Grades 3-8,100.0,4,4
2019,90320,Reading Grades 3-8,100.0,4,4
2019,90320,Science Grades 5&8,100.0,4,4
2019,90324,Total Targets,100.0,10,10
2019,90324,Math Grades 3-8,100.0,5,5
2019,90324,Reading Grades 3-8,100.0,5,5
2019,90328,Total Targets,100.0,2,2
2019,90328,Math Grades 3-8,100.0,1,1
2019,90328,Reading Grades 3-8,100.0,1,1
2019,90330,The ACT,100.0,4,4
2019,90330,Total Targets,84.2,16,19
2019,90330,High School Math,100.0,4,4
2019,90330,English II,100.0,4,4
2019,90330,Biology,100.0,4,4
2019,90330,ACT WorkKeys,0.0,0,3
2019,90332,Total Targets,100.0,20,20
2019,90332,Math Grades 3-8,100.0,7,7
