year,agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
2019,180360,N,N,Y,Y
2019,180364,N,N,Y,Y
2019,180368,N,N,N,N
2019,180372,N,N,Y,Y
2019,180376,N,N,N,N
2019,180379,N,N,N,N
2019,180380,N,N,N,N
2019,180388,N,N,Y,N
2019,181312,N,N,Y,Y
2019,181316,N,N,Y,Y
2019,181318,N,N,N,N
2019,181322,N,N,Y,Y
2019,181326,N,N,Y,Y
2019,181332,N,N,N,N
2019,181336,N,N,N,N
2019,181342,N,N,N,N
2019,181344,N,N,Y,Y
2019,182304,N,N,N,N
2019,182316,N,N,Y,Y
2019,182321,N,N,Y,Y
2019,182322,N,N,N,N
2019,182324,N,N,Y,Y
2019,182328,N,N,Y,Y
2019,182700,N,N,N,N
2019,190304,N,N,Y,Y
2019,190308,N,N,Y,Y
2019,190310,N,N,N,N
2019,190312,N,N,Y,Y
2019,190316,N,N,Y,Y
2019,190328,N,N,Y,Y
2019,190332,N,N,Y,Y
2019,190336,N,N,Y,Y
2019,190339,N,N,Y,Y
2019,190340,N,N,Y,Y
2019,190341,N,N,Y,Y
2019,190342,N,N,Y,Y
2019,190346,N,N,Y,Y
2019,190348,N,N,Y,Y
2019,190350,N,N,Y,Y
2019,190352,N,N,Y,Y
2019,190370,N,N,Y,Y
2019,190501,N,N,N,N
2019,19A000,N,N,Y,Y
2019,19B000,N,N,N,N
2019,19C000,N,N,N,Y
2019,200304,N,N,N,N
2019,200308,N,N,N,N
2019,200310,N,N,Y,Y
2019,200312,N,N,Y,Y
2019,200314,N,N,N,N
2019,200320,N,N,Y,Y
2019,200322,N,N,N,N
2019,200324,N,N,Y,Y
2019,200328,N,N,N,Y
2019,200330,N,N,Y,Y
2019,200332,N,N,N,N
2019,200336,N,N,Y,Y
2019,200350,N,N,N,N
2019,20A000,N,N,Y,Y
2019,210304,N,N,Y,Y
2019,210306,N,N,Y,Y
2019,210312,N,N,Y,Y
2019,210316,N,N,Y,Y
2019,220308,N,N,Y,Y
2019,220310,N,N,N,N
2019,220312,N,N,Y,Y
2019,230304,N,N,Y,Y
2019,230308,N,N,Y,Y
2019,230312,N,N,N,Y
2019,230316,N,N,Y,Y
2019,230320,N,N,Y,Y
2019,230322,N,N,N,N
2019,230324,N,N,Y,Y
2019,230328,N,N,Y,Y
2019,230330,N,Y,Y,Y
2019,230334,N,N,N,N
2019,230336,N,N,Y,Y
2019,230340,N,N,Y,Y
2019,230342,N,N,N,N
2019,230344,N,N,N,Y
2019,230346,N,N,N,Y
2019,230348,N,N,Y,Y
2019,230350,N,N,N,Y
2019,230351,N,N,Y,N
2019,230352,N,N,N,Y
2019,230355,N,N,N,Y
2019,230357,N,N,Y,Y
2019,230359,N,N,Y,Y
2019,230361,N,N,N,Y
2019,230362,N,N,N,N
2019,230364,N,N,Y,Y
2019,230368,N,N,Y,Y
2019,230370,N,N,Y,Y
2019,230376,N,N,Y,Y
2019,230380,N,N,N,Y
2019,23A000,N,N,Y,Y
2019,240304,Y,N,N,N
2019,240308,N,N,Y,Y
2019,240328,N,N,N,N
2019,240332,N,N,Y,Y
2019,240334,N,N,N,N
2019,240344,N,N,Y,Y
2019,240352,N,N,N,N
2019,240354,N,N,N,N
2019,240356,N,N,Y,Y
2019,240368,N,N,N,Y
2019,240370,N,N,N,N
2019,240371,N,N,Y,Y
2019,240372,N,N,Y,Y
2019,240373,N,N,N,N
2019,240376,N,N,Y,Y
2019,240380,N,N,N,N
2019,240388,N,N,Y,Y
2019,241304,N,N,Y,Y
2019,241308,N,N,N,N
2019,241312,N,N,N,N
2019,241316,N,N,N,Y
2019,241320,N,N,N,N
2019,24B000,N,Y,N,N
2019,24N000,N,N,Y,Y
2019,250304,N,N,N,N
2019,250306,N,N,Y,Y
2019,250308,N,N,Y,Y
2019,250312,N,N,Y,Y
2019,250314,N,N,N,N
2019,250316,N,N,N,N
2019,250320,N,N,Y,Y
2019,250321,N,N,N,N
2019,250324,N,N,Y,Y
2019,250328,N,N,N,N
2019,250332,N,N,Y,Y
2019,250336,N,N,Y,Y
2019,250340,N,N,N,Y
2019,250344,N,N,Y,Y
2019,250348,N,N,Y,Y
2019,250350,N,N,N,N
2019,250356,N,N,N,Y
2019,250360,N,N,N,Y
2019,250362,N,N,Y,Y
2019,250364,N,N,N,N
2019,250368,N,N,Y,Y
2019,250372,N,N,N,Y
2019,250376,N,N,Y,Y
2019,250378,N,N,N,N
2019,250380,N,N,Y,N
2019,260302,N,N,Y,Y
2019,260306,N,N,N,N
2019,260308,N,N,Y,Y
2019,260310,N,N,Y,Y
2019,260312,N,N,N,N
2019,260316,N,N,N,N
2019,260318,N,N,N,N
2019,260320,N,N,Y,Y
2019,260321,N,N,Y,Y
2019,260322,N,N,Y,N
2019,260325,N,N,N,N
2019,260326,N,N,Y,Y
2019,260332,N,N,N,N
2019,260336,N,N,Y,Y
2019,260338,N,N,Y,Y
2019,260340,N,N,Y,Y
