year,agency_code,metric,num,den,pct,masking
2019,01C000,gce_swd,,,,3.0
2019,01C000,gce_rpf,,,,3.0
2019,01C000,gce_prm,,,,3.0
2019,01C000,gce_all,,,,3.0
2019,01C000,promoted,,,95.0,1.0
2019,01C000,retained,,,,3.0
2019,020304,passed_eog,46.0,75.0,61.3,
2019,020304,passed_rta,,,,3.0
2019,020304,passed_laa,,,,3.0
2019,020304,gce_els,,,,3.0
2019,020304,gce_swd,,,,3.0
2019,020304,gce_rpf,,,,3.0
2019,020304,gce_prm,,,,3.0
2019,020304,gce_all,,,,3.0
2019,020304,promoted,65.0,75.0,86.7,
2019,020304,retained,10.0,75.0,13.3,
2019,020308,passed_eog,29.0,47.0,61.7,
2019,020308,passed_rta,,,,3.0
2019,020308,passed_laa,,,,3.0
2019,020308,gce_els,,,,3.0
2019,020308,gce_swd,,,,3.0
2019,020308,gce_rpf,,,,3.0
2019,020308,gce_prm,,,,3.0
2019,020308,gce_all,,,,3.0
2019,020308,promoted,,,95.0,1.0
2019,020308,retained,,,,3.0
2019,020316,passed_eog,46.0,81.0,56.8,
2019,020316,passed_rta,,,,3.0
2019,020316,passed_laa,,,,3.0
2019,020316,gce_els,,,,3.0
2019,020316,gce_swd,,,,3.0
2019,020316,gce_rpf,,,,3.0
2019,020316,gce_prm,,,,3.0
2019,020316,gce_all,,,,3.0
2019,020316,promoted,73.0,81.0,90.1,
2019,020316,retained,,,,3.0
2019,020320,passed_eog,23.0,40.0,57.5,
2019,020320,passed_rta,,,,3.0
2019,020320,passed_laa,,,,3.0
2019,020320,gce_els,,,,3.0
2019,020320,gce_swd,,,,3.0
2019,020320,gce_rpf,,,,3.0
2019,020320,gce_prm,,,,3.0
2019,020320,gce_all,,,,3.0
2019,020320,promoted,,,95.0,1.0
2019,020320,retained,,,,3.0
2019,020324,passed_eog,29.0,36.0,80.6,
2019,020324,passed_rta,,,,3.0
2019,020324,passed_laa,,,,3.0
2019,020324,gce_els,,,,3.0
2019,020324,gce_swd,,,,3.0
2019,020324,gce_rpf,,,,3.0
2019,020324,gce_prm,,,,3.0
2019,020324,gce_all,,,,3.0
2019,020324,promoted,34.0,36.0,94.4,
2019,020324,retained,,,,3.0
2019,020328,passed_eog,31.0,39.0,79.5,
2019,020328,passed_rta,,,,3.0
2019,020328,passed_laa,,,,3.0
2019,020328,gce_els,,,,3.0
2019,020328,gce_swd,,,,3.0
2019,020328,gce_rpf,,,,3.0
2019,020328,gce_prm,,,,3.0
2019,020328,gce_all,,,,3.0
2019,020328,promoted,37.0,39.0,94.9,
2019,020328,retained,,,,3.0
2019,020332,passed_eog,29.0,38.0,76.3,
2019,020332,passed_rta,,,,3.0
2019,020332,passed_laa,,,,3.0
2019,020332,gce_els,,,,3.0
2019,020332,gce_swd,,,,3.0
2019,020332,gce_rpf,,,,3.0
2019,020332,gce_prm,,,,3.0
2019,020332,gce_all,,,,3.0
2019,020332,promoted,,,95.0,1.0
2019,020332,retained,,,,3.0
2019,030308,passed_eog,14.0,25.0,56.0,
2019,030308,passed_rta,,,,3.0
2019,030308,passed_laa,,,,3.0
2019,030308,gce_els,,,,3.0
2019,030308,gce_swd,,,,3.0
2019,030308,gce_rpf,,,,3.0
2019,030308,gce_prm,,,,3.0
2019,030308,gce_all,,,,3.0
2019,030308,promoted,,,95.0,1.0
2019,030308,retained,,,,3.0
2019,030316,passed_eog,13.0,19.0,68.4,
2019,030316,passed_rta,,,,3.0
2019,030316,passed_laa,,,,3.0
2019,030316,gce_els,,,,3.0
2019,030316,gce_swd,,,,3.0
2019,030316,gce_rpf,,,,3.0
2019,030316,gce_prm,,,,3.0
2019,030316,gce_all,,,,3.0
2019,030316,promoted,,,95.0,1.0
2019,030316,retained,,,,3.0
2019,030320,passed_eog,37.0,69.0,53.6,
2019,030320,passed_rta,,,,3.0
2019,030320,passed_laa,,,,3.0
2019,030320,gce_els,,,,3.0
2019,030320,gce_swd,,,,3.0
2019,030320,gce_rpf,,,,3.0
2019,030320,gce_prm,,,,3.0
2019,030320,gce_all,,,,3.0
2019,030320,promoted,64.0,69.0,92.8,
2019,030320,retained,,,,3.0
2019,040308,passed_eog,12.0,21.0,57.1,
2019,040308,passed_rta,,,,3.0
2019,040308,passed_laa,,,,3.0
2019,040308,gce_els,,,,3.0
2019,040308,gce_swd,,,,3.0
2019,040308,gce_rpf,,,,3.0
2019,040308,gce_prm,,,,3.0
2019,040308,gce_all,,,,3.0
2019,040308,promoted,19.0,21.0,90.5,
2019,040308,retained,,,,3.0
2019,040311,passed_eog,22.0,84.0,26.2,
2019,040311,passed_rta,,,,3.0
2019,040311,passed_laa,,,,3.0
2019,040311,gce_els,,,,3.0
2019,040311,gce_swd,,,,3.0
2019,040311,gce_rpf,,,,3.0
2019,040311,gce_prm,,,,3.0
2019,040311,gce_all,12.0,84.0,14.3,
2019,040311,promoted,41.0,84.0,48.8,
2019,040311,retained,43.0,84.0,51.2,
2019,040316,passed_eog,18.0,35.0,51.4,
2019,040316,passed_rta,,,,3.0
2019,040316,passed_laa,,,,3.0
2019,040316,gce_els,,,,3.0
2019,040316,gce_swd,,,,3.0
2019,040316,gce_rpf,,,,3.0
2019,040316,gce_prm,,,,3.0
2019,040316,gce_all,,,,3.0
2019,040316,promoted,29.0,35.0,82.9,
2019,040316,retained,,,,3.0
2019,040324,passed_eog,13.0,34.0,38.2,
2019,040324,passed_rta,,,,3.0
2019,040324,passed_laa,,,,3.0
2019,040324,gce_els,,,,3.0
2019,040324,gce_swd,,,,3.0
2019,040324,gce_rpf,,,,3.0
2019,040324,gce_prm,,,,3.0
2019,040324,gce_all,,,,3.0
2019,040324,promoted,22.0,34.0,64.7,
2019,040324,retained,12.0,34.0,35.3,
2019,040328,passed_eog,53.0,68.0,77.9,
2019,040328,passed_rta,,,,3.0
2019,040328,passed_laa,,,,3.0
2019,040328,gce_els,,,,3.0
2019,040328,gce_swd,,,,3.0
2019,040328,gce_rpf,,,,3.0
2019,040328,gce_prm,,,,3.0
2019,040328,gce_all,,,,3.0
2019,040328,promoted,62.0,68.0,91.2,
2019,040328,retained,,,,3.0
2019,050310,passed_eog,56.0,77.0,72.7,
2019,050310,passed_rta,,,,3.0
2019,050310,passed_laa,,,,3.0
2019,050310,gce_els,,,,3.0
2019,050310,gce_swd,,,,3.0
2019,050310,gce_rpf,,,,3.0
2019,050310,gce_prm,,,,3.0
2019,050310,gce_all,10.0,77.0,13.0,
2019,050310,promoted,,,95.0,1.0
2019,050310,retained,,,,3.0
2019,050330,passed_eog,44.0,83.0,53.0,
2019,050330,passed_rta,,,,3.0
2019,050330,passed_laa,,,,3.0
2019,050330,gce_els,,,,3.0
2019,050330,gce_swd,11.0,83.0,13.3,
2019,050330,gce_rpf,,,,3.0
2019,050330,gce_prm,,,,3.0
2019,050330,gce_all,15.0,83.0,18.1,
2019,050330,promoted,,,95.0,1.0
2019,050330,retained,,,,3.0
2019,050335,passed_eog,46.0,74.0,62.2,
2019,050335,passed_rta,,,,3.0
2019,050335,passed_laa,,,,3.0
2019,050335,gce_els,,,,3.0
2019,050335,gce_swd,,,,3.0
2019,050335,gce_rpf,,,,3.0
2019,050335,gce_prm,,,,3.0
2019,050335,gce_all,,,,3.0
2019,050335,promoted,,,95.0,1.0
2019,050335,retained,,,,3.0
2019,060304,passed_eog,18.0,24.0,75.0,
2019,060304,passed_rta,,,,3.0
2019,060304,passed_laa,,,,3.0
2019,060304,gce_els,,,,3.0
2019,060304,gce_swd,,,,3.0
2019,060304,gce_rpf,,,,3.0
2019,060304,gce_prm,,,,3.0
2019,060304,gce_all,,,,3.0
2019,060304,promoted,,,95.0,1.0
2019,060304,retained,,,,3.0
2019,060316,passed_eog,14.0,37.0,37.8,
2019,060316,passed_rta,,,,3.0
2019,060316,passed_laa,,,,3.0
2019,060316,gce_els,,,,3.0
2019,060316,gce_swd,,,,3.0
2019,060316,gce_rpf,,,,3.0
2019,060316,gce_prm,,,,3.0
2019,060316,gce_all,10.0,37.0,27.0,
2019,060316,promoted,29.0,37.0,78.4,
2019,060316,retained,,,,3.0
2019,060322,passed_eog,16.0,34.0,47.1,
2019,060322,passed_rta,,,,3.0
2019,060322,passed_laa,,,,3.0
2019,060322,gce_els,,,,3.0
2019,060322,gce_swd,,,,3.0
2019,060322,gce_rpf,,,,3.0
2019,060322,gce_prm,,,,3.0
2019,060322,gce_all,11.0,34.0,32.4,
2019,060322,promoted,31.0,34.0,91.2,
2019,060322,retained,,,,3.0
2019,060328,passed_eog,18.0,34.0,52.9,
2019,060328,passed_rta,,,,3.0
2019,060328,passed_laa,,,,3.0
2019,060328,gce_els,,,,3.0
2019,060328,gce_swd,,,,3.0
2019,060328,gce_rpf,,,,3.0
2019,060328,gce_prm,,,,3.0
2019,060328,gce_all,13.0,34.0,38.2,
2019,060328,promoted,,,95.0,1.0
2019,060328,retained,,,,3.0
2019,060332,passed_eog,,,,3.0
2019,060332,passed_rta,,,,3.0
2019,060332,passed_laa,,,,3.0
2019,060332,gce_els,,,,3.0
2019,060332,gce_swd,,,,3.0
2019,060332,gce_rpf,,,,3.0
2019,060332,gce_prm,,,,3.0
2019,060332,gce_all,,,,3.0
2019,060332,promoted,,,95.0,1.0
2019,060332,retained,,,,3.0
2019,06B000,passed_eog,,,,3.0
2019,06B000,passed_rta,,,,3.0
2019,06B000,passed_laa,,,,3.0
2019,06B000,gce_els,,,,3.0
2019,06B000,gce_swd,,,,3.0
2019,06B000,gce_rpf,,,,3.0
2019,06B000,gce_prm,,,,3.0
2019,06B000,gce_all,,,,3.0
2019,06B000,promoted,,,,3.0
2019,06B000,retained,,,,3.0
2019,070308,passed_eog,49.0,61.0,80.3,
2019,070308,passed_rta,,,,3.0
2019,070308,passed_laa,,,,3.0
2019,070308,gce_els,,,,3.0
2019,070308,gce_swd,,,,3.0
2019,070308,gce_rpf,,,,3.0
2019,070308,gce_prm,,,,3.0
2019,070308,gce_all,,,,3.0
2019,070308,promoted,,,95.0,1.0
2019,070308,retained,,,,3.0
2019,070326,passed_eog,68.0,96.0,70.8,
2019,070326,passed_rta,,,,3.0
