year,agency_code,career_cluster,num_concentrators
2019,140386,INFO,8
2019,140386,MANU,5
2019,140386,MRKT,4
2019,140386,STEM,15
2019,140386,TRAN,3
2019,140390,AGNR,20
2019,140390,ARCH,23
2019,140390,AAVC,1
2019,140390,BMA,3
2019,140390,FINA,1
2019,140390,HLTH,19
2019,140390,HOSP,18
2019,140390,INFO,4
2019,140390,LAW,1
2019,140390,MANU,2
2019,140390,STEM,6
2019,140390,TRAN,8
2019,24B000,MRKT,1
2019,150304,AGNR,20
2019,150304,ARCH,7
2019,150304,HLTH,22
2019,150304,HOSP,8
2019,150304,INFO,3
2019,150304,MANU,2
2019,150304,STEM,8
2019,150350,BMA,1
2019,150350,EDUC,1
2019,150350,HLTH,1
2019,150350,HUMA,2
2019,150350,MANU,1
2019,09A000,AGNR,1
2019,09A000,AAVC,1
2019,34H000,EDUC,1
2019,160313,AGNR,46
2019,160313,ARCH,4
2019,160313,BMA,4
2019,160313,HLTH,8
2019,160313,HOSP,33
2019,160313,HUMA,4
2019,160313,MANU,1
2019,160313,STEM,11
2019,160313,TRAN,1
2019,160314,AGNR,36
2019,160314,ARCH,9
2019,160314,AAVC,2
2019,160314,BMA,9
2019,160314,HLTH,11
2019,160314,HOSP,44
2019,160314,INFO,3
2019,160314,LAW,1
2019,160314,STEM,12
2019,160344,AGNR,40
2019,160344,ARCH,7
2019,160344,AAVC,3
2019,160344,BMA,15
2019,160344,HLTH,13
2019,160344,HOSP,25
2019,160344,HUMA,2
2019,160344,INFO,7
2019,160344,STEM,14
2019,60S000,AGNR,1
2019,170316,AGNR,39
2019,170316,ARCH,2
2019,170316,BMA,17
2019,170316,HLTH,21
2019,170316,HOSP,12
2019,170316,HUMA,5
2019,170316,LAW,12
2019,170316,MANU,30
2019,170316,MRKT,2
2019,170316,TRAN,23
2019,11C000,ARCH,1
2019,180308,AGNR,62
2019,180308,ARCH,2
2019,180308,AAVC,1
2019,180308,BMA,7
2019,180308,HLTH,15
2019,180308,HOSP,32
