year,agency_code,subject,grade,num,pct,masking
2019,600454,MA,GS,,95.0,1.0
2019,600454,SC,GS,,95.0,1.0
2019,600494,RD,GS,19.0,5.2,
2019,600494,MA,GS,18.0,5.0,
2019,600501,RD,GS,16.0,6.6,
2019,600501,MA,GS,16.0,6.6,
2019,600512,RD,GS,16.0,5.9,
2019,600512,MA,GS,16.0,5.9,
2019,600557,RD,03,10.0,6.8,
2019,600557,MA,03,10.0,6.8,
2019,600588,RD,04,11.0,8.6,
2019,600588,MA,04,11.0,8.6,
2019,600588,RD,GS,28.0,8.2,
2019,600588,MA,GS,28.0,8.2,
2019,640308,RD,04,10.0,9.3,
2019,640308,MA,04,10.0,9.3,
2019,640308,RD,GS,23.0,6.8,
2019,640308,MA,GS,23.0,6.8,
2019,650392,RD,06,14.0,6.1,
2019,650392,MA,06,14.0,6.1,
2019,650392,RD,GS,32.0,5.0,
2019,650392,MA,GS,32.0,5.0,
2019,700308,RD,07,13.0,6.9,
2019,700308,MA,07,13.0,6.9,
2019,700320,RD,GS,14.0,6.6,
2019,700320,MA,GS,14.0,6.6,
2019,730354,RD,GS,12.0,5.6,
2019,730354,MA,GS,12.0,5.6,
2019,740337,RD,07,13.0,5.1,
2019,740337,MA,07,13.0,5.1,
2019,800315,RD,GS,11.0,6.2,
2019,800315,MA,GS,11.0,6.2,
2019,800347,RD,GS,13.0,5.9,
2019,800347,MA,GS,13.0,5.9,
2019,810336,RD,GS,12.0,5.6,
2019,810336,MA,GS,12.0,5.6,
2019,810342,RD,07,10.0,5.8,
2019,810342,MA,07,10.0,5.8,
2019,900392,RD,07,,95.0,1.0
2019,900392,MA,07,,95.0,1.0
2019,900392,MA,HS,,95.0,1.0
2019,900392,SC,HS,,95.0,1.0
2019,900392,RD,GS,,95.0,1.0
2019,900392,MA,GS,,95.0,1.0
2019,920362,RD,GS,12.0,5.2,
2019,920362,MA,GS,12.0,5.2,
2019,960332,RD,03,,95.0,1.0
2019,960332,MA,03,,95.0,1.0
2019,960332,RD,05,,95.0,1.0
2019,960332,MA,05,,95.0,1.0
2019,960332,SC,05,,95.0,1.0
2019,960332,RD,08,,95.0,1.0
2019,960332,MA,08,,95.0,1.0
2019,960332,SC,08,,95.0,1.0
2019,960332,RD,GS,,95.0,1.0
2019,960332,MA,GS,,95.0,1.0
2019,960332,SC,GS,,95.0,1.0
2019,970312,RD,GS,14.0,7.5,
2019,970312,MA,GS,14.0,7.5,
2019,980400,RD,GS,11.0,7.0,
2019,980400,MA,GS,11.0,7.0,
2019,990304,RD,04,10.0,20.8,
2019,990304,RD,GS,21.0,10.9,
2019,990304,MA,GS,20.0,10.4,
