year,graduation_year,agency_code,Status,subgroup,count,pct_enrolled
2019,2018,600341,ENROLL,All,14.0,0.4666666667
2019,2018,600361,ENROLL,All,280.0,0.5870020964
2019,2018,600364,ENROLL,All,5.0,
2019,2018,600377,ENROLL,All,205.0,0.5601092896000001
2019,2018,600386,ENROLL,All,18.0,0.6923076923
2019,2018,600397,ENROLL,All,101.0,0.2643979058
2019,2018,600404,ENROLL,All,48.0,0.8
2019,2018,600405,ENROLL,All,75.0,0.2577319588
2019,2018,600415,ENROLL,All,160.0,0.4519774011
2019,2018,600426,ENROLL,All,252.0,0.4352331606
2019,2018,600439,ENROLL,All,1.0,
2019,2018,600443,ENROLL,All,95.0,0.8050847458
2019,2018,600445,ENROLL,All,398.0,0.587020649
2019,2018,600454,ENROLL,All,0.0,
2019,2018,600457,ENROLL,All,156.0,0.4457142857
2019,2018,600461,ENROLL,All,0.0,
2019,2018,600466,ENROLL,All,509.0,0.7179125529000001
2019,2018,600480,ENROLL,All,274.0,0.618510158
2019,2018,600482,ENROLL,All,91.0,0.7520661156999999
2019,2018,600496,ENROLL,All,238.0,0.6296296296
2019,2018,600498,ENROLL,All,14.0,0.4242424242
2019,2018,600499,ENROLL,All,36.0,0.41379310340000003
2019,2018,600508,ENROLL,All,431.0,0.8637274548999999
2019,2018,600535,ENROLL,All,453.0,0.638028169
2019,2018,600567,ENROLL,All,10.0,0.6666666667
2019,2018,600576,ENROLL,All,100.0,0.3164556962
2019,2018,600579,ENROLL,All,116.0,0.2997416021
2019,2018,600592,ENROLL,All,156.0,0.407310705
2019,2018,600594,ENROLL,All,3.0,
2019,2018,60B000,ENROLL,All,19.0,0.6333333333
2019,2018,60D000,ENROLL,All,125.0,0.6756756757
2019,2018,60G000,ENROLL,All,65.0,0.6565656566
2019,2018,60I000,ENROLL,All,105.0,0.8823529412000001
2019,2018,60K000,ENROLL,All,30.0,0.5769230769
2019,2018,60V000,ENROLL,All,14.0,0.4666666667
2019,2018,610332,ENROLL,All,17.0,0.5862068965999999
2019,2018,610334,ENROLL,All,76.0,0.5984251969
2019,2018,620310,ENROLL,All,2.0,
2019,2018,620316,ENROLL,All,71.0,0.4863013699
