year,agency_code,target_list,subgroup_list
2019,100348,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2019,10A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2019,10B000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2019,110303,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2019,110304,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
2019,110306,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2019,110308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,110320,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110322,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2019,110323,4 Year Graduation Rate,"ALL,EDS,WH7"
2019,110324,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,110326,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2019,110332,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,110336,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2019,110338,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110340,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110342,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,110348,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
2019,110352,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,SWD,WH7"
2019,110356,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,110366,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110368,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110370,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110372,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7"
2019,110376,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110379,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110380,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,SWD,WH7"
2019,110381,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110382,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110384,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,WH7"
2019,110388,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110401,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110408,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110410,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,110412,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110416,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2019,110420,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2019,110422,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,110425,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,110428,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,110432,,
2019,110436,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
2019,110444,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2019,110450,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2019,110451,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,110500,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2019,111302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
2019,111304,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,111306,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,111307,,
2019,111312,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,111332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,111356,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2019,111360,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
