year,agency_code,num_credentials,num_enrollments,cred_earned_pct
2019,910370,287,,
2019,920316,778,,
2019,920317,678,,
2019,920318,606,,
2019,920348,359,,
2019,920368,1098,,
2019,920411,1151,,
2019,920412,562,,
2019,920428,1283,,
2019,920436,1186,,
2019,920441,1458,,
2019,920445,789,,
2019,920455,1295,,
2019,920466,688,,
2019,920473,1311,,
2019,920495,630,,
2019,920500,635,,
2019,920518,260,,
2019,920526,1375,,
2019,920528,18,,
2019,920546,1315,,
2019,920552,634,,
2019,920556,1,,
2019,920561,87,,
2019,920562,156,,
2019,920581,213,,
2019,920583,45,,
2019,920585,36,,
2019,920586,54,,
2019,920588,471,,
2019,920595,293,,
2019,930352,228,,
2019,930360,4,,
2019,930700,1,,
2019,940316,201,,
2019,940330,19,,
2019,950336,206,,
2019,950338,62,,
2019,960324,433,,
2019,960330,561,,
2019,960335,196,,
2019,960372,337,,
2019,960380,2273,,
2019,960386,345,,
2019,960700,43,,
2019,970320,239,,
2019,970356,659,,
2019,970388,1107,,
2019,970390,334,,
2019,970393,2,,
2019,980306,1,,
2019,980318,866,,
2019,980336,1082,,
2019,980342,466,,
2019,980397,52,,
2019,990322,1441,,
2019,990326,590,,
2019,990332,2,,
2019,995330,949,,
2019,00A000,3,,
2019,06B000,1,,
2019,13A000,3,,
2019,13B000,9,,
2019,19A000,4,,
2019,23A000,28,,
2019,32L000,109,,
2019,33A000,14,,
2019,34B000,4,,
2019,36C000,29,,
2019,51A000,1,,
2019,58B000,35,,
2019,60K000,1,,
2019,60S000,1,,
2019,69A000,9,,
2019,92F000,6,,
2019,92P000,6,,
2019,94Z000,46,,
