year,agency_code,category_code,crime,short_term,long_term,expulsion
2017,130333,T,0.0,10.0,0.0,0.0
2017,130336,E,0.0,1.14,0.0,0.0
2017,130337,E,0.0,3.09,0.0,0.0
2017,130338,E,0.2,6.73,0.0,0.0
2017,130340,E,0.25,8.24,0.0,0.0
2017,130342,E,0.14,25.38,0.0,0.0
2017,130344,E,0.0,20.2,0.0,0.0
2017,130345,E,0.0,1.9,0.0,0.0
2017,130346,M,0.08,10.19,0.0,0.0
2017,130349,H,0.0,0.0,0.0,0.0
2017,130350,H,0.0,2.97,0.0,0.0
2017,130355,M,0.0,12.98,0.0,0.0
2017,130LEA,E,0.11,6.5,0.01,0.0
2017,130LEA,H,0.72,14.33,0.0,0.0
2017,130LEA,M,0.51,14.7,0.0,0.0
2017,130LEA,T,2.46,43.84,0.0,0.0
2017,132304,H,0.92,16.25,0.13,0.0
2017,132308,E,0.0,6.45,0.0,0.0
2017,132312,E,0.27,5.59,0.0,0.0
2017,132328,E,0.0,9.25,0.0,0.0
2017,132329,M,0.0,6.61,0.0,0.0
2017,132330,M,1.14,36.71,1.14,0.0
2017,132332,E,0.0,8.28,0.0,0.0
2017,132336,E,0.0,6.98,0.0,0.0
2017,132LEA,E,0.05,7.3,0.0,0.0
2017,132LEA,H,0.92,16.25,0.13,0.0
2017,132LEA,M,0.56,21.41,0.56,0.0
2017,13A000,A,0.0,7.3,0.11,0.0
2017,13B000,A,0.15,5.17,0.0,0.0
2017,13C000,I,0.27,2.47,0.0,0.0
2017,13D000,E,0.22,5.87,0.0,0.0
2017,140304,E,0.0,1.96,0.0,0.0
2017,140305,H,0.0,0.42,0.0,0.0
2017,140306,T,3.85,109.62,1.92,0.0
2017,140307,E,48.89,51.11,0.0,0.0
2017,140308,I,0.0,2.02,0.0,0.0
2017,140309,H,0.26,0.51,0.0,0.0
2017,140312,E,0.0,7.4,0.0,0.0
2017,140316,E,0.0,1.1,0.0,0.0
2017,140324,E,0.0,4.1,0.0,0.0
2017,140332,M,0.98,14.9,0.0,0.0
2017,140336,M,1.84,3.35,0.0,0.0
2017,140340,E,0.0,3.29,0.0,0.0
2017,140344,I,1.2,8.03,0.0,0.0
2017,140348,H,1.24,14.46,0.0,0.0
2017,140352,E,0.0,2.23,0.0,0.0
2017,140356,M,1.21,8.65,0.0,0.0
2017,140360,I,0.56,6.7,0.0,0.0
2017,140368,M,0.35,7.03,0.0,0.0
2017,140372,E,0.0,2.14,0.0,0.0
2017,140376,I,0.78,3.1,0.0,0.0
2017,140384,E,0.3,8.96,0.0,0.0
2017,140386,H,0.87,6.93,0.0,0.0
2017,140388,E,0.66,15.23,0.0,0.0
2017,140390,H,1.28,14.9,0.0,0.0
2017,140392,E,1.86,18.01,0.0,0.0
2017,140396,E,0.36,4.98,0.0,0.0
2017,140LEA,E,0.61,5.12,0.0,0.0
2017,140LEA,H,0.92,9.28,0.0,0.0
2017,140LEA,I,0.55,4.76,0.0,0.0
2017,140LEA,M,1.11,8.27,0.0,0.0
2017,140LEA,T,3.85,109.62,1.92,0.0
2017,150304,H,0.46,3.2,0.23,0.0
2017,150308,E,0.0,3.58,0.0,0.0
2017,150310,E,0.0,3.54,0.0,0.0
2017,150312,M,0.35,5.24,0.0,0.0
2017,150350,H,0.0,4.46,0.0,0.0
2017,150LEA,E,0.0,3.56,0.0,0.0
2017,150LEA,H,0.34,3.54,0.17,0.0
2017,150LEA,M,0.35,5.24,0.0,0.0
2017,160304,E,0.0,0.0,0.0,0.0
2017,160306,E,0.49,3.42,0.0,0.0
2017,160308,E,0.21,9.73,0.21,0.0
2017,160309,A,7.14,132.14,0.0,0.0
2017,160310,M,0.74,7.04,0.0,0.0
2017,160311,M,0.76,8.99,0.0,0.0
2017,160313,H,0.89,17.89,0.18,0.0
