year,agency_code,category_code,pct_ready_kea
2019,180368,E,49.1
2019,180372,E,40.7
2019,180379,E,25.4
2019,180380,E,25.8
2019,180388,E,71.1
2019,181326,E,37.9
2019,181336,E,40.4
2019,181342,E,50.9
2019,181344,E,67.1
2019,182322,E,90.2
2019,182324,E,74.4
2019,182328,E,73.3
2019,190304,I,72.7
2019,190308,I,91.7
2019,190332,I,52.0
2019,190340,I,0.0
2019,190341,E,52.3
2019,190341,I,52.3
2019,190346,E,87.1
2019,190346,I,87.1
2019,190348,E,71.0
2019,190350,E,44.0
2019,190352,I,88.9
2019,190370,E,60.3
2019,200304,E,87.3
2019,200320,I,70.6
2019,200324,E,64.4
2019,200332,E,82.6
2019,200336,I,76.9
2019,220308,E,35.3
2019,230304,E,51.2
2019,230308,E,20.9
2019,230320,E,59.0
2019,230334,E,19.4
2019,230335,,78.9
2019,230340,E,76.8
2019,230344,E,32.1
2019,230348,E,40.9
2019,230357,E,42.1
2019,230364,E,63.5
2019,230368,E,68.6
2019,230370,E,1.7
2019,230376,E,61.8
2019,230380,E,66.2
2019,240308,E,12.5
2019,240328,I,0.0
2019,240332,E,0.0
2019,240344,I,0.0
2019,240352,E,0.0
2019,240352,I,0.0
2019,240354,E,51.9
2019,240370,E,0.0
2019,240370,I,0.0
2019,240372,E,12.1
2019,240372,I,12.1
2019,240388,I,77.9
2019,241320,E,78.2
2019,250306,E,82.2
2019,250312,E,62.7
2019,250316,E,68.4
2019,250320,E,53.3
2019,250328,E,16.9
2019,250336,E,50.0
2019,250348,E,17.5
2019,250364,E,70.6
2019,250380,E,80.4
2019,260302,E,36.3
2019,260306,E,31.4
2019,260310,E,33.3
2019,260312,E,0.0
2019,260316,E,22.2
2019,260320,E,15.1
2019,260326,E,27.7
2019,260332,E,82.3
2019,260338,E,55.1
2019,260340,E,21.7
2019,260342,E,29.9
2019,260344,E,2.6
2019,260348,E,35.5
2019,260352,E,52.9
2019,260356,E,9.7
2019,260361,E,11.9
2019,260363,E,57.5
2019,260364,E,37.5
2019,260366,E,60.0
2019,260367,E,26.1
2019,260370,E,10.4
2019,260373,E,32.5
2019,260375,E,10.3
2019,260382,E,25.6
2019,260386,E,21.1
2019,260396,E,0.0
2019,260397,E,33.1
2019,260398,E,14.9
