year,agency_code,dance_cat,music_cat,theatre_cat,va_cat
2019,240308,N,Y,N,Y
2019,240328,N,Y,N,Y
2019,240332,N,Y,N,N
2019,240334,Y,Y,Y,Y
2019,240344,N,Y,N,Y
2019,240352,N,Y,N,Y
2019,240354,N,Y,N,N
2019,240356,N,Y,N,Y
2019,240368,N,Y,N,Y
2019,240370,N,Y,N,N
2019,240371,Y,Y,Y,Y
2019,240372,N,Y,N,Y
2019,240373,N,Y,N,Y
2019,240376,N,Y,N,Y
2019,240380,Y,Y,Y,Y
2019,240388,N,Y,N,Y
2019,241304,N,Y,N,Y
2019,241308,N,Y,N,Y
2019,241312,N,Y,Y,Y
2019,241316,Y,Y,Y,Y
2019,241320,N,Y,N,Y
2019,24B000,N,Y,N,Y
2019,24N000,N,N,N,Y
2019,250304,N,Y,N,Y
2019,250306,N,Y,N,Y
2019,250308,N,Y,N,Y
2019,250312,N,Y,N,Y
2019,250316,N,Y,N,Y
2019,250320,N,Y,Y,Y
2019,250321,N,Y,N,Y
2019,250324,N,Y,N,Y
2019,250328,N,Y,N,Y
2019,250332,Y,Y,N,Y
2019,250336,N,Y,N,Y
2019,250340,N,Y,N,Y
2019,250344,N,Y,N,Y
2019,250348,N,Y,N,Y
2019,250350,N,Y,N,Y
2019,250356,Y,Y,Y,Y
2019,250360,N,Y,Y,Y
2019,250362,N,Y,N,Y
2019,250364,N,Y,N,Y
2019,250368,N,Y,N,Y
2019,250372,Y,Y,Y,Y
2019,250376,N,Y,Y,Y
2019,250378,N,Y,N,Y
2019,250380,N,Y,N,Y
2019,260302,N,Y,N,Y
2019,260306,N,Y,N,Y
2019,260308,N,Y,N,Y
2019,260310,N,Y,N,Y
2019,260312,N,Y,N,Y
2019,260316,N,Y,N,Y
2019,260318,Y,Y,Y,Y
2019,260320,N,Y,N,Y
2019,260321,N,Y,N,N
2019,260322,Y,Y,Y,Y
2019,260325,Y,Y,Y,Y
2019,260326,N,Y,N,Y
2019,260332,N,Y,Y,Y
2019,260336,N,Y,N,Y
2019,260338,N,Y,N,Y
2019,260340,N,Y,N,Y
2019,260342,N,Y,N,Y
2019,260344,N,Y,N,Y
2019,260347,N,Y,Y,Y
2019,260348,N,Y,N,Y
2019,260352,N,Y,N,Y
2019,260354,Y,Y,Y,Y
2019,260356,N,Y,N,Y
2019,260357,Y,Y,Y,Y
2019,260358,N,Y,N,Y
2019,260359,Y,Y,Y,Y
2019,260361,N,Y,N,Y
2019,260362,N,Y,N,Y
2019,260363,N,Y,N,Y
2019,260364,N,Y,N,Y
2019,260365,N,Y,N,Y
2019,260366,N,Y,N,Y
2019,260367,N,Y,N,Y
2019,260368,N,Y,N,Y
2019,260369,N,Y,N,Y
2019,260370,N,Y,N,Y
2019,260371,N,Y,N,Y
2019,260372,N,Y,N,N
2019,260373,N,Y,N,Y
2019,260375,N,Y,N,Y
2019,260380,N,Y,N,Y
2019,260382,N,Y,N,Y
2019,260383,N,Y,N,Y
2019,260386,N,Y,N,Y
2019,260388,Y,Y,Y,Y
2019,260396,Y,Y,Y,Y
2019,260397,N,Y,N,Y
2019,260398,N,Y,N,Y
2019,260400,N,Y,N,Y
2019,260401,N,Y,N,Y
2019,260402,N,Y,N,Y
2019,260403,N,Y,N,Y
2019,260404,N,Y,N,Y
2019,260405,N,Y,N,Y
2019,260406,Y,Y,N,Y
2019,260407,N,Y,N,Y
2019,260408,Y,Y,Y,Y
2019,260410,N,Y,N,Y
2019,260411,Y,Y,Y,Y
2019,260412,N,Y,N,Y
2019,260413,N,Y,N,N
2019,260414,N,Y,N,Y
2019,260415,N,Y,N,Y
2019,260416,N,Y,N,Y
2019,260417,N,Y,N,Y
2019,260418,N,Y,N,Y
2019,260419,Y,Y,Y,Y
2019,260424,Y,Y,Y,Y
2019,260425,N,Y,N,Y
2019,260426,N,Y,N,Y
2019,260427,Y,Y,Y,Y
2019,260428,N,Y,N,Y
2019,260430,N,Y,N,Y
2019,260432,N,Y,N,Y
2019,260434,N,Y,N,Y
2019,260440,N,Y,N,Y
2019,260444,N,Y,N,Y
2019,260446,Y,Y,Y,Y
2019,260448,N,Y,N,Y
2019,260449,N,N,N,Y
2019,260450,N,Y,N,Y
2019,260452,N,Y,N,Y
2019,260454,N,Y,N,Y
2019,260455,Y,Y,Y,Y
2019,260459,N,Y,N,Y
2019,260700,N,Y,Y,Y
2019,26C000,Y,Y,Y,Y
2019,270304,N,Y,N,N
2019,270306,N,Y,Y,Y
2019,270308,N,Y,N,Y
2019,270309,N,Y,N,N
2019,270310,N,Y,N,Y
2019,270311,N,Y,Y,Y
2019,270316,N,Y,N,Y
2019,270318,N,Y,N,Y
2019,270320,N,Y,N,N
2019,27A000,N,N,N,Y
2019,280302,N,Y,N,Y
2019,280304,N,Y,Y,Y
2019,280306,N,Y,N,Y
2019,280308,N,Y,N,Y
2019,280310,N,Y,N,Y
2019,280312,N,Y,N,Y
2019,280316,N,Y,Y,Y
2019,280320,N,Y,N,Y
2019,280324,N,Y,N,Y
2019,280328,N,Y,Y,Y
2019,280330,N,Y,Y,Y
2019,290302,N,Y,N,Y
2019,290306,N,Y,N,Y
2019,290307,N,Y,N,Y
2019,290308,N,Y,N,Y
2019,290309,N,Y,N,Y
2019,290310,N,Y,N,Y
2019,290312,N,Y,N,Y
2019,290316,N,Y,N,Y
2019,290320,N,Y,N,Y
2019,290322,N,Y,N,Y
2019,290324,N,Y,Y,Y
2019,290328,N,Y,N,Y
2019,290330,N,Y,N,Y
2019,290332,N,Y,N,Y
2019,290333,N,Y,N,Y
2019,290334,N,Y,N,Y
2019,290336,N,Y,Y,Y
2019,290344,N,Y,N,Y
2019,290348,N,Y,Y,Y
2019,290349,N,Y,Y,Y
2019,290350,N,Y,N,Y
2019,290351,N,Y,N,Y
2019,290352,N,Y,N,Y
2019,290356,N,Y,N,Y
2019,290364,N,Y,N,Y
2019,290365,N,Y,Y,Y
2019,290366,N,Y,N,Y
2019,290367,N,Y,N,Y
2019,290375,N,Y,N,Y
2019,290376,N,Y,N,Y
2019,290380,N,Y,N,Y
2019,290384,N,Y,N,Y
2019,290388,N,Y,Y,Y
2019,291308,N,Y,N,Y
2019,291332,N,Y,N,Y
2019,291336,N,Y,N,Y
2019,291340,N,Y,N,Y
2019,291348,N,Y,N,Y
2019,291352,N,Y,N,Y
2019,292316,N,Y,N,Y
2019,292318,N,Y,N,Y
2019,292320,N,Y,N,Y
2019,292324,N,Y,Y,Y
2019,295300,N,Y,N,Y
2019,298202,N,N,N,Y
2019,298203,N,Y,N,Y
2019,29A000,N,Y,N,Y
2019,300306,N,N,N,Y
2019,300308,N,Y,N,Y
2019,300310,N,Y,N,Y
2019,300312,Y,Y,Y,Y
2019,300320,N,Y,N,Y
2019,300325,N,Y,Y,Y
2019,300326,N,Y,N,Y
2019,300328,N,Y,N,Y
2019,300330,N,Y,Y,Y
2019,300336,N,Y,N,Y
2019,300337,N,Y,Y,Y
2019,310304,N,Y,N,Y
2019,310308,N,Y,N,Y
2019,310330,N,Y,N,Y
2019,310336,N,Y,N,Y
2019,310338,N,Y,N,Y
2019,310344,N,Y,N,Y
2019,310352,N,Y,N,Y
2019,310356,N,Y,N,Y
2019,310360,N,Y,N,Y
2019,310364,N,Y,N,Y
2019,310384,N,Y,N,Y
2019,310388,N,Y,N,Y
2019,310392,N,Y,N,Y
2019,320304,N,Y,N,Y
2019,320306,N,Y,N,Y
2019,320308,N,Y,N,Y
2019,320309,N,Y,Y,Y
2019,320310,N,Y,N,Y
2019,320312,Y,Y,Y,Y
2019,320313,N,Y,N,Y
2019,320314,N,Y,N,Y
2019,320315,N,Y,N,Y
2019,320316,Y,Y,N,Y
2019,320317,N,Y,N,Y
2019,320318,Y,Y,N,Y
2019,320319,N,Y,Y,Y
2019,320320,N,Y,N,Y
2019,320322,N,N,Y,N
2019,320323,Y,Y,Y,Y
2019,320324,N,Y,N,Y
2019,320325,Y,Y,Y,Y
2019,320327,N,Y,N,Y
2019,320328,N,Y,N,Y
2019,320332,N,Y,Y,Y
2019,320338,N,Y,N,Y
2019,320339,N,Y,N,Y
2019,320340,N,Y,N,Y
2019,320341,N,N,N,Y
2019,320342,N,Y,N,Y
2019,320343,N,Y,N,Y
2019,320344,N,N,N,Y
2019,320346,N,Y,N,Y
2019,320347,N,Y,N,Y
2019,320348,N,Y,N,Y
2019,320352,N,Y,N,Y
2019,320353,N,Y,N,Y
2019,320354,N,Y,N,Y
2019,320355,N,Y,N,Y
2019,320356,Y,Y,Y,Y
2019,320360,N,Y,N,Y
2019,320362,N,Y,N,Y
2019,320363,N,Y,N,Y
2019,320364,N,Y,N,Y
2019,320365,Y,Y,Y,Y
2019,320366,N,Y,Y,Y
2019,320367,Y,Y,N,Y
2019,320368,Y,Y,Y,Y
2019,320369,Y,Y,Y,Y
2019,320370,N,Y,N,Y
2019,320372,N,Y,N,Y
2019,320374,N,Y,N,Y
2019,320376,N,Y,N,Y
2019,320388,Y,Y,N,Y
2019,320400,N,Y,N,Y
2019,320701,N,N,N,Y
2019,32A000,N,Y,Y,Y
2019,32D000,Y,Y,N,Y
2019,32H000,N,Y,N,Y
2019,32K000,N,Y,N,N
2019,32L000,Y,Y,Y,Y
2019,32M000,N,N,N,Y
2019,32N000,N,Y,Y,Y
2019,32Q000,N,N,N,Y
2019,32R000,Y,Y,Y,Y
2019,32S000,N,Y,N,N
2019,330304,N,Y,N,Y
2019,330308,N,Y,N,Y
2019,330312,N,Y,N,Y
2019,330326,N,Y,N,Y
2019,330328,N,Y,N,Y
2019,330332,N,Y,N,Y
2019,330334,N,Y,N,Y
2019,330340,N,Y,N,Y
2019,330344,N,Y,N,Y
2019,330348,N,Y,N,Y
2019,330350,N,Y,N,Y
2019,330354,N,Y,N,Y
2019,330358,N,Y,N,Y
2019,330360,N,Y,N,Y
2019,33A000,N,Y,Y,Y
2019,340308,N,Y,N,Y
2019,340311,N,Y,Y,Y
2019,340314,N,Y,N,Y
2019,340320,N,Y,N,Y
2019,340326,N,Y,N,Y
2019,340330,Y,Y,Y,Y
2019,340332,N,Y,N,N
2019,340334,N,Y,N,Y
2019,340336,N,Y,N,Y
2019,340344,N,Y,N,Y
2019,340348,N,Y,N,Y
2019,340350,N,Y,N,Y
2019,340351,N,Y,N,Y
2019,340364,Y,Y,Y,Y
2019,340366,N,Y,N,Y
2019,340368,N,Y,N,Y
2019,340372,N,Y,N,Y
2019,340376,N,Y,N,Y
2019,340380,N,Y,N,Y
2019,340382,Y,Y,Y,Y
2019,340384,N,Y,N,Y
2019,340390,N,Y,N,Y
2019,340392,N,Y,N,Y
