year,agency_code,subgroup,iss_per1000,iss_mask_code,sts_per1000,sts_mask_code,lts_per1000,lts_mask_code,exp_per1000,exp_mask_code,act_per1000,act_mask_code,bha_per1000,bha_mask_code,rpt_per1000,rpt_mask_code,arr_per1000,arr_mask_code
2019,010324,MALE,487.915,0,123.867,0,1.5106,0,0.0,0,18.1269,0,0.0,0,0.0,0,0.0,0
2019,010324,MU7,478.87300000000005,0,98.59200000000001,0,0.0,0,0.0,0,42.2535,0,0.0,0,0.0,0,0.0,0
2019,010324,SWD,851.852,0,172.84,0,0.0,0,0.0,0,18.5185,0,6.172999999999999,0,0.0,0,0.0,0
2019,010324,WH7,260.935,0,70.89,0,1.5083,0,0.0,0,12.0664,0,1.508,0,0.0,0,0.0,0
2019,010326,ALL,1.689,0,126.689,0,0.0,0,0.0,0,0.0,0,15.203,0,0.0,0,0.0,0
2019,010326,BL7,5.207999999999999,0,312.5,0,0.0,0,0.0,0,0.0,0,41.667,0,0.0,0,0.0,0
2019,010326,EDS,2.427,0,169.903,0,0.0,0,0.0,0,0.0,0,21.845,0,0.0,0,0.0,0
2019,010326,ELS,0.0,0,20.408,0,0.0,0,0.0,0,0.0,0,5.102,0,0.0,0,0.0,0
2019,010326,FEM,0.0,0,84.87100000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010326,HI7,0.0,0,25.805999999999997,0,0.0,0,0.0,0,0.0,0,3.2260000000000004,0,0.0,0,0.0,0
2019,010326,MALE,3.175,0,165.079,0,0.0,0,0.0,0,0.0,0,28.570999999999998,0,0.0,0,0.0,0
2019,010326,MU7,0.0,0,105.26299999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010326,SWD,0.0,0,355.26300000000003,0,0.0,0,0.0,0,0.0,0,39.474000000000004,0,0.0,0,0.0,0
2019,010326,WH7,0.0,0,79.365,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,ALL,1.8659999999999999,0,9.328,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,EDS,5.617999999999999,0,16.854,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,FEM,0.0,0,4.065,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,HI7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,MALE,3.497,0,13.985999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,MU7,0.0,0,86.95700000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,SWD,12.658,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010328,WH7,2.193,0,6.579,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010340,ALL,0.0,0,46.768,0,0.0,0,0.0,0,0.0,0,1.376,0,0.0,0,0.0,0
2019,010340,BL7,0.0,0,55.556000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010340,EDS,0.0,0,64.067,0,0.0,0,0.0,0,0.0,0,2.786,0,0.0,0,0.0,0
2019,010340,FEM,0.0,0,10.554,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010340,HI7,0.0,0,6.711,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010340,MALE,0.0,0,85.96,0,0.0,0,0.0,0,0.0,0,2.865,0,0.0,0,0.0,0
2019,010340,SWD,0.0,0,209.30200000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010340,WH7,0.0,0,64.286,0,0.0,0,0.0,0,0.0,0,2.381,0,0.0,0,0.0,0
2019,010346,ALL,7.957999999999999,0,21.22,0,2.6525,0,0.0,0,5.305,0,0.0,0,0.0,0,0.0,0
2019,010346,BL7,27.026999999999997,0,27.026999999999997,0,27.026999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010346,EDS,8.547,0,25.641,0,4.2735,0,0.0,0,4.2735,0,0.0,0,0.0,0,0.0,0
2019,010346,ELS,0.0,0,16.667,0,0.0,0,0.0,0,16.6667,0,0.0,0,0.0,0,0.0,0
2019,010346,FEM,5.435,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010346,HI7,0.0,0,23.529,0,0.0,0,0.0,0,11.7647,0,0.0,0,0.0,0,0.0,0
