year,agency_code,stu_enroll,cte_enroll,pct
2019,422310,142,85,59.86
2019,422315,201,143,71.14
2019,422318,163,152,93.25
2019,430330,647,318,49.15
2019,430332,398,180,45.23
2019,430341,83,31,37.35
2019,430345,188,117,62.23
2019,430346,1461,1081,73.99
2019,430347,1173,474,40.41
2019,430351,934,356,38.12
2019,430370,790,315,39.87
2019,430371,1695,1379,81.36
2019,430378,1255,993,79.12
2019,430384,1331,1011,75.96
2019,430386,810,334,41.23
2019,440318,272,199,73.16
2019,440320,589,378,64.18
2019,440326,121,70,57.85
2019,440346,184,19,10.33
2019,440378,974,808,82.96
2019,440390,940,727,77.34
2019,440396,824,422,51.21
2019,450301,908,520,57.27
2019,450316,876,684,78.08
2019,450328,793,500,63.05
2019,450334,726,457,62.95
2019,450335,560,456,81.43
2019,450341,973,662,68.04
2019,450342,862,820,95.13
2019,450343,164,92,56.1
2019,450352,1109,825,74.39
2019,450354,203,88,43.35
2019,460318,663,608,91.7
2019,460320,591,469,79.36
2019,460322,179,136,75.98
2019,460340,67,65,97.01
2019,470312,1880,1257,66.86
2019,470320,567,322,56.79
2019,470332,741,410,55.33
2019,470342,119,74,62.18
2019,470442,748,452,60.43
2019,470443,394,36,9.14
2019,480316,96,58,60.42
2019,480318,196,151,77.04
2019,490307,143,37,25.87
2019,490308,731,523,71.55
2019,490310,174,50,28.74
2019,490320,215,111,51.63
2019,490327,489,288,58.9
2019,490335,1935,1209,62.48
2019,490338,630,421,66.83
2019,490344,448,430,95.98
2019,490346,863,644,74.62
2019,490347,442,439,99.32
2019,490349,611,473,77.41
2019,490350,206,68,33.01
2019,490352,353,306,86.69
2019,490354,883,565,63.99
2019,490355,245,79,32.24
2019,490362,1482,863,58.23
2019,490366,401,281,70.07
2019,490380,780,588,75.38
2019,490384,675,272,40.3
2019,491308,1006,788,78.33
2019,491312,1859,1319,70.95
2019,49E000,1129,206,18.25
2019,49F000,769,18,2.34
2019,49G000,204,17,8.33
2019,500302,161,80,49.69
2019,500304,190,107,56.32
2019,500314,272,184,67.65
2019,500323,130,49,37.69
2019,500324,108,63,58.33
2019,500332,136,136,100.0
2019,500337,113,106,93.81
2019,500340,849,521,61.37
2019,510310,398,273,68.59
2019,510324,1954,1421,72.72
2019,510327,1757,1197,68.13
2019,510329,991,692,69.83
2019,510333,1980,1497,75.61
2019,510342,524,441,84.16
2019,510344,667,460,68.97
2019,510359,736,693,94.16
2019,510360,232,183,78.88
2019,510364,1222,936,76.6
2019,510368,764,544,71.2
2019,510376,1012,836,82.61
2019,510379,1296,952,73.46
2019,510390,411,272,66.18
2019,510397,642,539,83.96
2019,510399,1285,816,63.5
2019,510402,1241,826,66.56
2019,510406,1384,1050,75.87
2019,510411,681,458,67.25
2019,510412,582,511,87.8
2019,51A000,465,10,2.15
2019,520320,298,257,86.24
2019,520324,148,137,92.57
2019,530306,94,48,51.06
2019,530314,648,414,63.89
2019,530335,300,43,14.33
2019,530336,1446,1148,79.39
2019,530341,959,860,89.68
2019,530343,1144,893,78.06
2019,530356,674,475,70.47
2019,53B000,161,161,100.0
2019,540308,351,324,92.31
2019,540312,560,276,49.29
2019,540315,646,538,83.28
2019,540317,177,32,18.08
2019,540318,95,14,14.74
2019,540324,860,714,83.02
2019,540330,494,255,51.62
2019,540336,704,573,81.39
2019,540344,651,530,81.41
2019,550308,58,43,74.14
2019,550320,951,722,75.92
2019,550322,695,438,63.02
2019,550332,794,556,70.03
2019,550334,666,277,41.59
2019,550344,994,739,74.35
2019,550350,714,490,68.63
2019,550368,838,615,73.39
2019,550372,609,360,59.11
2019,55A000,1219,55,4.51
2019,560320,926,747,80.67
2019,560324,205,91,44.39
2019,560329,148,65,43.92
2019,560330,605,493,81.49
2019,560332,42,35,83.33
2019,560350,113,69,61.06
2019,570317,251,45,17.93
2019,570318,535,414,77.38
2019,570319,503,331,65.81
2019,580344,472,358,75.85
2019,580368,556,450,80.94
2019,580372,447,334,74.72
2019,58B000,412,257,62.38
2019,590310,599,355,59.27
2019,590326,70,26,37.14
2019,590328,273,70,25.64
2019,590330,1378,1127,81.79
2019,590356,654,418,63.91
2019,590393,186,112,60.22
2019,600301,1159,933,80.5
2019,600302,3306,2258,68.3
2019,600303,50,50,100.0
2019,600305,953,736,77.23
2019,600311,163,32,19.63
2019,600312,2552,1508,59.09
2019,600313,1719,1055,61.37
2019,600317,762,749,98.29
2019,600319,216,112,51.85
2019,600333,1189,847,71.24
2019,600334,217,48,22.12
2019,600341,858,547,63.75
2019,600344,242,139,57.44
2019,600345,1934,1152,59.57
2019,600351,724,708,97.79
2019,600353,907,636,70.12
2019,600361,2044,1332,65.17
2019,600364,185,153,82.7
2019,600366,150,149,99.33
2019,600374,157,136,86.62
2019,600377,2005,1338,66.73
2019,600381,911,763,83.75
2019,600386,249,244,97.99
2019,600394,1074,751,69.93
2019,600397,1715,1126,65.66
2019,600399,1443,780,54.05
2019,600404,183,74,40.44
2019,600405,1459,857,58.74
2019,600415,1712,1118,65.3
2019,600426,2241,1392,62.12
2019,600428,860,694,80.7
2019,600429,578,574,99.31
2019,600431,1252,862,68.85
2019,600434,1065,817,76.71
2019,600439,308,145,47.08
2019,600443,229,65,28.38
2019,600445,2408,1510,62.71
2019,600448,947,691,72.97
2019,600450,1176,828,70.41
2019,600454,163,154,94.48
2019,600455,1229,798,64.93
2019,600457,1494,921,61.65
2019,600461,63,20,31.75
2019,600462,256,196,76.56
2019,600466,3328,1729,51.95
2019,600479,606,585,96.53
2019,600480,2180,1368,62.75
2019,600481,923,816,88.41
2019,600482,1077,377,35.0
2019,600488,154,128,83.12
2019,600490,2616,1859,71.06
2019,600496,1679,1478,88.03
2019,600497,1070,332,31.03
2019,600498,159,132,83.02
2019,600499,321,119,37.07
2019,600508,1927,1241,64.4
2019,600509,1180,737,62.46
2019,600513,1160,894,77.07
2019,600514,1155,926,80.17
2019,600515,65,62,95.38
2019,600518,1300,954,73.38
2019,600520,536,308,57.46
2019,600532,443,179,40.41
2019,600535,3067,1722,56.15
2019,600537,966,655,67.81
2019,600538,1457,1107,75.98
2019,600553,201,161,80.1
2019,600567,329,278,84.5
2019,600574,99,89,89.9
2019,600576,1366,759,55.56
2019,600579,1235,1007,81.54
2019,600582,212,136,64.15
2019,600583,469,439,93.6
2019,600592,1930,1273,65.96
2019,600594,168,64,38.1
2019,60B000,733,1,0.14
2019,60D000,1397,24,1.72
2019,60G000,706,22,3.12
2019,60I000,836,1,0.12
2019,60K000,299,16,5.35
2019,60S000,683,173,25.33
2019,60V000,223,86,38.57
2019,610302,149,115,77.18
2019,610326,259,215,83.01
2019,610332,131,69,52.67
2019,610334,490,426,86.94
2019,61U000,105,39,37.14
2019,620310,82,37,45.12
2019,620314,508,367,72.24
2019,620316,477,362,75.89
2019,620339,386,315,81.61
2019,620340,414,326,78.74
2019,620350,176,97,55.11
2019,630317,431,217,50.35
2019,630320,241,79,32.78
2019,630328,98,91,92.86
2019,630330,111,14,12.61
2019,630331,631,353,55.94
2019,630332,526,424,80.61
2019,630336,2030,1355,66.75
2019,630350,704,389,55.26
2019,630360,1323,946,71.5
2019,630374,837,455,54.36
2019,630376,107,61,57.01
2019,63B000,225,6,2.67
2019,640320,634,443,69.87
2019,640329,492,414,84.15
2019,640334,265,157,59.25
2019,640335,372,271,72.85
2019,640340,128,17,13.28
2019,640342,48,47,97.92
2019,640346,940,718,76.38
2019,640347,300,81,27.0
2019,640350,1042,824,79.08
2019,640358,912,491,53.84
2019,640361,1104,771,69.84
2019,640362,840,604,71.9
2019,640364,1008,750,74.4
2019,64A000,602,5,0.83
2019,650310,1086,700,64.46
2019,650325,763,372,48.75
2019,650326,2141,1284,59.97
2019,650327,1862,1235,66.33
2019,650332,78,66,84.62
2019,650340,233,72,30.9
2019,650342,1822,1059,58.12
2019,650343,701,498,71.04
2019,650350,926,598,64.58
2019,650351,721,485,67.27
2019,650352,1433,830,57.92
2019,650354,106,71,66.98
2019,650355,114,53,46.49
2019,650364,902,625,69.29
2019,650392,677,482,71.2
2019,650394,248,96,38.71
2019,650395,81,78,96.3
2019,660308,221,66,29.86
2019,660325,144,47,32.64
2019,660336,332,257,77.41
2019,660400,144,93,64.58
2019,66A000,623,11,1.77
2019,670300,104,49,47.12
2019,670318,816,582,71.32
2019,670320,897,651,72.58
2019,670322,778,544,69.92
2019,670324,1202,932,77.54
2019,670325,1084,668,61.62
2019,670331,531,422,79.47
2019,670333,1189,776,65.26
2019,670336,674,520,77.15
2019,670340,904,702,77.65
2019,670344,732,595,81.28
2019,670345,577,350,60.66
2019,670351,873,593,67.93
2019,670352,1088,894,82.17
2019,670356,829,628,75.75
2019,670364,1052,724,68.82
2019,680304,643,496,77.14
2019,680310,1023,710,69.4
2019,680316,650,444,68.31
2019,680327,489,293,59.92
2019,680332,1298,895,68.95
2019,680335,49,19,38.78
2019,681305,874,385,44.05
2019,681308,1504,687,45.68
2019,681309,685,361,52.7
2019,681314,1478,678,45.87
2019,681322,747,370,49.53
2019,681324,670,381,56.87
2019,681336,871,374,42.94
2019,681338,49,17,34.69
2019,68A000,411,37,9.0
2019,690316,299,249,83.28
2019,690320,455,347,76.26
2019,69A000,284,208,73.24
2019,700308,628,439,69.9
2019,700310,42,29,69.05
2019,700317,647,483,74.65
2019,700319,718,577,80.36
2019,700322,599,427,71.29
2019,700325,99,3,3.03
2019,70A000,420,87,20.71
2019,710316,299,234,78.26
2019,710320,494,432,87.45
2019,710321,713,553,77.56
2019,710326,607,476,78.42
2019,710327,227,59,25.99
2019,710328,177,64,36.16
2019,710342,1482,1032,69.64
2019,710346,553,456,82.46
2019,710348,195,156,80.0
2019,710352,524,479,91.41
2019,720316,473,337,71.25
2019,720320,397,359,90.43
2019,730344,486,242,49.79
2019,730350,148,74,50.0
2019,730352,1156,949,82.09
2019,730360,458,336,73.36
2019,73B000,690,15,2.17
2019,740302,790,428,54.18
2019,740308,380,259,68.16
2019,740309,649,508,78.27
2019,740320,91,56,61.54
2019,740324,537,354,65.92
2019,740332,316,90,28.48
2019,740333,1638,1241,75.76
2019,740337,801,373,46.57
2019,740340,666,424,63.66
2019,740344,781,550,70.42
2019,740352,166,55,33.13
2019,740358,171,36,21.05
2019,740362,826,363,43.95
2019,740366,1488,1018,68.41
