year,agency_code,category_code,ni,eff,he,ni_pct,eff_pct,he_pct
2019,10B000,E,1,6,11,0.055555556,0.3333333433,0.6111111045000001
2019,110303,H,5,11,4,0.25,0.5500000119,0.200000003
2019,110304,H,4,37,30,0.0563380271,0.5211267471,0.4225352108
2019,110306,M,3,20,14,0.0810810775,0.5405405164,0.3783783913
2019,110308,E,2,7,3,0.1666666716,0.5833333135000001,0.25
2019,110318,E,2,8,2,0.1666666716,0.6666666864999999,0.1666666716
2019,110320,E,2,17,10,0.068965517,0.5862069129999999,0.3448275924
2019,110322,H,1,8,6,0.06666667009999999,0.5333333611,0.400000006
2019,110323,H,1,3,0,0.25,0.75,0.0
2019,110324,E,4,18,4,0.1538461596,0.6923077106000001,0.1538461596
2019,110326,M,5,19,12,0.1388888955,0.527777791,0.3333333433
2019,110332,E,3,11,5,0.1578947306,0.5789473653,0.2631579041
2019,110336,H,1,22,27,0.0199999996,0.43999999759999997,0.5400000215
2019,110338,M,4,22,11,0.10810811070000001,0.5945945978,0.2972972989
2019,110340,H,16,43,24,0.1927710772,0.5180723071,0.2891566157
2019,110342,M,11,23,11,0.2444444448,0.5111111403,0.2444444448
2019,110348,E,1,17,6,0.0416666679,0.7083333135,0.25
2019,110352,H,2,27,38,0.0298507456,0.40298506619999996,0.5671641827
2019,110356,E,1,33,11,0.022222222799999997,0.7333333492,0.2444444448
2019,110366,E,5,22,7,0.1470588297,0.6470588446,0.20588235559999998
2019,110368,E,3,16,5,0.125,0.6666666864999999,0.2083333284
2019,110370,E,2,19,4,0.0799999982,0.7599999905,0.1599999964
2019,110372,E,6,15,1,0.2727272809,0.6818181872,0.045454546799999995
2019,110376,E,1,14,11,0.0384615399,0.5384615660000001,0.42307692770000005
2019,110379,E,2,28,10,0.050000000700000005,0.6999999881,0.25
2019,110380,H,5,29,28,0.0806451589,0.4677419364,0.4516128898
2019,110381,M,1,27,9,0.0270270277,0.729729712,0.2432432473
2019,110382,M,0,17,20,0.0,0.45945945380000003,0.5405405164
2019,110384,E,3,16,9,0.1071428582,0.571428597,0.3214285672
2019,110388,E,1,9,4,0.0714285746,0.6428571343,0.2857142985
2019,110401,M,3,21,11,0.08571428810000001,0.6000000238000001,0.3142857254
2019,110408,E,4,27,9,0.1000000015,0.6750000119,0.22499999399999998
2019,110410,E,5,20,15,0.125,0.5,0.375
2019,110412,E,0,17,11,0.0,0.6071428657,0.3928571343
2019,110416,H,10,33,48,0.1098901108,0.36263737079999997,0.5274725556000001
2019,110420,M,4,20,21,0.088888891,0.44444444780000003,0.46666666869999995
2019,110422,E,6,33,15,0.11111111189999999,0.6111111045000001,0.277777791
2019,110425,M,4,11,20,0.1142857149,0.3142857254,0.571428597
2019,110428,E,0,16,4,0.0,0.8000000119,0.200000003
2019,110432,E,1,11,8,0.050000000700000005,0.5500000119,0.400000006
2019,110436,E,2,24,12,0.052631579299999995,0.6315789223,0.3157894611
2019,110444,E,0,11,6,0.0,0.6470588446,0.3529411852
2019,110450,M,11,20,11,0.2619047761,0.4761904776,0.2619047761
2019,110451,M,6,18,10,0.1764705926,0.5294117928000001,0.2941176593
2019,110500,H,0,4,13,0.0,0.2352941185,0.7647058964
2019,111000,,0,5,5,0.0,0.5,0.5
2019,111302,H,6,38,29,0.0821917802,0.5205479264,0.3972602785
2019,111304,E,6,18,3,0.22222222390000002,0.6666666864999999,0.11111111189999999
2019,111306,E,3,24,3,0.1000000015,0.8000000119,0.1000000015
2019,111307,E,6,2,2,0.6000000238000001,0.200000003,0.200000003
2019,111312,E,3,20,8,0.0967741907,0.6451612711,0.2580645084
2019,111332,E,2,21,12,0.0571428575,0.6000000238000001,0.3428571522
2019,111356,M,4,22,26,0.0769230798,0.42307692770000005,0.5
2019,111360,E,2,20,8,0.06666667009999999,0.6666666864999999,0.2666666806
2019,111369,M,0,4,12,0.0,0.25,0.75
2019,111700,H,0,11,8,0.0,0.5789473653,0.4210526347
2019,11A000,I,2,19,10,0.0645161271,0.6129032373,0.3225806355
2019,11B000,I,6,9,9,0.25,0.375,0.375
2019,11C000,A,5,38,24,0.074626863,0.5671641827,0.3582089543
2019,11D000,T,0,3,3,0.0,0.5,0.5
2019,11K000,I,0,8,6,0.0,0.571428597,0.4285714328
2019,120304,,0,2,0,0.0,1.0,0.0
2019,120308,T,7,8,0,0.46666666869999995,0.5333333611,0.0
2019,120310,H,0,2,1,0.0,0.6666666864999999,0.3333333433
2019,120312,E,0,17,8,0.0,0.6800000072,0.3199999928
2019,120314,H,8,26,18,0.1538461596,0.5,0.34615385530000004
2019,120315,M,3,33,1,0.0810810775,0.8918918967,0.0270270277
2019,120316,E,0,15,6,0.0,0.7142857313,0.2857142985
2019,120318,H,10,41,12,0.1587301642,0.6507936716,0.190476194
2019,120320,E,2,14,6,0.09090909359999999,0.6363636254999999,0.2727272809
2019,120324,E,0,22,3,0.0,0.8799999951999999,0.11999999730000001
2019,120334,M,5,21,5,0.1612903178,0.6774193645000001,0.1612903178
2019,120338,E,2,12,9,0.0869565234,0.5217391253,0.3913043439
2019,120340,E,2,20,2,0.0833333358,0.8333333135,0.0833333358
2019,120344,E,2,12,4,0.11111111189999999,0.6666666864999999,0.22222222390000002
2019,120346,H,6,28,5,0.1538461596,0.7179487348,0.1282051355
2019,120350,M,3,20,7,0.1000000015,0.6666666864999999,0.2333333343
2019,120352,A,4,5,4,0.3076923192,0.38461539149999996,0.3076923192
2019,120354,E,14,18,5,0.3783783913,0.48648649450000003,0.1351351291
2019,120360,E,0,17,6,0.0,0.7391304374,0.2608695626
2019,120364,E,3,19,3,0.11999999730000001,0.7599999905,0.11999999730000001
2019,120368,E,2,21,9,0.0625,0.65625,0.28125
2019,120370,H,4,28,18,0.0799999982,0.5600000024,0.3600000143
2019,120372,,0,2,3,0.0,0.400000006,0.6000000238000001
2019,120374,E,3,20,5,0.1071428582,0.7142857313,0.1785714328
2019,120376,M,3,19,9,0.0967741907,0.6129032373,0.290322572
2019,120380,E,4,19,10,0.1212121248,0.5757575631,0.30303031210000003
2019,120386,E,5,20,3,0.1785714328,0.7142857313,0.1071428582
2019,120390,M,4,19,10,0.1212121248,0.5757575631,0.30303031210000003
2019,130304,E,5,43,8,0.0892857164,0.7678571343,0.1428571492
2019,130307,H,10,60,14,0.1190476194,0.7142857313,0.1666666716
2019,130308,E,0,24,10,0.0,0.7058823705,0.2941176593
2019,130309,E,0,18,4,0.0,0.8181818128,0.18181818719999998
2019,130310,H,4,64,23,0.0439560451,0.703296721,0.2527472675
2019,130311,E,3,20,7,0.1000000015,0.6666666864999999,0.2333333343
2019,130312,E,6,47,8,0.09836065769999999,0.7704917789,0.13114753369999999
2019,130313,M,10,38,11,0.1694915295,0.6440678239000001,0.18644067649999999
2019,130314,H,6,61,5,0.0833333358,0.8472222090000001,0.0694444478
2019,130315,M,2,30,7,0.051282052,0.7692307829999999,0.1794871837
2019,130316,H,8,42,27,0.10389610380000001,0.5454545617000001,0.3506493568
2019,130317,T,4,7,2,0.3076923192,0.5384615660000001,0.1538461596
2019,130318,M,4,42,16,0.0645161271,0.6774193645000001,0.2580645084
2019,130319,E,8,47,9,0.125,0.734375,0.140625
2019,130320,M,0,54,15,0.0,0.7826086879,0.2173912972
2019,130321,E,1,40,12,0.0188679248,0.7547169923999999,0.22641509769999998
2019,130322,E,0,19,21,0.0,0.474999994,0.5249999761999999
2019,130323,M,4,26,11,0.097560972,0.6341463327,0.2682926953
2019,130324,H,8,44,1,0.1509433985,0.8301886916,0.0188679248
2019,130325,E,1,37,5,0.023255813900000002,0.8604651093000001,0.1162790731
2019,130326,H,0,62,19,0.0,0.7654321194,0.2345678955
2019,130327,M,5,24,24,0.094339624,0.45283019539999997,0.45283019539999997
2019,130328,E,4,12,5,0.190476194,0.571428597,0.2380952388
2019,130329,E,6,39,9,0.11111111189999999,0.7222222090000001,0.1666666716
2019,130330,E,0,20,6,0.0,0.7692307829999999,0.2307692319
2019,130331,E,5,31,14,0.1000000015,0.6200000048,0.2800000012
2019,130332,H,3,52,30,0.0352941193,0.611764729,0.3529411852
2019,130333,T,0,6,0,0.0,1.0,0.0
2019,130336,E,2,23,16,0.048780486,0.5609756112,0.3902438879
2019,130337,E,0,26,19,0.0,0.5777778029,0.4222222269
2019,130338,E,3,37,25,0.0461538471,0.5692307949000001,0.38461539149999996
2019,130340,E,10,36,10,0.1785714328,0.6428571343,0.1785714328
2019,130342,E,3,36,15,0.055555556,0.6666666864999999,0.277777791
2019,130344,E,3,23,15,0.073170729,0.5609756112,0.36585366729999996
2019,130345,E,8,41,14,0.1269841343,0.6507936716,0.22222222390000002
2019,130346,M,1,33,27,0.0163934417,0.5409836173,0.44262295960000003
2019,130349,H,1,8,1,0.1000000015,0.8000000119,0.1000000015
2019,130350,H,0,5,3,0.0,0.625,0.375
2019,130355,M,0,32,31,0.0,0.5079365373,0.4920634925
2019,132000,,0,0,10,0.0,0.0,1.0
2019,132304,H,8,25,5,0.2105263174,0.6578947306,0.1315789521
2019,132308,E,8,12,12,0.25,0.375,0.375
2019,132312,E,4,12,6,0.18181818719999998,0.5454545617000001,0.2727272809
2019,132314,E,1,28,11,0.0250000004,0.6999999881,0.275000006
2019,132328,E,2,20,7,0.068965517,0.6896551847,0.2413793057
2019,132330,M,8,27,38,0.1095890403,0.3698630035,0.5205479264
2019,132332,E,1,17,8,0.0384615399,0.6538461447,0.3076923192
2019,132336,E,2,14,12,0.0714285746,0.5,0.4285714328
2019,13A000,A,5,20,29,0.09259258960000001,0.3703703582,0.537037015
2019,13B000,A,1,8,5,0.0714285746,0.571428597,0.3571428657
2019,13D000,I,1,0,0,1.0,0.0,0.0
2019,140304,E,5,15,4,0.2083333284,0.625,0.1666666716
2019,140305,H,4,4,5,0.3076923192,0.3076923192,0.38461539149999996
2019,140306,T,0,5,7,0.0,0.4166666567,0.5833333135000001
2019,140307,E,0,2,9,0.0,0.18181818719999998,0.8181818128
2019,140308,I,1,15,7,0.0434782617,0.6521739364,0.3043478131
2019,140309,H,3,7,11,0.1428571492,0.3333333433,0.5238095522
2019,140312,E,0,19,14,0.0,0.5757575631,0.42424243689999996
2019,140316,E,5,17,8,0.1666666716,0.5666666627,0.2666666806
2019,140324,E,5,22,5,0.15625,0.6875,0.15625
2019,140332,M,7,22,7,0.1944444478,0.6111111045000001,0.1944444478
2019,140336,M,8,21,8,0.21621622149999997,0.5675675869,0.21621622149999997
2019,140340,E,4,21,12,0.10810811070000001,0.5675675869,0.3243243098
2019,140344,I,4,11,3,0.22222222390000002,0.6111111045000001,0.1666666716
2019,140348,H,5,43,13,0.08196721230000001,0.7049180268999999,0.2131147534
2019,140352,E,9,19,17,0.200000003,0.4222222269,0.3777777851
2019,140356,M,7,18,15,0.174999997,0.4499999881,0.375
2019,140360,I,4,4,6,0.2857142985,0.2857142985,0.4285714328
2019,140368,M,5,17,16,0.1315789521,0.4473684132,0.4210526347
2019,140372,E,2,20,1,0.0869565234,0.8695651889,0.0434782617
2019,140376,I,0,8,9,0.0,0.470588237,0.5294117928000001
2019,140384,E,2,14,11,0.0740740746,0.5185185075,0.40740740299999995
2019,140386,H,15,63,21,0.15151515599999998,0.6363636254999999,0.2121212184
2019,140388,E,4,7,4,0.2666666806,0.46666666869999995,0.2666666806
2019,140390,H,5,49,8,0.0806451589,0.7903226018,0.1290322542
2019,140392,E,2,7,5,0.1428571492,0.5,0.3571428657
2019,140396,E,6,13,6,0.23999999460000002,0.5199999809,0.23999999460000002
2019,150304,H,7,10,13,0.2333333343,0.3333333433,0.43333333729999995
2019,150308,E,5,11,22,0.1315789521,0.2894736826,0.5789473653
2019,150310,E,4,15,7,0.1538461596,0.5769230723,0.26923078300000003
2019,150312,M,2,12,9,0.0869565234,0.5217391253,0.3913043439
2019,150350,H,1,2,3,0.1666666716,0.3333333433,0.5
2019,160304,E,0,6,3,0.0,0.6666666864999999,0.3333333433
2019,160306,E,1,20,13,0.0294117648,0.5882353187,0.3823529482
2019,160308,E,4,20,12,0.11111111189999999,0.555555582,0.3333333433
2019,160309,T,1,1,2,0.25,0.25,0.5
2019,160310,M,0,17,3,0.0,0.8500000238,0.150000006
2019,160311,M,2,26,11,0.051282052,0.6666666864999999,0.282051295
2019,160313,H,2,34,4,0.050000000700000005,0.8500000238,0.1000000015
2019,160314,H,0,43,12,0.0,0.7818182111,0.2181818187
2019,160316,E,0,5,2,0.0,0.7142857313,0.2857142985
2019,160317,E,2,13,3,0.11111111189999999,0.7222222090000001,0.1666666716
2019,160318,M,2,27,8,0.0540540554,0.729729712,0.21621622149999997
2019,160322,E,1,19,24,0.022727273399999998,0.4318181872,0.5454545617000001
2019,160324,E,6,41,11,0.10344827919999999,0.7068965435,0.1896551698
2019,160326,M,2,16,12,0.06666667009999999,0.5333333611,0.400000006
2019,160332,I,3,16,3,0.13636364039999999,0.7272727489,0.13636364039999999
2019,160343,H,0,1,1,0.0,0.5,0.5
