year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only,global_language
2019,430371,0.0,85.0,219.0,24.0,2.0
2019,430378,0.0,88.0,160.0,21.0,1.0
2019,430384,0.0,60.0,174.0,20.0,3.0
2019,440326,0.0,1.0,1.0,12.0,
2019,440346,0.0,0.0,7.0,0.0,
2019,440378,0.0,102.0,52.0,15.0,7.0
2019,440390,0.0,78.0,83.0,16.0,33.0
2019,450316,5.0,40.0,73.0,15.0,11.0
2019,450334,0.0,33.0,126.0,6.0,11.0
2019,450341,1.0,54.0,116.0,24.0,24.0
2019,450343,3.0,1.0,2.0,1.0,
2019,450352,1.0,75.0,101.0,14.0,18.0
2019,450354,0.0,2.0,35.0,0.0,1.0
2019,460320,0.0,27.0,32.0,3.0,
2019,460340,0.0,10.0,10.0,0.0,
2019,470312,0.0,67.0,161.0,8.0,4.0
2019,470443,0.0,0.0,28.0,0.0,
2019,480316,0.0,1.0,12.0,0.0,
2019,480318,0.0,2.0,12.0,2.0,
2019,490310,,,,,3.0
2019,490335,0.0,100.0,340.0,30.0,62.0
2019,490346,0.0,69.0,115.0,27.0,13.0
2019,490350,0.0,1.0,3.0,2.0,
2019,490354,0.0,28.0,95.0,7.0,1.0
2019,490355,0.0,1.0,26.0,0.0,1.0
2019,490362,0.0,64.0,234.0,11.0,147.0
2019,490380,0.0,28.0,85.0,17.0,5.0
2019,491312,0.0,92.0,15.0,7.0,21.0
2019,49E000,0.0,0.0,124.0,0.0,49.0
2019,49F000,0.0,0.0,6.0,3.0,
2019,500302,0.0,3.0,11.0,1.0,
2019,500323,0.0,1.0,31.0,3.0,
2019,500340,0.0,42.0,91.0,14.0,3.0
2019,510324,2.0,120.0,146.0,38.0,13.0
2019,510325,0.0,4.0,8.0,0.0,
2019,510327,0.0,113.0,236.0,58.0,13.0
2019,510333,0.0,178.0,238.0,81.0,6.0
2019,510367,,,,,1.0
2019,510368,0.0,58.0,104.0,35.0,
2019,510376,0.0,41.0,43.0,27.0,
2019,510399,0.0,22.0,123.0,19.0,28.0
2019,510402,0.0,92.0,143.0,54.0,2.0
2019,510406,6.0,100.0,84.0,13.0,15.0
2019,51A000,0.0,1.0,46.0,0.0,
2019,520320,5.0,34.0,2.0,4.0,
2019,530335,0.0,11.0,1.0,0.0,2.0
2019,530336,0.0,78.0,108.0,13.0,16.0
2019,530343,0.0,42.0,62.0,8.0,
2019,540315,0.0,15.0,45.0,2.0,4.0
2019,540317,0.0,1.0,31.0,1.0,3.0
2019,540324,0.0,62.0,59.0,10.0,1.0
2019,540336,3.0,65.0,43.0,29.0,
2019,550320,0.0,41.0,124.0,29.0,6.0
2019,550332,0.0,24.0,94.0,18.0,3.0
2019,550344,0.0,52.0,162.0,19.0,6.0
2019,550368,0.0,37.0,100.0,28.0,6.0
2019,55A000,0.0,0.0,112.0,0.0,9.0
2019,560320,0.0,46.0,114.0,53.0,1.0
2019,560324,0.0,5.0,16.0,5.0,2.0
2019,560329,,,,,6.0
2019,560332,0.0,2.0,3.0,0.0,
2019,560350,0.0,0.0,1.0,0.0,
2019,570317,0.0,1.0,10.0,1.0,1.0
2019,570318,0.0,45.0,52.0,18.0,
2019,580344,0.0,17.0,29.0,3.0,
