agency_code,pct_enrolled_AM7_CHARTER,pct_enrolled_AS7_CHARTER,pct_enrolled_BL7_CHARTER,pct_enrolled_EDS_CHARTER,pct_enrolled_ELS_CHARTER,pct_enrolled_HI7_CHARTER,pct_enrolled_MU7_CHARTER,pct_enrolled_PI7_CHARTER,pct_enrolled_SWD_CHARTER,pct_enrolled_WH7_CHARTER
270000,5.0,5.0,5.0,31.2,5.0,5.8,8.5,5.0,12.0,80.3
27A000,5.0,5.0,5.9,5.0,11.8,5.9,5.0,5.0,5.9,82.4
320000,5.0,5.0,44.5,54.0,14.7,30.7,5.0,5.0,13.0,18.9
32A000,5.0,5.0,38.6,95.0,24.6,57.8,5.0,5.0,8.5,5.0
32B000,5.0,5.0,75.5,65.0,9.0,21.7,5.0,5.0,12.1,5.0
32C000,5.0,5.0,84.5,92.5,9.2,12.6,5.0,5.0,9.2,5.0
32D000,5.0,5.0,50.2,14.7,5.8,16.3,7.2,5.0,11.8,21.9
32H000,5.0,5.0,71.8,32.5,8.6,20.5,5.0,5.0,8.2,5.0
32K000,5.0,5.0,24.7,24.7,5.0,10.0,9.0,5.0,16.3,53.5
32L000,5.0,5.0,23.4,5.0,5.0,5.6,5.3,5.0,14.5,61.6
32M000,5.0,5.0,58.4,83.7,17.9,39.5,5.0,5.0,13.7,5.0
32N000,5.0,13.6,18.3,5.0,5.0,7.2,6.6,5.0,6.8,54.2
32P000,5.0,5.0,68.0,5.0,15.0,26.3,5.0,5.0,10.9,5.0
32Q000,5.0,5.0,37.9,5.0,33.0,60.5,5.0,5.0,5.0,5.0
32R000,5.0,5.0,23.6,5.0,5.0,10.9,9.2,5.0,9.2,54.7
32S000,5.0,5.0,47.4,63.2,32.8,49.8,5.0,5.0,12.6,5.0
330000,5.0,5.0,55.6,51.0,5.0,11.4,5.0,5.0,13.0,29.7
33A000,5.0,5.0,39.0,62.7,5.0,10.9,5.0,5.0,8.6,46.8
340000,5.0,5.0,28.9,45.0,11.7,26.3,5.0,5.0,14.1,37.8
34B000,5.0,5.0,72.3,63.7,10.8,24.4,5.0,5.0,10.0,5.0
34D000,5.0,5.0,41.3,62.9,31.5,58.7,5.0,5.0,6.7,5.0
34F000,5.0,5.0,43.3,81.3,21.1,42.6,5.0,5.0,10.2,10.0
34G000,5.0,5.0,18.9,5.0,5.0,5.0,6.7,5.0,13.2,69.0
34H000,5.0,5.0,5.0,5.0,5.0,5.9,5.0,5.0,6.5,84.0
350000,5.0,5.0,30.5,49.2,5.9,19.7,5.0,5.0,13.5,44.3
35A000,5.0,5.0,12.4,5.0,5.0,6.2,5.0,5.0,15.3,78.5
35B000,5.0,5.0,5.5,5.0,5.0,5.5,5.0,5.0,5.0,87.0
360000,5.0,5.0,22.3,48.4,5.2,13.5,5.0,5.0,13.8,57.6
36B000,5.0,5.0,16.5,5.0,5.0,11.8,5.3,5.0,10.4,64.5
36C000,5.0,5.0,23.5,11.5,5.0,5.0,5.1,5.0,6.7,64.1
390000,5.0,5.0,34.4,57.9,5.6,18.2,5.0,5.0,14.8,42.7
39A000,5.0,5.0,10.3,5.0,5.0,6.4,5.4,5.0,10.6,76.5
39B000,5.0,5.0,10.3,5.0,5.0,5.0,5.0,5.0,5.0,81.3
410000,5.0,6.5,40.9,47.1,8.6,15.9,5.0,5.0,13.5,31.9
41B000,5.0,12.0,9.9,5.0,5.0,5.1,5.0,5.0,5.7,70.7
