agency_code,pct_spc_crs,pct_ap_ib_crs,pct_cte_crs,pct_univ_coll_crs
540336,1.0,0.018469656992,0.85751978892,0.17150395778000002
540LEA,1.0,0.041379310345,0.76168582375,0.18505747126
550308,1.0,,0.82608695652,
550320,1.0,0.28125,0.7455357142899999,0.11049107143
550332,1.0,0.25120772947,0.788647343,0.030193236715
550344,1.0,0.26282722513,0.76858638743,0.13926701571
550368,1.0,0.17174177832,0.78319123021,0.054811205846999986
550LEA,1.0,0.24027072758,0.7715736040600001,0.085166384659
55A000,0.99061032864,0.19874804382,0.042253521127,0.220657277
560320,1.0,0.09151047409,0.8302094818100001,0.02756339581
560324,1.0,0.13913043478,0.7478260869600001,0.052173913043
560329,1.0,,0.23926380368,0.95705521472
560332,1.0,,0.7692307692300001,0.19230769231
560350,1.0,,0.53125,
560LEA,1.0,0.075745983168,0.72609028309,0.14690130069
570317,1.0,,0.22429906542,0.81308411215
570318,1.0,0.10526315789,0.8491228070199999,0.24561403509
570LEA,1.0,0.07653061224499999,0.67984693878,0.40051020408
580344,1.0,,0.77519379845,0.046511627907
580368,1.0,0.0091575091575,0.91941391941,0.24175824176
580LEA,1.0,0.0062189054726,0.8880597014899999,0.17910447761
58B000,1.0,,0.76381909548,0.20603015075
590328,1.0,,0.20967741935,1.0
590330,0.99312929419,0.13366645846,0.73891317926,0.14740787008
590393,1.0,,0.76315789474,0.11842105263
590LEA,1.0,0.11116883117,0.67168831169,0.25714285714
600302,0.98482805125,0.51247471342,0.71139581929,0.006068779501
600312,0.99293563579,0.35635792779,0.6432496075399999,0.020408163265
600334,1.0,0.33891213389,0.29707112971,1.0
600341,0.98660714286,0.040178571429,0.69642857143,
600361,0.99189318073,0.22079160706,0.59895088221,0.027181688126
600364,0.97385620915,0.43790849673,0.6405228758199999,
600377,0.71397849462,0.23655913978,0.59838709677,0.010752688172
600386,1.0,0.36206896552,0.98275862069,0.13793103448
600397,0.97139773341,0.08418780356200001,0.54020507285,
600404,1.0,0.23364485981,0.28971962617,0.97196261682
600405,0.62018927445,0.078864353312,0.56593059937,0.01072555205
600415,0.98275862069,0.20381773399,0.6890394088699999,0.012931034483
600426,0.94534835211,0.1230705048,0.6299541093,0.033375052149
600439,1.0,,0.99393939394,
600443,1.0,0.28333333333,0.4,1.0
600445,1.0,0.19484702093,0.63888888889,0.035024154589
600454,1.0,,,
600457,1.0,0.08135810378,0.6803331198,0.030108904548
600461,1.0,,0.6428571428600001,
600466,1.0,0.35119453925,0.5197952218399999,0.013993174061
600480,0.94402985075,0.18516791045000006,0.6012126865699999,0.0055970149254
600482,0.99140893471,0.29725085911,0.3676975945,0.030927835052
600496,0.93181818182,0.36428571429,0.85779220779,0.02987012987
600498,0.99065420561,0.051401869159,0.80373831776,0.21962616822
600499,1.0,0.11875,0.25,0.025
600508,0.9975405804200002,0.35661583866,0.63502213478,0.005410723069399999
600535,0.99024882313,0.32851378615,0.5709482178899999,0.028581035642
600567,0.9962962963,,0.99259259259,0.28518518519
600576,1.0,0.098782138024,0.65290933694,0.056833558863
600579,0.96160558464,0.10645724258,0.67888307155,
600592,0.93542546771,0.09293904647,0.60591430296,0.012070006035
600693,1.0,0.2402044293,0.64565587734,0.034071550256
600694,0.7120000000000001,0.1904,0.6288,
600695,1.0,0.2347826087,1.0,
600696,1.0,0.15245478036,1.0,0.0025839793282
