agency_code,pct_met_4 Year Graduation Rate_LTG,pct_met_EL Progress_LTG,pct_met_Math Grade 11_LTG,pct_met_Math Grades 3-8_LTG,pct_met_Reading Grade 10_LTG,pct_met_Reading Grades 3-8_LTG,pct_met_Total Targets_LTG
640326,,,,25.0,,0.0,12.5
640328,,,,16.7,,0.0,8.3
640329,,,,0.0,,60.0,30.0
640332,,100.0,,25.0,,0.0,22.2
640334,,,,0.0,,50.0,25.0
640335,,,,0.0,,25.0,12.5
640336,,100.0,,25.0,,0.0,22.2
640340,0.0,,,,,,0.0
640346,50.0,,20.0,,0.0,,21.4
640347,0.0,,100.0,,0.0,,33.3
640348,,,,0.0,,100.0,50.0
640350,0.0,,20.0,,40.0,,20.0
640358,,,,83.3,,83.3,83.3
640361,0.0,,0.0,,20.0,,7.1
640362,,100.0,,71.4,,71.4,73.3
640364,80.0,100.0,16.7,,0.0,,33.3
640376,,,,16.7,,0.0,8.3
640384,,,,0.0,,40.0,20.0
640396,,,,0.0,,0.0,0.0
64A000,100.0,,0.0,16.7,100.0,50.0,47.6
650304,,100.0,,60.0,,20.0,45.5
650308,,,,66.7,,0.0,33.3
650309,,,,0.0,,16.7,8.3
650310,,,,85.7,,71.4,78.6
650312,,,,100.0,,100.0,100.0
650316,,0.0,,85.7,,42.9,60.0
650323,,,,0.0,,25.0,12.5
650324,,,,50.0,,0.0,25.0
650325,,,,14.3,,42.9,28.6
650326,16.7,100.0,16.7,,0.0,,15.8
650327,83.3,100.0,0.0,,16.7,,38.9
650328,,,,0.0,,0.0,0.0
650332,,,,50.0,,50.0,50.0
650338,,,,83.3,,16.7,50.0
650339,,,,66.7,,33.3,50.0
650340,100.0,,0.0,,100.0,,66.7
650341,,,,100.0,,50.0,75.0
650342,50.0,,20.0,,16.7,,29.4
650343,,,,83.3,,83.3,83.3
650346,,100.0,,83.3,,16.7,53.8
650348,,,,20.0,,100.0,60.0
650350,,,,50.0,,66.7,58.3
650351,,,,57.1,,85.7,71.4
650352,83.3,100.0,25.0,,0.0,,43.8
650353,,,,33.3,,0.0,16.7
650354,,,,50.0,,0.0,25.0
650356,,,,100.0,,0.0,50.0
650362,,,,83.3,,16.7,50.0
650364,,,,0.0,,83.3,41.7
650366,,,,100.0,,66.7,83.3
650368,,100.0,,20.0,,20.0,27.3
650380,,,,100.0,,0.0,50.0
650384,,,,75.0,,0.0,37.5
650392,,100.0,,14.3,,57.1,40.0
650394,0.0,,100.0,,0.0,,33.3
650400,,100.0,,100.0,,100.0,100.0
650404,,100.0,,33.3,,16.7,30.8
650408,,,,0.0,,100.0,50.0
650409,,,,0.0,,0.0,0.0
65A000,,,,0.0,,0.0,0.0
65B000,,,,66.7,,33.3,50.0
65D000,,,,100.0,,100.0,100.0
660306,,,,0.0,,100.0,50.0
660308,,,,80.0,,100.0,90.0
660320,,,,0.0,,0.0,0.0
660325,,,,0.0,,0.0,0.0
660336,0.0,,0.0,,33.3,,11.1
660360,,,,100.0,,0.0,50.0
66A000,0.0,,0.0,20.0,0.0,0.0,5.3
670304,,,,100.0,,0.0,50.0
670308,,,,0.0,,0.0,0.0
670310,,,,0.0,,14.3,7.1
670312,,,,0.0,,33.3,16.7
670314,,,,80.0,,80.0,80.0
670318,,,,42.9,,57.1,50.0
670320,33.3,,0.0,,33.3,,22.2
670321,,,,0.0,,0.0,0.0
670322,,,,71.4,,85.7,78.6
670323,,,,14.3,,14.3,14.3
670324,0.0,,0.0,,0.0,,0.0
670325,,,,87.5,,75.0,81.3
670329,,,,85.7,,14.3,50.0
670330,,,,28.6,,14.3,21.4
670331,,,,42.9,,57.1,50.0
670332,,,,20.0,,0.0,10.0
670333,0.0,,40.0,,83.3,,41.2
670335,,,,100.0,,20.0,60.0
670336,,,,57.1,,71.4,64.3
670338,,,,83.3,,50.0,66.7
670339,,,,100.0,,0.0,50.0
670340,33.3,,0.0,,66.7,,33.3
670341,,,,25.0,,0.0,12.5
670342,,,,100.0,,66.7,83.3
670343,,,,16.7,,0.0,8.3
670344,75.0,,33.3,,0.0,,36.4
670345,,,,71.4,,42.9,57.1
670346,,,,85.7,,85.7,85.7
670347,,,,0.0,,16.7,8.3
670350,,,,60.0,,80.0,70.0
670351,,,,71.4,,100.0,85.7
670352,0.0,,0.0,,0.0,,0.0
670356,,,,14.3,,100.0,57.1
670364,75.0,,0.0,,25.0,,33.3
67B000,,,,0.0,,0.0,0.0
680304,,100.0,,100.0,,85.7,93.3
680308,,100.0,,0.0,,33.3,23.1
680310,0.0,100.0,50.0,,80.0,,43.8
680312,,,,0.0,,0.0,0.0
680316,,,,16.7,,50.0,33.3
680324,,100.0,,20.0,,0.0,18.2
680327,,,,16.7,,66.7,41.7
680328,,0.0,,20.0,,40.0,27.3
680329,,,,0.0,,0.0,0.0
680330,,100.0,,16.7,,0.0,15.4
680332,16.7,100.0,16.7,,83.3,,42.1
680336,,,,0.0,,0.0,0.0
681300,,0.0,,0.0,,16.7,7.7
681304,,100.0,,0.0,,0.0,9.1
681305,33.3,100.0,0.0,,33.3,,30.0
681308,100.0,0.0,40.0,,0.0,,44.4
681309,,100.0,,11.1,,11.1,15.8
681310,,100.0,,50.0,,0.0,30.8
681311,,,,66.7,,66.7,66.7
681312,,100.0,,20.0,,0.0,18.2
681314,20.0,100.0,50.0,,0.0,,25.0
681316,,100.0,,100.0,,20.0,63.6
681320,,100.0,,0.0,,50.0,33.3
681322,,100.0,,55.6,,77.8,68.4
681324,,,,37.5,,25.0,31.3
681326,,100.0,,0.0,,16.7,15.4
681330,,,,0.0,,50.0,25.0
681332,,100.0,,66.7,,33.3,53.8
681334,,100.0,,50.0,,33.3,46.2
681336,,100.0,,44.4,,33.3,42.1
68A000,,,,33.3,,33.3,33.3
68C000,,,,100.0,,100.0,100.0
690312,,,,40.0,,40.0,40.0
690316,,,,60.0,,60.0,60.0
690320,33.3,,100.0,,33.3,,55.6
69A000,,,100.0,0.0,,0.0,14.3
700306,,,,100.0,,0.0,50.0
700308,,,,33.3,,16.7,25.0
700314,,,,40.0,,60.0,50.0
700316,,,,40.0,,20.0,30.0
700317,0.0,,25.0,,0.0,,8.3
700318,,,,0.0,,0.0,0.0
700319,0.0,,25.0,,25.0,,16.7
700320,,,,0.0,,0.0,0.0
700322,,,,16.7,,50.0,33.3
700324,,,,100.0,,75.0,87.5
700328,,,,50.0,,50.0,50.0
70A000,,,,100.0,,50.0,75.0
710312,,,,33.3,,16.7,25.0
710316,,,,40.0,,100.0,70.0
710318,,100.0,,16.7,,0.0,15.4
710320,,,,83.3,,83.3,83.3
710321,25.0,,0.0,,40.0,,23.1
710323,,,,0.0,,25.0,12.5
710324,,,,16.7,,50.0,33.3
710326,25.0,,50.0,,75.0,,50.0
710327,0.0,,50.0,,0.0,,25.0
710328,,,,33.3,,16.7,25.0
710332,,100.0,,16.7,,16.7,23.1
710342,0.0,,33.3,,66.7,,33.3
710344,,,,0.0,,0.0,0.0
710346,,,,20.0,,40.0,30.0
710347,,,,100.0,,0.0,50.0
710348,,,,0.0,,16.7,8.3
720312,,,,0.0,,20.0,10.0
720316,25.0,,0.0,,75.0,,33.3
720320,,,,20.0,,100.0,60.0
730332,,,,0.0,,0.0,0.0
730334,,,,0.0,,0.0,0.0
730340,,,,0.0,,25.0,12.5
730344,,,,50.0,,83.3,66.7
730348,,,,100.0,,100.0,100.0
730352,100.0,,80.0,,0.0,,56.3
730354,,,,0.0,,0.0,0.0
730356,,,,0.0,,0.0,0.0
730360,,,,83.3,,83.3,83.3
730368,,,,0.0,,0.0,0.0
73A000,,,,0.0,,0.0,0.0
73B000,0.0,,0.0,100.0,0.0,66.7,41.7
740302,,,,0.0,,71.4,35.7
740304,,,,50.0,,0.0,25.0
740308,,,,40.0,,100.0,70.0
740309,100.0,,50.0,,0.0,,50.0
740310,,100.0,,0.0,,20.0,18.2
740320,,,,20.0,,60.0,40.0
740324,,,,80.0,,60.0,70.0
740330,,,,0.0,,40.0,20.0
740332,,,,83.3,,83.3,83.3
740333,66.7,100.0,16.7,,0.0,,31.6
740334,,,,33.3,,0.0,16.7
740336,,,,0.0,,0.0,0.0
740337,,,,66.7,,66.7,66.7
740338,,,,0.0,,0.0,0.0
740340,,,,0.0,,33.3,16.7
740344,25.0,,100.0,,0.0,,41.7
740352,,,,33.3,,66.7,50.0
740358,,,,50.0,,16.7,33.3
740362,,,,0.0,,28.6,14.3
740366,60.0,,40.0,,0.0,,33.3
740368,,,,0.0,,50.0,25.0
740374,0.0,100.0,0.0,,20.0,,12.5
740375,,100.0,,75.0,,25.0,55.6
740376,,100.0,,33.3,,0.0,23.1
740379,,,,20.0,,80.0,50.0
740380,,,,75.0,,75.0,75.0
740386,,,,0.0,,16.7,8.3
740388,20.0,,0.0,,0.0,,6.7
740390,,,,0.0,,0.0,0.0
740396,,,,0.0,,0.0,0.0
740400,,,,0.0,,100.0,50.0
740402,,,,16.7,,50.0,33.3
740404,,,,25.0,,37.5,31.3
74C000,,,,100.0,,75.0,87.5
750304,,,,25.0,,25.0,25.0
750314,,,,33.3,,0.0,16.7
750318,100.0,,0.0,,0.0,,33.3
750319,,,,80.0,,80.0,80.0
750320,,,,50.0,,100.0,75.0
750328,,,,50.0,,50.0,50.0
760304,,100.0,,50.0,,50.0,55.6
760308,,,,40.0,,100.0,70.0
760316,,,,0.0,,0.0,0.0
760318,50.0,100.0,50.0,,50.0,,53.8
760320,,,,100.0,,66.7,83.3
760324,,,,80.0,,20.0,50.0
760328,,,,33.3,,0.0,16.7
760329,,,,75.0,,25.0,50.0
760330,,,,25.0,,100.0,62.5
760331,,,,20.0,,0.0,10.0
760332,,,,0.0,,0.0,0.0
760336,,100.0,,0.0,,0.0,11.1
760338,,,,83.3,,83.3,83.3
760339,0.0,,0.0,,0.0,,0.0
760340,,100.0,,100.0,,100.0,100.0
760344,,100.0,,40.0,,80.0,63.6
760348,75.0,100.0,0.0,,100.0,,61.5
760352,,100.0,,75.0,,25.0,52.9
