agency_code,pct_ap_pass,pct_ap_participation
290388,0.34,0.14
290LEA,0.54,0.12
291336,0.25,0.14
291LEA,0.25,0.14
292324,0.16,0.11
292LEA,0.16,0.11
300312,0.48,0.22
300LEA,0.48,0.2
310344,0.43,0.06
310352,0.22,0.07
310364,0.5,0.06
310392,0.19,0.06
310LEA,0.32,0.06
320312,0.72,0.26
320314,0.28,0.19
320317,0.4,0.23
320322,0.33,
320323,0.78,0.34
320325,0.07,0.12
320356,0.29,0.19
320365,0.43,0.2
320368,0.09,0.1
320701,0.2,0.19
320LEA,0.51,0.19
32L000,0.37,0.37
32N000,0.76,0.43
330328,0.09,0.08
330350,0.27,0.06
330LEA,0.17,
33A000,0.95,
340311,0.74,0.28
340330,0.07,0.06
340332,0.31,
340364,0.44,0.19
340382,0.39,0.09
340446,0.95,
340454,0.59,0.26
340460,0.3,0.07
340480,0.75,
340486,0.38,
340488,0.5,
340495,0.71,0.31
340496,0.55,0.27
340542,0.41,0.1
340556,0.68,0.34
340568,0.09,0.15
340LEA,0.61,0.19
34H000,0.58,0.28
350308,0.27,0.15
350321,0.49,0.14
350336,0.16,0.1
350LEA,0.35,0.13
360310,0.18,0.08
360336,,0.07
360360,0.3,0.16
360378,0.26,0.14
360390,0.34,0.09
360396,0.42,0.09
360418,0.54,0.26
360428,0.12,0.09
360470,0.27,0.07
360494,0.39,0.21
360LEA,0.32,0.11
36B000,0.31,0.11
36C000,0.55,0.31
370312,0.11,
370LEA,0.11,
380308,0.2,0.08
380LEA,0.2,0.08
390324,0.17,
390352,0.15,0.15
390700,0.19,0.31
390LEA,0.14,0.1
39A000,0.54,0.11
39B000,0.41,0.37
400308,0.33,0.07
400LEA,0.33,0.06
410319,0.28,0.09
410355,0.06,0.12
410358,0.41,0.12
410390,0.26,0.59
410391,0.5,0.42
410394,0.65,0.36
410395,0.95,0.54
410406,0.4,0.19
410407,0.16,0.12
410484,0.39,0.13
410489,0.61,0.43
410490,0.6,0.41
410508,0.49,0.38
410529,0.5,0.19
410544,,0.13
410545,0.16,0.37
410547,0.54,0.22
410556,0.34,0.17
410562,0.41,0.29
410569,0.76,0.24
410579,0.43,0.33
410589,0.71,0.56
410595,0.55,0.31
410LEA,0.53,0.26
41F000,0.12,0.16
41G000,0.58,0.29
41K000,0.44,0.18
421316,0.39,0.11
421LEA,0.39,0.11
422310,0.13,0.09
422LEA,0.13,
430346,0.35,0.08
430371,0.43,
430378,0.35,0.07
430384,0.43,
430LEA,0.38,0.06
440378,0.5,0.1
440390,0.35,0.12
440LEA,0.42,0.1
450316,0.55,0.11
450334,0.52,0.26
450341,0.51,0.17
450352,0.64,0.16
450LEA,0.56,0.16
470312,0.11,0.15
470LEA,0.11,0.12
480316,0.25,0.07
480LEA,0.25,
490310,0.47,0.11
490335,0.67,0.35
490346,0.61,0.13
490354,0.21,0.15
490362,0.3,0.23
490380,0.36,0.16
490LEA,0.5,0.21
491312,0.59,0.26
491LEA,0.59,0.26
49E000,0.63,0.46
49F000,0.25,
500340,0.74,0.08
500LEA,0.74,0.06
510324,0.6,0.12
510327,0.53,0.12
510333,0.7,0.09
510367,0.43,
510376,0.4,
510399,0.29,0.06
510402,0.15,
510406,0.58,0.13
510LEA,0.55,0.08
51A000,0.48,0.31
530336,0.34,0.12
530343,0.29,0.07
530LEA,0.32,0.09
540324,0.24,0.11
540336,0.55,
540LEA,0.21,
550320,0.43,0.28
550332,0.23,0.21
550344,0.63,0.26
550368,0.31,0.16
550LEA,0.44,0.23
55A000,0.45,0.22
560320,0.64,0.11
560324,0.41,0.12
560329,0.95,
560332,0.95,
560LEA,0.61,0.09
570318,0.12,0.1
570LEA,0.12,0.07
580368,0.56,
580LEA,0.56,
590330,0.3,0.1
590LEA,0.3,0.08
600302,0.82,0.53
600312,0.66,0.37
600334,0.37,0.28
600341,0.41,
600361,0.69,0.23
600364,,0.24
600377,0.52,0.11
600386,0.17,0.33
600397,0.09,0.07
600404,0.42,0.1
600415,0.41,0.17
600426,0.5,0.16
600443,0.68,0.29
600445,0.44,0.2
600457,0.13,0.08
600466,0.56,0.26
600480,0.38,0.1
600482,0.63,0.28
600496,0.22,0.28
600499,0.4,0.13
600508,0.8,0.36
600535,0.57,0.33
600576,,0.06
600579,0.15,0.09
600592,0.15,0.07
600594,0.53,0.45
600693,0.33,0.17
600694,0.28,0.2
600695,0.8,
600696,0.12,0.1
600697,0.16,0.23
600LEA,0.57,0.21
60B000,,0.06
60D000,0.87,0.42
60G000,0.56,0.11
60I000,0.41,0.58
60S000,0.35,0.13
610334,0.68,0.09
610LEA,0.68,0.07
620316,0.5,
620340,0.38,
620LEA,0.43,
630330,0.6,0.08
630332,0.47,
630336,0.59,0.25
630360,0.46,0.15
630LEA,0.56,0.19
640346,0.41,
640347,0.15,0.22
640350,0.34,0.08
640361,0.26,
640364,0.58,
640LEA,0.34,0.07
650326,0.51,0.12
650327,0.54,0.12
650342,0.52,0.27
650352,0.49,0.27
650355,0.95,
650394,0.33,
650LEA,0.51,0.17
660336,0.5,
660LEA,0.5,
66A000,0.11,0.54
670320,0.41,0.08
670324,0.29,0.1
670333,0.16,0.15
670340,0.36,0.16
670344,0.24,0.1
670352,0.37,0.09
670364,0.32,0.07
670LEA,0.3,0.11
680310,0.59,0.21
680332,0.72,0.18
680LEA,0.66,0.19
681305,0.75,0.39
681308,0.82,0.42
681314,0.78,0.46
681338,0.5,
681LEA,0.79,0.42
68A000,0.39,0.18
690320,0.39,0.15
690LEA,0.39,0.15
700317,0.37,0.08
700319,0.11,
700LEA,0.3,0.06
710321,0.14,0.07
710326,0.25,0.14
710342,0.63,0.16
710LEA,0.49,0.12
720316,0.53,0.07
720LEA,0.53,0.07
730352,0.36,0.14
730LEA,0.36,0.13
73B000,0.43,0.31
740309,0.27,0.07
740333,0.38,0.18
740344,0.11,0.1
740366,0.57,0.24
740374,0.24,0.1
740388,0.36,0.12
740LEA,0.42,0.15
750318,0.76,0.09
750LEA,0.76,0.08
760318,0.09,0.12
760339,0.51,0.15
760348,0.31,0.1
760354,0.67,
760358,0.24,0.13
760380,0.25,0.14
760388,0.42,0.1
760LEA,0.31,0.11
761304,0.3,0.18
761LEA,0.3,0.18
76A000,0.18,0.14
770348,0.32,0.1
770351,0.13,
770LEA,0.3,0.08
780325,0.06,
780342,0.16,0.16
780401,0.28,
780420,0.09,
780LEA,0.16,0.06
790314,0.14,0.1
790354,0.1,0.1
790378,0.73,
790LEA,0.27,0.06
800340,0.38,0.15
800361,0.34,0.2
800376,0.13,0.21
800396,0.47,0.17
800400,0.18,0.16
800408,0.16,0.15
800LEA,0.29,0.16
810324,0.39,0.11
810340,0.25,0.12
810384,0.26,0.14
810LEA,0.29,0.11
81A000,0.6,0.49
81B000,0.95,
820348,0.28,0.07
820349,0.39,0.07
820352,0.41,0.11
820388,0.5,
820LEA,0.39,0.06
821308,0.52,0.16
821LEA,0.52,0.16
830343,0.25,0.08
830LEA,0.25,0.07
840302,0.25,
840332,0.38,
840356,0.67,
840368,0.56,0.06
840LEA,0.5,
84B000,0.59,0.45
850332,0.25,0.06
850352,0.54,0.09
850358,0.32,0.08
850LEA,0.39,0.07
860316,0.41,0.13
860336,0.32,0.07
860352,0.53,0.09
860354,0.95,
860LEA,0.42,0.08
861308,0.61,0.14
861LEA,0.61,0.14
862312,0.44,0.13
862LEA,0.44,0.13
86T000,0.58,0.09
870314,0.46,0.11
870LEA,0.46,0.11
880308,0.68,0.13
880328,0.42,0.12
880LEA,0.59,0.12
900311,0.73,0.27
900316,0.21,0.1
900336,0.23,0.12
900342,0.72,0.14
900344,0.61,0.15
900348,0.71,0.13
900360,0.46,0.19
900366,0.56,0.34
900377,0.73,0.4
900393,0.76,0.34
900LEA,0.65,0.21
90A000,0.58,0.33
910364,0.14,
910370,,0.08
91A000,0.38,0.19
91B000,0.36,0.41
920316,0.7,0.34
920317,0.6,0.33
920318,0.62,0.25
920348,0.55,0.29
920368,0.69,0.26
920370,0.95,
920386,0.52,0.18
920411,0.21,0.09
920412,0.72,0.42
920428,0.53,0.26
920436,0.26,0.17
920441,0.81,0.4
920445,0.51,0.41
920455,0.53,0.35
920466,0.17,0.17
920473,0.7,0.26
920495,0.63,0.29
920500,0.44,0.29
920518,,0.06
920526,0.71,0.48
920528,0.95,
920546,0.33,0.18
920552,0.55,0.17
920562,0.31,0.12
920581,0.2,0.06
920582,0.66,0.24
920585,0.83,0.08
920586,0.47,0.24
920588,0.53,0.22
920595,0.51,0.24
920LEA,0.6,0.28
92F000,0.78,0.28
92G000,0.66,0.17
92K000,0.86,0.6
92P000,0.38,0.13
92T000,0.69,0.34
92U000,0.53,0.21
950336,0.63,0.25
950LEA,0.63,0.2
960324,0.55,0.1
960330,0.23,0.08
960335,0.2,
960372,0.65,
960380,0.28,
960386,0.17,
960700,0.18,
960LEA,0.38,
970320,0.38,0.08
970356,0.41,
970388,0.82,0.09
970390,0.37,0.15
970LEA,0.48,0.09
980318,0.44,
980336,0.5,0.14
980342,0.45,0.11
980LEA,0.47,0.09
98B000,,0.38
990322,0.39,0.09
990326,0.31,
990LEA,0.38,
995330,0.69,0.08
995LEA,0.69,0.08
NC-SEA,0.53,0.16
