agency_code,pct_enrolled_ENROLL_ALL_COLLEGE,pct_enrolled_ENROLL_AM7_COLLEGE,pct_enrolled_ENROLL_AS7_COLLEGE,pct_enrolled_ENROLL_BL7_COLLEGE,pct_enrolled_ENROLL_EDS_COLLEGE,pct_enrolled_ENROLL_FEM_COLLEGE,pct_enrolled_ENROLL_HI7_COLLEGE,pct_enrolled_ENROLL_MALE_COLLEGE,pct_enrolled_ENROLL_MU7_COLLEGE,pct_enrolled_ENROLL_PI7_COLLEGE,pct_enrolled_ENROLL_SWD_COLLEGE,pct_enrolled_ENROLL_WH7_COLLEGE
260347,0.843137255,,,0.431372549,0.35294117700000005,0.568627451,0.117647059,0.274509804,0.078431373,,,0.19607843100000005
260354,0.882352941,,,0.35294117700000005,0.37254902,0.588235294,0.215686275,0.294117647,0.117647059,,,0.19607843100000005
260357,0.5074626870000001,,,0.134328358,0.134328358,0.265671642,0.059701493,0.241791045,,,,0.250746269
260359,0.53030303,,,0.424242424,0.353535354,0.328282828,,0.202020202,,,,
260374,0.068965517,,,0.068965517,0.051724138,,,,,,,
260388,0.7466666670000001,,,0.226666667,0.186666667,0.44,0.093333333,0.306666667,0.053333333,,0.066666667,0.34666666700000004
260408,0.582840237,,,0.272189349,0.215976331,0.334319527,,0.24852071,0.056213018,,,0.207100592
260411,0.68,,,0.493333333,0.24,0.413333333,0.053333333,0.266666667,0.066666667,,,0.066666667
260424,0.456193354,,,0.296072508,0.250755287,0.250755287,0.072507553,0.205438067,,,,
260427,0.521197008,,,0.204488778,0.241895262,0.306733167,0.05985037400000001,0.21446384,,,,0.199501247
260446,0.706666667,,0.053333333,0.233333333,0.233333333,0.35666666700000005,0.05,0.35,0.053333333,,,0.313333333
260455,0.376425856,,,0.239543726,0.228136882,0.205323194,,0.171102662,,,,0.053231939000000006
260700,0.838709677,,,0.387096774,0.451612903,0.580645161,0.225806452,0.258064516,,,,0.193548387
260LEA,0.559383754,,,0.236414566,0.226330532,0.320448179,0.06162465,0.238935574,,,,0.194957983
270306,0.409961686,,,,0.061302682,0.29118774,,0.118773946,,,,0.333333333
270311,0.708333333,,,,0.104166667,0.5,,0.208333333,0.083333333,,,0.583333333
270LEA,0.45631068,,,,0.067961165,0.32362459600000004,,0.132686084,,,,0.372168285
280304,0.5555555560000001,,,,0.266666667,0.377777778,,0.177777778,,,,0.533333333
280306,0.2,,,,,0.133333333,0.066666667,0.066666667,,,,0.133333333
280316,0.688073395,,,0.055045872,0.183486239,0.449541284,0.064220184,0.23853211,,,,0.541284404
280330,0.691428571,,,,0.114285714,0.354285714,,0.337142857,,,,0.634285714
280LEA,0.651162791,,,,0.151162791,0.377906977,,0.273255814,,,,0.5697674420000001
290308,0.624338624,,,,0.206349206,0.35978836,,0.264550265,,,,0.566137566
290314,0.161290323,,,,0.08064516099999999,0.08064516099999999,,0.08064516099999999,,,,0.14516129
290315,0.684210526,,,,0.105263158,0.473684211,,0.210526316,,,,0.684210526
290324,0.548387097,,,,0.155913979,0.311827957,,0.23655914,,,,0.505376344
290336,0.72761194,,,,0.089552239,0.425373134,0.067164179,0.302238806,,,,0.611940299
290348,0.703296703,,,,0.129120879,0.384615385,,0.318681319,,,,0.629120879
290365,0.515789474,,,,0.15789473699999998,0.294736842,,0.221052632,,,,0.494736842
290388,0.736842105,,,,0.138157895,0.414473684,,0.322368421,,,,0.697368421
290389,0.405405405,,,,0.081081081,0.297297297,0.081081081,0.108108108,0.081081081,,,0.243243243
290LEA,0.630434783,,,,0.134057971,0.35942029,,0.271014493,,,,0.563768116
291336,0.468531469,,,0.167832168,,0.230769231,0.125874126,0.237762238,,,,0.132867133
291LEA,0.45890411,,,0.16438356199999998,,0.226027397,0.123287671,0.232876712,,,,0.130136986
292324,0.4,,,0.21600000000000005,,0.248,0.07200000000000001,0.152,,,,0.07200000000000001
292LEA,0.4,,,0.21600000000000005,,0.248,0.07200000000000001,0.152,,,,0.07200000000000001
300312,0.642679901,,,,0.131513648,0.330024814,,0.312655087,,,,0.540942928
300314,0.8,,,,0.314285714,0.457142857,0.2,0.342857143,0.05714285700000001,,,0.542857143
300LEA,0.653758542,,,,0.14578587699999998,0.339407745,,0.314350797,,,,0.539863326
310338,0.677419355,,,0.096774194,0.064516129,0.451612903,0.35483871,0.225806452,,,0.096774194,0.225806452
310344,0.577540107,,,0.08556149699999999,,0.342245989,0.117647059,0.235294118,,,,0.363636364
310352,0.534246575,,,0.198630137,,0.335616438,0.191780822,0.198630137,,,,0.109589041
310364,0.6,,,0.093333333,,0.36,0.12,0.24,,,,0.36
310392,0.52,,,0.2,,0.28,0.08800000000000001,0.24,,,,0.208
310LEA,0.562056738,,,0.14184397199999998,,0.335106383,0.14361702099999998,0.226950355,,,,0.255319149
320309,0.788235294,,0.05882352900000001,0.611764706,0.4,0.435294118,0.082352941,0.35294117700000005,,,,
320312,0.6511056510000001,,,0.250614251,0.137592138,0.326781327,0.073710074,0.324324324,,,,0.255528256
320314,0.6,,,0.363636364,0.236363636,0.418181818,0.090909091,0.181818182,,,0.054545455,0.145454546
320317,0.8059701490000001,,,0.52238806,0.29850746300000003,0.641791045,0.194029851,0.164179105,,,,0.059701493
320322,0.2,,,0.141176471,0.117647059,0.15294117699999998,,,,,,
320323,0.76056338,,0.056338028,0.253521127,0.201877934,0.5023474179999999,0.098591549,0.258215962,,,,0.328638498
320325,0.528985507,,,0.489130435,0.202898551,0.34057971,,0.188405797,,,,
320353,0.813333333,,0.053333333,0.266666667,0.093333333,0.546666667,0.186666667,0.266666667,,,,0.28
320356,0.570032573,,,0.293159609,0.237785016,0.32247557,0.094462541,0.247557003,,,,0.149837134
320365,0.559036145,,,0.212048193,0.171084337,0.26506024100000003,0.08674698800000001,0.293975904,,,,0.221686747
320368,0.347826087,,,0.297101449,0.173913044,0.152173913,,0.195652174,,,,
320701,0.7142857140000001,,,0.642857143,0.303571429,0.321428571,0.053571429,0.392857143,,,0.053571429,
320LEA,0.581786793,,,0.31333621100000003,0.193353474,0.328010358,0.075960294,0.253776435,,,,0.153215365
32D000,0.5476190479999999,,,0.380952381,,0.261904762,,0.28571428600000004,,,,0.083333333
32L000,0.747126437,,,0.103448276,0.126436782,0.344827586,,0.402298851,,,0.068965517,0.5862068970000001
32N000,0.923913044,,0.119565217,0.173913044,0.108695652,0.380434783,0.076086957,0.543478261,0.065217391,,0.097826087,0.489130435
330326,0.7692307690000001,,,0.115384615,0.192307692,0.461538462,0.115384615,0.307692308,,,,0.5384615389999999
330328,0.466666667,,,0.4,,0.244444444,,0.222222222,,,,
330350,0.505555556,,,0.25,,0.272222222,,0.233333333,,,,0.216666667
330358,0.511811024,,,0.299212598,,0.322834646,0.078740158,0.188976378,,,,0.102362205
330LEA,0.521164021,,,0.275132275,,0.298941799,,0.222222222,,,,0.177248677
33A000,0.701754386,,,0.228070175,0.350877193,0.403508772,,0.298245614,0.070175439,,0.070175439,0.333333333
340311,0.7328244279999999,,,0.33587786299999994,0.167938931,0.236641221,0.06870229,0.496183206,,,,0.290076336
340330,0.35,,,0.3,,0.175,,0.175,,,0.066666667,
340362,0.708333333,,0.0625,0.104166667,,0.520833333,0.125,0.1875,0.0625,,,0.35416666700000005
340364,0.598152425,,,0.143187067,0.143187067,0.318706698,,0.279445728,,,,0.387990762
340382,0.55027933,,,0.17877095,0.17597765399999998,0.30726257,0.081005587,0.24301676,,,,0.248603352
340446,0.765957447,,,0.234042553,,0.553191489,,0.212765958,,,,0.468085106
340454,0.7016574590000001,,,0.23756906100000005,0.185082873,0.375690608,,0.325966851,,,,0.35911602200000003
340460,0.471544716,,,0.199186992,0.276422764,0.276422764,0.13008130099999998,0.195121951,,,,0.117886179
340486,0.405063291,,,0.189873418,0.256329114,0.231012658,0.107594937,0.174050633,,,,0.082278481
340488,0.4,,,0.175,0.4,0.225,0.2,0.175,,,0.05,
340495,0.788461539,,,0.111111111,0.085470086,0.408119658,,0.38034188,,,,0.598290598
340496,0.663341646,,,0.197007481,0.187032419,0.374064838,0.06982543599999999,0.289276808,,,,0.341645885
340542,0.4791666670000001,,,0.125,0.166666667,0.265625,,0.213541667,,,,0.307291667
340556,0.648183556,,,0.095602295,0.095602295,0.3384321220000001,0.066921606,0.309751434,,,,0.41873805
340568,0.64,,,0.58,,0.28,,0.36,,,0.08,
340LEA,0.604836567,,,0.17486048399999998,0.15306936,0.324209407,0.065373372,0.280627159,,,,0.32288068
34B000,0.7894736840000001,,,0.684210526,,0.421052632,0.052631579000000005,0.368421053,,,0.052631579000000005,0.052631579000000005
34D000,0.48,,,0.2,,0.24,0.16,0.24,0.12,,0.16,
34H000,0.685714286,,,,,0.4,,0.28571428600000004,,,0.05714285700000001,0.6
350308,0.4375,,,0.072916667,0.125,0.28125,0.057291667,0.15625,,,,0.296875
350317,0.607142857,,,0.25,0.214285714,0.25,,0.35714285700000004,,,,0.321428571
350321,0.5215517239999999,,,0.142241379,0.112068966,0.314655172,,0.206896552,,,,0.331896552
350336,0.393939394,,,0.143939394,0.196969697,0.28030303,,0.113636364,,,,0.212121212
350LEA,0.4691780820000001,,,0.125,0.140410959,0.292808219,,0.17636986300000002,,,,0.292808219
360310,0.506060606,,,0.2,0.209090909,0.287878788,0.057575758,0.218181818,,,,0.212121212
360336,0.409090909,,,0.084415584,0.194805195,0.253246753,,0.15584415599999998,,,,0.279220779
360337,0.757575758,,,0.151515152,0.212121212,0.454545455,,0.303030303,0.060606061,,,0.545454546
360360,0.55862069,,,,0.179310345,0.296551724,,0.262068966,,,,0.482758621
360372,0.083333333,,,0.083333333,,0.083333333,,,,,0.083333333,
360378,0.548611111,,,0.052083333,0.14236111099999998,0.336805556,,0.211805556,,,,0.434027778
360390,0.5504587160000001,,,0.077981651,0.183486239,0.302752294,,0.247706422,,,,0.426605505
360396,0.654545455,,,0.12,0.174545455,0.363636364,0.054545455,0.290909091,,,,0.436363636
360418,0.7307692309999999,,,0.053846154000000014,0.207692308,0.384615385,,0.346153846,,,,0.576923077
360428,0.320675106,,,0.147679325,0.210970464,0.17721519,0.067510549,0.143459916,,,,0.092827004
360470,0.49137931,,,0.073275862,0.206896552,0.30172413800000003,,0.189655172,,,,0.36637931
360494,0.669527897,,,0.055793991,0.128755365,0.381974249,,0.287553648,,,,0.5407725320000001
360LEA,0.537157758,,,0.099087353,0.18079096100000006,0.307257714,,0.229900044,,,,0.368100826
36B000,0.671641791,,,0.119402985,0.104477612,0.388059702,,0.28358209,,,0.059701493,0.492537313
36C000,0.545454546,,,0.242424242,,0.282828283,,0.262626263,,,,0.232323232
370312,0.627272727,,,0.236363636,0.254545455,0.354545455,,0.272727273,,,0.054545455,0.34545454600000003
370LEA,0.627272727,,,0.236363636,0.254545455,0.354545455,,0.272727273,,,0.054545455,0.34545454600000003
