agency_code,esea_att
360426,Met
360428,Did Not Meet
360430,Did Not Meet
360431,Met
360432,Met
360436,Met
360438,Met
360440,Met
360448,Met
360456,Met
360460,Met
360464,Met
360468,Met
360470,Did Not Meet
360478,Met
360480,Met
360482,Met
360484,Met
360488,Met
360490,Met
360492,Met
360494,Did Not Meet
360498,Met
360499,Did Not Meet
360500,Met
360504,Met
360510,Met
360514,Met
360520,Met
360526,Met
360LEA,Met
36B000,Did Not Meet
36C000,Met
370304,Met
370308,Met
370312,Did Not Meet
370316,Met
370324,Met
370LEA,Met
380306,Met
380308,Did Not Meet
380310,Met
380LEA,Met
390309,Met
390311,Met
390312,Met
390314,Did Not Meet
390316,Met
390320,Met
390322,Did Not Meet
390323,Did Not Meet
390324,Did Not Meet
390328,Met
390331,Met
390333,Met
390334,Met
390336,Met
390360,Met
390362,Met
390364,Met
390368,Met
390700,Did Not Meet
390704,Did Not Meet
390705,Did Not Meet
390LEA,Met
39A000,Met
39B000,Met
400308,Did Not Meet
400312,Met
400315,Did Not Meet
400318,Met
400321,Did Not Meet
400332,Met
400LEA,Met
410304,Met
410307,Met
410310,Met
410311,Met
410313,Met
410316,Met
410319,Did Not Meet
410322,Met
410325,Met
410326,Did Not Meet
410328,Met
410331,Met
410334,Met
410337,Met
410340,Met
410341,Met
410343,Met
410346,Met
410349,Met
410355,Did Not Meet
410358,Did Not Meet
410361,Met
410364,Met
410366,Met
410367,Met
410370,Met
410373,Met
410376,Met
410379,Did Not Meet
410382,Met
410385,Met
410388,Met
410390,Did Not Meet
410391,Did Not Meet
410394,Did Not Meet
410395,Did Not Meet
410396,Met
410397,Met
410398,Met
410399,Did Not Meet
410400,Met
410401,Did Not Meet
410402,Met
410403,Met
410406,Did Not Meet
410407,Did Not Meet
410408,Did Not Meet
410409,Met
410412,Met
410415,Met
410418,Met
410421,Met
410423,Met
410424,Met
410427,Met
410430,Met
410436,Met
410437,Met
410439,Met
410442,Met
410448,Met
410451,Met
410454,Met
410457,Met
410458,Did Not Meet
410460,Met
410461,Met
410462,Met
410463,Met
410464,Did Not Meet
410466,Met
410469,Met
410472,Met
410478,Met
410481,Met
410483,Did Not Meet
410484,Did Not Meet
410486,Met
410487,Met
410488,Met
410489,Did Not Meet
410490,Did Not Meet
410491,Met
410493,Met
410496,Met
410499,Met
410502,Met
410505,Met
410508,Did Not Meet
410511,Met
410514,Met
410517,Met
410522,Met
410523,Met
410529,Did Not Meet
410530,Met
410532,Met
410533,Did Not Meet
410534,Did Not Meet
410535,Met
410538,Met
410541,Met
410542,Met
410544,Did Not Meet
410545,Did Not Meet
410547,Did Not Meet
410550,Met
410553,Met
410556,Did Not Meet
410559,Met
410562,Did Not Meet
410565,Met
410568,Met
410569,Met
410571,Met
410574,Met
410577,Met
410578,Met
410579,Did Not Meet
410580,Met
410583,Met
410586,Met
410589,Did Not Meet
410592,Met
410595,Did Not Meet
410598,Met
410LEA,Met
41B000,Met
41C000,Met
41D000,Met
41F000,Did Not Meet
41G000,Met
41H000,Met
41J000,Met
420304,Met
420316,Met
420324,Met
420328,Met
420336,Met
420340,Met
420346,Did Not Meet
420348,Met
420356,Did Not Meet
420358,Did Not Meet
420376,Met
420LEA,Met
421304,Met
421306,Met
421316,Did Not Meet
421328,Met
421LEA,Met
422310,Did Not Meet
422314,Met
422315,Did Not Meet
422318,Met
422LEA,Met
42A000,Met
430304,Did Not Meet
430308,Met
430312,Met
430316,Met
430320,Met
430328,Met
430330,Met
430332,Met
430336,Met
430340,Did Not Meet
430344,Met
430345,Did Not Meet
430346,Did Not Meet
430347,Met
430348,Met
430349,Met
430351,Met
430352,Met
430358,Met
430368,Did Not Meet
430369,Met
430370,Met
430371,Did Not Meet
430376,Met
430378,Did Not Meet
430380,Met
430384,Did Not Meet
430386,Met
430LEA,Met
43C000,Met
440314,Met
440318,Met
440320,Met
440324,Met
440326,Did Not Meet
440328,Met
440332,Met
440346,Did Not Meet
440348,Met
440349,Met
440350,Met
440364,Met
440368,Met
440378,Did Not Meet
440390,Did Not Meet
440396,Met
440LEA,Met
450301,Met
450302,Met
450306,Met
450307,Met
450308,Met
450316,Did Not Meet
450322,Met
450324,Met
450328,Met
450332,Met
450333,Met
450334,Did Not Meet
450335,Met
450336,Met
450339,Met
450340,Met
450341,Did Not Meet
450342,Met
450343,Did Not Meet
450344,Met
450346,Met
450352,Did Not Meet
450354,Did Not Meet
450LEA,Met
45A000,Met
460308,Met
460312,Met
460318,Met
460320,Did Not Meet
460322,Did Not Meet
460332,Met
460340,Did Not Meet
460LEA,Met
470310,Met
470312,Did Not Meet
470316,Met
470320,Met
470328,Met
470330,Met
