agency_code,stu_enroll,cte_enroll,cte_enrollment_pct
360396,1175,690,58.72
360408,684,626,91.52
360418,548,547,99.82
360426,735,694,94.42
360428,1127,858,76.13
360431,407,364,89.43
360436,565,524,92.74
360456,682,633,92.82
360470,1045,708,67.75
360494,1033,629,60.89
360498,818,759,92.79
360500,549,505,91.99
360514,685,627,91.53
360526,391,296,75.7
36B000,661,21,3.18
36C000,862,34,3.94
370308,390,379,97.18
370312,493,337,68.36
380308,366,234,63.93
380310,195,178,91.28
390309,429,383,89.28
390314,59,12,20.34
390320,562,489,87.01
390322,639,500,78.25
390323,216,101,46.76
390324,510,417,81.76
390331,323,255,78.95
390334,374,290,77.54
390352,809,628,77.63
390700,253,195,77.08
39A000,440,9,2.05
400308,762,567,74.41
400312,685,550,80.29
400315,163,19,11.66
410311,282,195,69.15
410313,771,503,65.24
410316,703,537,76.39
410319,765,621,81.18
410325,595,493,82.86
410326,104,82,78.85
410355,1380,987,71.52
410358,1241,934,75.26
410367,739,600,81.19
410390,115,23,20.0
410391,591,217,36.72
410394,1708,603,35.3
410395,197,56,28.43
410397,637,438,68.76
410399,130,15,11.54
410401,196,54,27.55
410402,655,654,99.85
410406,1408,817,58.03
410407,123,107,86.99
410408,134,60,44.78
410415,478,369,77.2
410421,1108,795,71.75
410437,776,598,77.06
410442,900,578,64.22
410448,546,207,37.91
410458,84,84,100.0
410460,966,584,60.46
410463,718,482,67.13
410464,38,8,21.05
410483,120,99,82.5
410484,1021,785,76.89
410487,704,579,82.24
410488,881,490,55.62
410489,1341,605,45.12
410490,2053,829,40.38
410493,1053,763,72.46
410508,1879,844,44.92
410529,1427,1069,74.91
410533,59,25,42.37
410534,36,15,41.67
410544,1238,829,66.96
410545,204,196,96.08
410547,1314,976,74.28
410550,948,762,80.38
410556,1093,850,77.77
410562,1560,995,63.78
410565,1200,821,68.42
410569,183,139,75.96
410579,200,125,62.5
410589,303,51,16.83
410592,358,349,97.49
410595,1217,614,50.45
41F000,658,98,14.89
41H000,176,6,3.41
420324,236,134,56.78
420346,406,303,74.63
420358,262,218,83.21
420376,301,227,75.42
421306,609,516,84.73
421316,1007,767,76.17
422310,160,111,69.38
422315,203,171,84.24
422318,158,139,87.97
430330,607,288,47.45
430332,360,162,45.0
430341,45,23,51.11
430345,148,57,38.51
430346,1512,1147,75.86
430347,1157,528,45.64
430351,877,350,39.91
430370,746,244,32.71
430371,1784,1367,76.63
430378,1306,1043,79.86
430384,1396,1087,77.87
430386,729,203,27.85
440318,260,194,74.62
440320,560,363,64.82
440326,132,74,56.06
440346,158,46,29.11
440378,1017,834,82.01
440390,1000,792,79.2
440396,772,372,48.19
450301,850,471,55.41
450316,851,663,77.91
450328,741,464,62.62
450334,792,570,71.97
450335,558,417,74.73
450341,989,714,72.19
450342,855,511,59.77
450343,221,147,66.52
450352,1126,797,70.78
450354,200,92,46.0
460318,664,598,90.06
460320,659,494,74.96
460322,163,123,75.46
460340,66,66,100.0
470312,1949,1280,65.67
470320,579,216,37.31
470332,677,351,51.85
470342,125,82,65.6
470442,632,377,59.65
470443,367,29,7.9
480316,86,61,70.93
480318,199,163,81.91
490307,100,97,97.0
490308,739,470,63.6
490310,118,50,42.37
490320,228,94,41.23
490327,476,273,57.35
490335,1960,1282,65.41
490338,543,379,69.8
490344,443,426,96.16
490346,997,773,77.53
490347,429,426,99.3
490349,587,465,79.22
490350,231,96,41.56
490352,370,299,80.81
490354,914,672,73.52
490355,263,100,38.02
