dance_cat,music_cat,theatre_cat,va_cat,agency_code
N,Y,Y,Y,230324
N,Y,N,Y,230328
N,Y,N,Y,230334
N,Y,N,Y,230336
N,Y,N,Y,230340
N,Y,N,Y,230342
N,Y,N,Y,230344
N,Y,N,Y,230346
N,Y,N,Y,230348
N,Y,Y,Y,230350
N,Y,N,Y,230351
N,Y,N,Y,230352
N,Y,N,Y,230355
N,Y,N,Y,230357
N,Y,Y,Y,230361
Y,Y,N,Y,230362
N,Y,N,Y,230364
N,Y,N,Y,230368
N,Y,N,Y,230370
N,Y,N,Y,230376
N,Y,N,Y,230380
N,Y,N,Y,23A000
N,Y,N,Y,240304
N,Y,N,Y,240308
N,Y,N,Y,240328
N,Y,N,Y,240330
N,Y,N,Y,240332
Y,Y,Y,Y,240334
N,Y,N,Y,240344
N,Y,N,Y,240352
N,Y,N,N,240354
N,Y,N,Y,240356
N,Y,N,Y,240368
N,Y,N,Y,240370
Y,Y,Y,Y,240371
N,Y,N,Y,240373
N,Y,N,Y,240376
Y,Y,Y,Y,240380
N,Y,N,Y,240388
N,Y,N,Y,241304
N,Y,N,Y,241308
N,Y,N,Y,241312
Y,Y,Y,Y,241316
N,Y,N,Y,241320
N,Y,N,Y,24B000
N,N,N,Y,24N000
N,Y,N,Y,250304
N,Y,N,Y,250306
N,Y,N,Y,250308
N,Y,N,Y,250312
N,Y,N,Y,250316
N,Y,Y,Y,250320
N,Y,N,Y,250321
N,Y,N,Y,250324
N,Y,N,Y,250328
Y,Y,N,Y,250332
N,Y,N,Y,250336
N,Y,N,Y,250340
N,Y,N,Y,250344
N,Y,N,Y,250348
N,Y,N,Y,250350
Y,Y,Y,Y,250356
N,Y,Y,Y,250360
N,Y,N,Y,250362
N,Y,N,Y,250364
N,Y,N,Y,250368
Y,Y,Y,Y,250372
N,Y,Y,Y,250376
N,Y,N,Y,250378
N,Y,N,Y,250380
N,Y,N,Y,260302
N,Y,N,Y,260306
N,Y,N,Y,260308
N,Y,N,Y,260310
N,Y,N,Y,260312
N,Y,N,Y,260316
Y,Y,Y,Y,260318
N,Y,N,Y,260320
N,Y,N,N,260321
Y,Y,Y,Y,260322
Y,Y,Y,Y,260325
N,Y,N,Y,260326
N,Y,Y,Y,260332
N,Y,N,Y,260336
N,Y,N,Y,260338
N,Y,N,Y,260340
N,Y,N,Y,260342
N,Y,N,Y,260344
Y,Y,Y,Y,260347
N,Y,N,Y,260348
N,Y,N,Y,260352
Y,Y,Y,Y,260354
N,Y,N,Y,260356
Y,Y,Y,Y,260357
N,Y,N,Y,260358
Y,Y,Y,Y,260359
N,Y,N,Y,260361
N,Y,N,Y,260362
N,Y,N,Y,260363
N,Y,N,Y,260364
N,Y,N,Y,260365
N,Y,N,Y,260366
N,Y,N,Y,260367
N,Y,N,Y,260368
N,Y,N,Y,260369
N,Y,N,Y,260370
N,Y,N,Y,260371
N,Y,N,N,260372
N,Y,N,Y,260373
N,Y,N,Y,260375
N,Y,N,Y,260380
N,Y,N,Y,260382
N,Y,N,Y,260383
N,Y,N,Y,260386
Y,Y,Y,Y,260388
Y,Y,Y,Y,260396
N,Y,N,Y,260397
N,Y,N,Y,260398
N,Y,N,Y,260400
N,Y,N,Y,260401
N,Y,N,Y,260402
N,Y,N,Y,260403
N,Y,N,Y,260404
N,Y,N,Y,260405
Y,Y,N,Y,260406
N,Y,N,Y,260407
Y,Y,Y,Y,260408
N,Y,N,Y,260410
Y,Y,Y,Y,260411
N,Y,N,Y,260412
N,Y,N,N,260413
N,Y,N,Y,260414
N,Y,N,Y,260415
N,Y,N,Y,260416
N,Y,N,Y,260417
N,Y,N,Y,260418
N,Y,Y,Y,260419
Y,Y,Y,Y,260424
N,Y,N,Y,260425
N,Y,N,Y,260426
Y,Y,Y,Y,260427
N,Y,N,Y,260428
N,Y,N,Y,260430
N,Y,N,Y,260432
N,Y,N,Y,260434
N,Y,N,Y,260440
N,Y,N,Y,260444
Y,Y,Y,Y,260446
N,Y,N,Y,260448
N,N,N,Y,260449
N,Y,N,Y,260450
N,Y,N,Y,260452
N,Y,N,Y,260454
Y,Y,Y,Y,260455
N,Y,N,Y,260459
N,Y,N,Y,260700
Y,Y,Y,Y,26C000
N,Y,N,N,270304
N,Y,Y,Y,270306
N,Y,N,Y,270308
N,Y,N,N,270309
N,Y,N,Y,270310
N,Y,Y,Y,270311
N,Y,N,Y,270316
N,Y,N,Y,270318
N,Y,N,N,270320
N,N,N,Y,27A000
N,Y,N,Y,280302
N,Y,Y,Y,280304
N,Y,N,N,280306
N,Y,N,Y,280308
N,Y,N,Y,280310
N,Y,N,Y,280312
N,Y,Y,Y,280316
N,Y,N,Y,280320
N,Y,N,Y,280324
N,Y,Y,Y,280328
N,Y,Y,Y,280330
N,Y,N,Y,290302
N,Y,N,Y,290306
N,Y,N,Y,290307
N,Y,N,Y,290308
N,Y,N,Y,290309
N,Y,N,Y,290310
N,Y,N,Y,290312
N,Y,N,Y,290316
N,Y,N,Y,290320
N,Y,N,Y,290322
N,Y,Y,Y,290324
N,Y,N,Y,290328
N,Y,N,Y,290330
N,Y,N,Y,290332
N,Y,N,Y,290333
N,Y,N,Y,290334
N,Y,Y,Y,290336
N,Y,N,Y,290344
N,Y,Y,Y,290348
N,Y,Y,Y,290349
N,Y,N,Y,290350
N,Y,N,Y,290351
N,Y,N,Y,290352
N,Y,N,Y,290356
N,Y,N,Y,290364
N,Y,Y,Y,290365
N,Y,N,Y,290366
N,Y,N,Y,290367
N,Y,N,Y,290375
N,Y,N,Y,290376
N,Y,N,Y,290380
N,Y,N,Y,290384
N,Y,Y,Y,290388
N,Y,N,Y,291308
N,Y,N,Y,291332
N,Y,N,Y,291336
N,Y,N,Y,291340
N,Y,N,Y,291348
N,Y,N,N,291350
N,Y,N,Y,291352
N,Y,N,Y,292316
N,Y,N,Y,292318
N,Y,N,Y,292320
N,Y,N,Y,292324
N,N,N,Y,298202
N,Y,N,Y,298203
N,N,Y,N,298204
N,N,N,Y,300306
N,Y,N,Y,300308
N,Y,N,Y,300310
Y,Y,Y,Y,300312
N,Y,N,Y,300320
N,Y,Y,Y,300325
N,Y,N,Y,300326
N,Y,N,Y,300328
N,Y,Y,Y,300330
N,Y,N,Y,300336
N,Y,Y,Y,300337
N,Y,N,Y,310304
N,Y,N,Y,310308
N,Y,N,Y,310330
N,Y,N,Y,310336
N,Y,N,Y,310338
N,Y,N,Y,310344
N,Y,N,Y,310352
N,Y,N,Y,310356
N,Y,N,Y,310360
N,Y,N,Y,310364
N,Y,N,Y,310384
N,Y,N,Y,310388
N,Y,N,Y,310392
N,Y,N,Y,320304
N,Y,N,Y,320306
N,Y,N,Y,320308
N,Y,Y,Y,320309
N,Y,N,Y,320310
Y,Y,Y,Y,320312
N,Y,N,Y,320313
N,Y,N,Y,320314
N,Y,N,Y,320315
Y,Y,N,Y,320316
Y,Y,N,Y,320318
N,Y,Y,Y,320319
N,Y,N,Y,320320
N,Y,N,Y,320322
Y,Y,Y,Y,320323
N,Y,N,Y,320324
Y,Y,Y,Y,320325
N,Y,N,Y,320327
N,Y,N,Y,320328
N,Y,Y,Y,320332
N,Y,N,Y,320338
N,Y,N,Y,320339
N,Y,N,Y,320340
N,N,N,Y,320341
N,Y,N,Y,320342
N,Y,N,Y,320343
N,N,N,Y,320344
N,Y,N,Y,320346
N,Y,N,Y,320347
N,Y,N,Y,320348
N,Y,N,Y,320352
N,Y,Y,Y,320353
N,Y,N,Y,320354
N,Y,N,Y,320355
Y,Y,Y,Y,320356
N,Y,N,Y,320360
N,Y,N,Y,320362
N,Y,N,Y,320363
N,Y,N,Y,320364
Y,Y,Y,Y,320365
N,Y,Y,Y,320366
Y,Y,N,Y,320367
Y,Y,Y,Y,320368
