agency_code,avg_class_teach_TeacherExp,pct_adv_degree_PrincipalExp,pct_adv_degree_TeacherExp,pct_experience_0_PrincipalExp,pct_experience_0_TeacherExp,pct_experience_10_PrincipalExp,pct_experience_10_TeacherExp,pct_experience_4_PrincipalExp,pct_experience_4_TeacherExp,pct_turnover_PrincipalExp,pct_turnover_TeacherExp,total_class_teach_TeacherExp
140316,31.0,,0.32299999999999995,,0.065,,0.677,,0.258,,0.0,101345.0
140324,34.0,,0.147,,0.118,,0.5589999999999999,,0.324,,0.15,101345.0
140332,37.0,,0.162,,0.243,,0.4320000000000001,,0.324,,0.214,101345.0
140336,37.0,,0.324,,0.108,,0.73,,0.162,,0.1,101345.0
140340,36.0,,0.139,,0.0,,0.722,,0.278,,0.058,101345.0
140344,18.0,,0.211,,0.316,,0.526,,0.158,,0.118,101345.0
140348,64.0,,0.156,,0.125,,0.7190000000000001,,0.156,,0.078,101345.0
140352,49.0,,0.163,,0.204,,0.551,,0.245,,0.042,101345.0
140356,44.0,,0.295,,0.068,,0.818,,0.114,,0.022,101345.0
140360,14.0,,0.14300000000000002,,0.14300000000000002,,0.5,,0.35700000000000004,,0.0,101345.0
140368,36.0,,0.222,,0.139,,0.667,,0.194,,0.054000000000000006,101345.0
140372,23.0,,0.087,,0.174,,0.652,,0.174,,0.0,101345.0
140376,12.0,,0.16699999999999998,,0.16699999999999998,,0.667,,0.16699999999999998,,0.081,101345.0
140384,26.0,,0.385,,0.115,,0.6920000000000001,,0.192,,0.0,101345.0
140386,104.0,,0.25,,0.115,,0.721,,0.163,,0.102,101345.0
140388,14.0,,0.14300000000000002,,0.214,,0.643,,0.14300000000000002,,0.065,101345.0
140390,65.0,,0.231,,0.16899999999999998,,0.631,,0.2,,0.147,101345.0
140392,12.0,,0.16699999999999998,,0.333,,0.5,,0.16699999999999998,,0.076,101345.0
140396,26.0,,0.34600000000000003,,0.077,,0.654,,0.269,,0.0,101345.0
140LEA,29.6,0.269,0.1842,0.269,0.11600000000000002,0.192,0.6344000000000001,0.5379999999999999,0.2494,0.0,0.056400000000000006,101345.0
150304,37.0,,0.27,,0.027000000000000003,,0.703,,0.27,,0.056,101345.0
150308,34.0,,0.2,,0.086,,0.7140000000000001,,0.2,,0.057,101345.0
150310,27.0,,0.214,,0.036000000000000004,,0.7859999999999999,,0.179,,0.0,101345.0
150312,22.0,,0.364,,0.045,,0.727,,0.227,,0.093,101345.0
150350,9.0,,0.111,,0.111,,0.556,,0.333,,0.0,101345.0
150LEA,25.333333333333332,0.20000000000000004,0.26966666666666667,0.4000000000000001,0.050333333333333334,0.0,0.7156666666666666,0.6,0.23333333333333336,0.20000000000000004,0.05566666666666666,101345.0
160304,10.0,,0.2,,0.2,,0.5,,0.3,,0.049,101345.0
160306,37.0,,0.21600000000000005,,0.081,,0.6759999999999999,,0.243,,0.087,101345.0
160308,37.0,,0.189,,0.158,,0.5,,0.342,,0.159,101345.0
160309,8.0,,0.125,,0.0,,0.625,,0.375,,0.25,101345.0
160310,21.0,,0.2,,0.14300000000000002,,0.5710000000000001,,0.28600000000000003,,0.1,101345.0
160311,42.0,,0.238,,0.119,,0.524,,0.35700000000000004,,0.118,101345.0
160313,44.0,,0.182,,0.114,,0.682,,0.205,,0.152,101345.0
160314,57.0,,0.25,,0.211,,0.544,,0.246,,0.075,101345.0
160316,8.0,,0.375,,0.111,,0.778,,0.111,,0.192,101345.0
160317,23.0,,0.261,,0.174,,0.522,,0.304,,0.044,101345.0
160318,37.0,,0.297,,0.135,,0.649,,0.21600000000000005,,0.158,101345.0
160322,44.0,,0.159,,0.136,,0.682,,0.182,,0.066,101345.0
160324,61.0,,0.23,,0.23,,0.4920000000000001,,0.279,,0.174,101345.0
160326,30.0,,0.333,,0.0,,0.767,,0.233,,0.103,101345.0
160332,24.0,,0.083,,0.083,,0.583,,0.333,,0.236,101345.0
