agency_code,lea,lea_name,school,school_name,indian_pct,asian_pct,hispanic_pct,black_pct,white_pct,pacific_island_pct,two_or_more_pct,minority_pct,indian_male_pct,asian_male_pct,hispanic_male_pct,black_male_pct,white_male_pct,pacific_island_male_pct,two_or_more_male_pct,minority_male_pct,indian_female_pct,asian_female_pct,hispanic_female_pct,black_female_pct,white_female_pct,minority_female_pct,pacific_island_female_pct,two_or_more_female_pct
840308,840,Stanly County Schools,308,Badin Elementary,0.008583690987124463,0.07296137339055794,0.030042918454935622,0.12446351931330472,0.6673819742489271,0.002145922746781116,0.0944206008583691,0.33261802575107297,0.004291845493562232,0.027896995708154508,0.008583690987124463,0.07081545064377683,0.3218884120171674,0.002145922746781116,0.0536480686695279,0.16738197424892703,0.004291845493562232,0.045064377682403435,0.02145922746781116,0.0536480686695279,0.34549356223175964,0.16523605150214593,0.0,0.0407725321888412
840310,840,Stanly County Schools,310,Central Elementary,0.0034423407917383822,0.04819277108433735,0.13080895008605853,0.35111876075731496,0.3855421686746988,0.0017211703958691911,0.07917383820998279,0.6144578313253012,0.0017211703958691911,0.024096385542168676,0.06540447504302926,0.20137693631669534,0.2117039586919105,0.0017211703958691911,0.04647160068846816,0.3407917383820998,0.0017211703958691911,0.024096385542168676,0.06540447504302926,0.14974182444061962,0.1738382099827883,0.2736660929432014,0.0,0.03270223752151463
840312,840,Stanly County Schools,312,Endy Elementary,0.0,0.020134228187919462,0.09731543624161074,0.02348993288590604,0.8355704697986577,0.003355704697986577,0.020134228187919462,0.1644295302013423,0.0,0.010067114093959731,0.030201342281879196,0.016778523489932886,0.46308724832214765,0.0,0.010067114093959731,0.06711409395973154,0.0,0.010067114093959731,0.06711409395973154,0.006711409395973154,0.3724832214765101,0.09731543624161074,0.003355704697986577,0.010067114093959731
840316,840,Stanly County Schools,316,East Albemarle Elementary,0.0,0.03343465045592705,0.0668693009118541,0.5592705167173252,0.2553191489361702,0.00303951367781155,0.08206686930091185,0.7446808510638298,0.0,0.02127659574468085,0.02735562310030395,0.2917933130699088,0.14285714285714285,0.00303951367781155,0.0486322188449848,0.39209726443769,0.0,0.0121580547112462,0.03951367781155015,0.2674772036474164,0.11246200607902736,0.3525835866261398,0.0,0.03343465045592705
840320,840,Stanly County Schools,320,Locust Elementary,0.004761904761904762,0.016666666666666666,0.10238095238095238,0.011904761904761904,0.8119047619047619,0.0,0.05238095238095238,0.1880952380952381,0.002380952380952381,0.004761904761904762,0.04523809523809524,0.002380952380952381,0.4119047619047619,0.0,0.02619047619047619,0.08095238095238096,0.002380952380952381,0.011904761904761904,0.05714285714285714,0.009523809523809525,0.4,0.10714285714285714,0.0,0.02619047619047619
840324,840,Stanly County Schools,324,Millingport Elementary,0.0,0.07623318385650224,0.053811659192825115,0.004484304932735426,0.8430493273542601,0.0,0.02242152466367713,0.15695067264573992,0.0,0.03587443946188341,0.017937219730941704,0.004484304932735426,0.4080717488789238,0.0,0.008968609865470852,0.06726457399103139,0.0,0.04035874439461883,0.03587443946188341,0.0,0.4349775784753363,0.08968609865470852,0.0,0.013452914798206279
840328,840,Stanly County Schools,328,North Stanly Middle,0.0020833333333333333,0.052083333333333336,0.029166666666666667,0.08333333333333333,0.775,0.0,0.058333333333333334,0.225,0.0020833333333333333,0.014583333333333334,0.022916666666666665,0.041666666666666664,0.4,0.0,0.01875,0.1,0.0,0.0375,0.00625,0.041666666666666664,0.375,0.125,0.0,0.03958333333333333
840332,840,Stanly County Schools,332,North Stanly High,0.003395585738539898,0.042444821731748725,0.025466893039049237,0.08828522920203735,0.8081494057724957,0.0,0.03225806451612903,0.19185059422750425,0.001697792869269949,0.022071307300509338,0.010186757215619695,0.03735144312393888,0.4142614601018676,0.0,0.013582342954159592,0.08488964346349745,0.001697792869269949,0.02037351443123939,0.015280135823429542,0.050933786078098474,0.3938879456706282,0.10696095076400679,0.0,0.01867572156196944
840336,840,Stanly County Schools,336,Norwood Elementary,0.0,0.00997506234413965,0.0798004987531172,0.1770573566084788,0.6932668329177057,0.0,0.0399002493765586,0.30673316708229426,0.0,0.004987531172069825,0.0399002493765586,0.10224438902743142,0.38403990024937656,0.0,0.02493765586034913,0.17206982543640897,0.0,0.004987531172069825,0.0399002493765586,0.07481296758104738,0.3092269326683292,0.13466334164588528,0.0,0.014962593516209476
840340,840,Stanly County Schools,340,Oakboro Elementary,0.0029940119760479044,0.011976047904191617,0.19461077844311378,0.02694610778443114,0.7365269461077845,0.0029940119760479044,0.023952095808383235,0.2634730538922156,0.0029940119760479044,0.005988023952095809,0.09880239520958084,0.011976047904191617,0.39820359281437123,0.0029940119760479044,0.014970059880239521,0.1377245508982036,0.0,0.005988023952095809,0.09580838323353294,0.014970059880239521,0.3383233532934132,0.12574850299401197,0.0,0.008982035928143712
