agency_code,avg_sat_score,pct_sat_participation
310338,1085.0,0.196
310344,985.0,0.211
310352,940.0,0.252
310364,964.0,0.529
310392,949.0,0.461
310LEA,966.0,0.322
320309,1091.0,0.863
320312,1102.0,0.495
320314,1090.0,0.185
320317,1038.0,0.649
320323,1148.0,0.586
320325,942.0,0.535
320353,1098.0,0.318
320356,994.0,0.511
320365,1062.0,0.37
320368,903.0,0.5
320701,952.0,0.617
320LEA,1028.0,0.498
32L000,1050.0,0.5760000000000001
32N000,1216.0,0.6809999999999999
330326,1128.0,0.472
330328,880.0,0.511
330350,942.0,0.389
330358,933.0,0.626
330LEA,954.0,0.489
33A000,1009.0,0.617
340311,1156.0,0.693
340330,884.0,0.313
340362,1215.0,0.509
340364,1045.0,0.531
340382,1034.0,0.36
340446,1053.0,0.375
340454,1111.0,0.63
340460,957.0,0.393
340486,982.0,0.349
340495,1154.0,0.6940000000000001
340496,1113.0,0.596
340542,1059.0,0.24
340556,1136.0,0.642
340568,920.0,0.65
340LEA,1090.0,0.514
34B000,873.0,1.0
34H000,1135.0,0.8
350308,1050.0,0.354
350321,1067.0,0.32
350336,1039.0,0.147
350LEA,1064.0,0.276
360310,1018.0,0.489
360336,980.0,0.236
360337,1201.0,0.218
360360,1058.0,0.303
360378,1088.0,0.481
360390,1060.0,0.431
360396,1074.0,0.4920000000000001
360418,1192.0,0.898
360428,932.0,0.387
360470,1023.0,0.294
360494,1075.0,0.659
360LEA,1063.0,0.45
36B000,1049.0,0.241
36C000,1083.0,0.5710000000000001
370312,1032.0,0.457
370LEA,1032.0,0.457
380308,1038.0,0.278
380LEA,1038.0,0.278
390322,987.0,0.258
390323,1122.0,0.638
390324,921.0,0.376
390352,1021.0,0.408
390700,1084.0,0.5379999999999999
390LEA,1024.0,0.409
39B000,1053.0,0.6809999999999999
400308,936.0,0.425
400315,1045.0,0.317
400LEA,951.0,0.405
410319,921.0,0.6779999999999999
410355,905.0,0.664
410358,975.0,0.555
410390,1059.0,0.8440000000000001
410391,1125.0,0.912
410394,1186.0,0.622
410395,1442.0,0.915
410399,1044.0,0.311
410406,1062.0,0.489
410407,962.0,0.32299999999999995
410483,1011.0,0.758
410484,966.0,0.489
410489,1165.0,0.706
410490,1173.0,0.759
410508,1109.0,0.609
410529,1064.0,0.62
410544,873.0,0.542
410545,1059.0,0.929
410547,1063.0,0.605
410556,1030.0,0.405
410562,1084.0,0.631
410569,1269.0,0.74
410579,1088.0,0.857
410589,1200.0,1.0
410595,1079.0,0.4970000000000001
410LEA,1079.0,0.598
41F000,1073.0,0.7879999999999999
41K000,1068.0,0.93
420346,874.0,0.375
420358,837.0,0.575
420LEA,854.0,0.462
421316,1015.0,0.198
421LEA,1015.0,0.198
422310,994.0,0.875
422315,839.0,0.6
422LEA,941.0,0.757
430346,1068.0,0.201
430371,1008.0,0.434
430378,1043.0,0.343
430384,1037.0,0.22
430LEA,1033.0,0.295
440378,1062.0,0.348
440390,1124.0,0.355
440LEA,1093.0,0.28600000000000003
450316,1105.0,0.276
450334,1117.0,0.563
450341,1106.0,0.209
450352,1143.0,0.465
450354,1168.0,0.183
450LEA,1124.0,0.35700000000000004
460320,886.0,0.7020000000000001
460322,1007.0,0.794
460340,876.0,0.8
460LEA,908.0,0.728
470312,959.0,0.262
470443,1121.0,0.147
470LEA,978.0,0.238
480LEA,960.0,0.37
490320,1216.0,0.205
490335,1160.0,0.73
490346,1086.0,0.313
490354,989.0,0.386
490355,1100.0,0.389
490362,1158.0,0.5920000000000001
490380,1011.0,0.11
490LEA,1130.0,0.469
491312,1116.0,0.52
491LEA,1116.0,0.52
49E000,1153.0,0.799
500340,1162.0,0.242
500LEA,1158.0,0.165
510324,1070.0,0.429
510327,1109.0,0.338
510333,1118.0,0.465
510357,1172.0,0.581
510367,1194.0,0.41
510368,1034.0,0.238
510376,1058.0,0.355
510399,1019.0,0.383
510402,1042.0,0.153
510406,1117.0,0.279
510LEA,1089.0,0.349
51A000,1140.0,0.5
520320,1059.0,0.238
520LEA,1059.0,0.238
530336,1071.0,0.34
530343,1051.0,0.348
530LEA,1063.0,0.311
540315,898.0,0.509
540324,1014.0,0.321
540336,1074.0,0.241
540LEA,976.0,0.326
550320,1104.0,0.5720000000000001
550332,1018.0,0.327
550344,1163.0,0.44
550368,1068.0,0.27
550LEA,1099.0,0.401
55A000,1120.0,0.858
560320,1093.0,0.35700000000000004
560324,1091.0,0.6
560329,1098.0,0.375
560LEA,1095.0,0.355
570318,1057.0,0.276
570LEA,1074.0,0.229
580344,1006.0,0.449
580368,1028.0,0.526
580LEA,1023.0,0.505
590328,1112.0,0.414
590330,1041.0,0.359
590LEA,1053.0,0.358
600302,1235.0,0.797
600312,1188.0,0.669
600334,1138.0,0.49
600341,1017.0,0.464
600361,1099.0,0.525
600377,1096.0,0.491
600386,985.0,0.917
600397,881.0,0.4970000000000001
600404,1140.0,0.324
600405,938.0,0.322
600415,1031.0,0.414
600426,1096.0,0.399
600443,1218.0,0.329
600445,1034.0,0.487
600457,955.0,0.477
600466,1202.0,0.612
600480,1038.0,0.5
600482,1108.0,0.667
600496,1026.0,0.667
600498,994.0,0.455
600499,1121.0,0.226
600508,1255.0,0.696
600535,1132.0,0.591
600567,1276.0,0.227
600576,885.0,0.46
600579,909.0,0.484
600592,940.0,0.404
600693,992.0,0.37
600694,1128.0,0.583
600695,938.0,0.25
600696,941.0,0.41
600697,1031.0,0.37
600LEA,1097.0,0.526
60D000,1248.0,0.8540000000000001
60G000,1090.0,0.447
60I000,1181.0,0.885
60V000,850.0,0.355
610334,1052.0,0.555
610LEA,1052.0,0.423
620316,985.0,0.551
620340,1042.0,0.146
620LEA,996.0,0.349
630332,1044.0,0.289
630336,1120.0,0.506
630360,1148.0,0.254
630LEA,1117.0,0.393
640346,1004.0,0.547
640347,1096.0,0.5670000000000001
640350,976.0,0.469
640361,1006.0,0.591
640364,1034.0,0.238
640LEA,1011.0,0.46
64A000,907.0,0.34700000000000003
650326,1108.0,0.407
650327,1117.0,0.392
650340,1208.0,0.635
650342,1181.0,0.6970000000000001
650352,1101.0,0.51
650394,1096.0,0.514
650LEA,1134.0,0.494
660336,931.0,0.267
660LEA,931.0,0.248
670320,1077.0,0.299
670324,1076.0,0.441
670333,993.0,0.219
670340,1053.0,0.271
670344,1025.0,0.316
670352,1128.0,0.232
670364,1054.0,0.474
670LEA,1059.0,0.322
680310,1159.0,0.5720000000000001
680332,1136.0,0.563
680LEA,1147.0,0.561
681305,1228.0,0.546
681308,1243.0,0.733
681314,1290.0,0.736
681LEA,1260.0,0.685
690320,1079.0,0.333
690LEA,1079.0,0.333
700317,1009.0,0.5660000000000001
700319,943.0,0.459
700LEA,980.0,0.51
710321,1029.0,0.256
710326,986.0,0.321
710327,1088.0,0.338
710342,1126.0,0.44
710LEA,1083.0,0.364
720316,1029.0,0.275
720LEA,1029.0,0.275
730352,1024.0,0.481
730LEA,1024.0,0.481
73B000,1120.0,0.457
740309,994.0,0.396
740333,1127.0,0.467
740344,969.0,0.3670000000000001
740366,1090.0,0.45
740374,986.0,0.515
740388,1039.0,0.453
740LEA,1054.0,0.45
750318,1149.0,0.222
750LEA,1157.0,0.221
760318,947.0,0.491
760339,1079.0,0.405
760348,1065.0,0.103
760354,1134.0,0.326
760358,1029.0,0.326
760380,1029.0,0.271
760388,1048.0,0.344
760LEA,1033.0,0.317
761304,1014.0,0.5529999999999999
761LEA,1014.0,0.5529999999999999
76A000,1072.0,0.28600000000000003
770348,1013.0,0.177
770LEA,1027.0,0.161
780325,910.0,0.37
780342,983.0,0.374
780391,925.0,0.343
780401,970.0,0.075
780402,888.0,0.318
780420,917.0,0.22
780LEA,943.0,0.274
790314,1028.0,0.541
790354,983.0,0.433
790366,959.0,0.525
790378,1104.0,0.322
790379,1111.0,0.14300000000000002
790LEA,1020.0,0.416
800340,1049.0,0.35100000000000003
800361,1068.0,0.382
800376,932.0,0.496
800394,1128.0,0.588
800396,1040.0,0.448
800400,1015.0,0.34600000000000003
800408,1035.0,0.424
800LEA,1036.0,0.405
810324,1043.0,0.467
810340,1019.0,0.551
810384,1044.0,0.508
810385,1179.0,0.324
810LEA,1042.0,0.479
81A000,1165.0,0.902
820348,1009.0,0.29100000000000004
820349,1002.0,0.444
820352,1113.0,0.241
820388,1020.0,0.182
820LEA,1035.0,0.253
821308,1030.0,0.557
821LEA,1030.0,0.557
830343,961.0,0.483
830348,1114.0,0.315
830LEA,972.0,0.458
840302,939.0,0.438
840332,1042.0,0.41
840356,1127.0,0.368
840361,1085.0,0.431
840368,1072.0,0.404
840LEA,1053.0,0.407
84B000,1172.0,0.991
850332,1065.0,0.381
850352,1059.0,0.447
850358,1096.0,0.39
850LEA,1080.0,0.382
860316,1128.0,0.14300000000000002
860336,1020.0,0.253
860352,1125.0,0.173
860354,1107.0,0.259
860LEA,1084.0,0.206
861308,1050.0,0.228
861LEA,1050.0,0.228
862312,1133.0,0.242
862LEA,1133.0,0.242
86T000,1195.0,0.458
870314,1128.0,0.271
870LEA,1128.0,0.252
880308,1114.0,0.418
880328,1095.0,0.414
880LEA,1109.0,0.402
890304,947.0,0.192
890LEA,947.0,0.192
900311,1180.0,0.8029999999999999
900316,969.0,0.375
900336,957.0,0.227
900342,1098.0,0.546
900344,1087.0,0.459
900348,1114.0,0.537
900360,1079.0,0.547
900366,1178.0,0.863
900367,1144.0,0.484
900377,1208.0,0.861
900393,1227.0,0.902
900LEA,1145.0,0.607
90A000,1092.0,0.8390000000000001
910364,926.0,0.693
910370,936.0,0.537
910382,1068.0,0.685
910LEA,952.0,0.56
920316,1225.0,0.725
920317,1161.0,0.8240000000000001
920318,1146.0,0.65
920348,1167.0,0.6
920368,1137.0,0.57
920386,1124.0,0.5770000000000001
920411,1003.0,0.467
920412,1257.0,0.7140000000000001
920428,1135.0,0.43
920436,1062.0,0.502
920441,1237.0,0.802
920445,1129.0,0.68
920455,1149.0,0.643
920466,961.0,0.462
920473,1169.0,0.7120000000000001
920495,1138.0,0.638
920500,1130.0,0.6779999999999999
920526,1247.0,0.785
920546,1052.0,0.502
920552,1134.0,0.569
920562,979.0,0.531
920581,1006.0,0.259
920582,1240.0,0.5329999999999999
920583,1167.0,0.625
920585,1152.0,0.677
920586,1086.0,1.0
920588,1104.0,0.604
920595,1117.0,0.755
920LEA,1150.0,0.635
92F000,1173.0,0.845
92G000,1176.0,0.355
92K000,1356.0,0.89
92P000,1106.0,0.354
92U000,1151.0,0.815
930352,938.0,0.495
930360,1131.0,0.636
930700,934.0,0.871
930LEA,968.0,0.597
940308,875.0,0.7
940316,869.0,0.909
940LEA,871.0,0.8440000000000001
94Z000,1086.0,0.14300000000000002
950336,1161.0,0.6809999999999999
950LEA,1159.0,0.537
960324,1101.0,0.328
960330,1007.0,0.403
960335,880.0,0.29600000000000004
960372,1085.0,0.19
960380,940.0,0.243
960386,1059.0,0.14300000000000002
960490,1169.0,0.333
960700,1093.0,0.349
960LEA,1032.0,0.285
970320,1064.0,0.398
970356,1102.0,0.116
970388,1114.0,0.229
970390,1139.0,0.092
970393,1102.0,0.127
970LEA,1097.0,0.182
980318,998.0,0.376
980336,1048.0,0.579
980342,1036.0,0.539
980398,1072.0,0.422
980LEA,1038.0,0.504
990322,1083.0,0.317
990326,1022.0,0.298
990LEA,1061.0,0.255
995330,1083.0,0.278
995LEA,1083.0,0.278
NATION,1049.0,
NC-SEA,1090.0,0.468
