agency_code,ccc_pct_COMP1Y_ALL_161,ccc_pct_COMP1Y_AM7_161,ccc_pct_COMP1Y_AS7_161,ccc_pct_COMP1Y_BL7_161,ccc_pct_COMP1Y_EDS_161,ccc_pct_COMP1Y_FEM_161,ccc_pct_COMP1Y_HI7_161,ccc_pct_COMP1Y_MALE_161,ccc_pct_COMP1Y_MU7_161,ccc_pct_COMP1Y_SWD_161,ccc_pct_COMP1Y_WH7_161,ccc_pct_NOCOMP1Y_ALL_161,ccc_pct_NOCOMP1Y_AM7_161,ccc_pct_NOCOMP1Y_AS7_161,ccc_pct_NOCOMP1Y_BL7_161,ccc_pct_NOCOMP1Y_EDS_161,ccc_pct_NOCOMP1Y_ELS_161,ccc_pct_NOCOMP1Y_FEM_161,ccc_pct_NOCOMP1Y_HI7_161,ccc_pct_NOCOMP1Y_MALE_161,ccc_pct_NOCOMP1Y_MU7_161,ccc_pct_NOCOMP1Y_SWD_161,ccc_pct_NOCOMP1Y_WH7_161,ccc_pct_NOINFO_ALL_161,ccc_pct_NOINFO_AM7_161,ccc_pct_NOINFO_AS7_161,ccc_pct_NOINFO_BL7_161,ccc_pct_NOINFO_EDS_161,ccc_pct_NOINFO_ELS_161,ccc_pct_NOINFO_FEM_161,ccc_pct_NOINFO_HI7_161,ccc_pct_NOINFO_MALE_161,ccc_pct_NOINFO_MU7_161,ccc_pct_NOINFO_SWD_161,ccc_pct_NOINFO_WH7_161
630332,60.0,,,,13.846153845999998,36.923076923,,23.076923076999996,,,55.384615385,32.307692308,,,7.6923076923,13.846153845999998,,15.384615385,,16.923076923,,,21.538461538000004,7.6923076923,,,,,,,,,,,6.1538461538
630336,52.230971129,,,6.56167979,9.186351706,29.921259843,,22.309711286,,,41.732283465,27.034120735,,,9.186351706,9.4488188976,,11.023622047,,16.010498688,,,15.485564304,20.734908135999998,,,5.249343832,5.7742782152,,9.9737532808,,10.761154856,,,13.385826772
630360,50.0,,,,8.5,29.0,,21.0,,,46.0,37.5,,,5.5,8.0,,21.5,,16.0,,,29.5,12.5,,,,,,,,8.5,,,10.0
630LEA,52.241112828,,,,9.42812983,30.29366306,,21.947449768000002,,,44.358578053,30.757341577,,,7.8825347759,9.42812983,,14.683153014,,16.074188563,,,20.401854714000002,17.001545595,,,,5.100463678500001,,7.5734157651,,9.42812983,,,11.746522410999999
640340,,,,,,,,,,,,95.0,,,50.0,95.0,,50.0,,50.0,,50.0,50.0,,,,,,,,,,,,
640346,52.147239264,,,17.17791411,17.17791411,29.447852761,,22.699386503000003,,,28.834355828000003,27.607361963000002,,,14.72392638,15.337423313,,14.72392638,,12.883435582999999,,,8.5889570552,20.245398772999998,,,9.8159509202,10.429447853,,10.429447853,,9.8159509202,,,7.975460122699999
640347,50.0,,,30.0,16.666666667,26.666666666999998,,23.333333333000002,,,16.666666667,20.0,,,13.333333332999999,13.333333332999999,,16.666666667,,,,,,30.0,,,13.333333332999999,13.333333332999999,,13.333333332999999,,16.666666667,,,16.666666667
640350,48.913043478,,,23.913043478000002,19.02173913,29.891304348000002,,19.02173913,,,23.913043478000002,34.782608696,,,17.391304348,17.934782609000003,,16.304347826,,18.47826087,,,15.217391304000001,16.304347826,,,9.2391304348,9.7826086957,,7.0652173913,,9.2391304348,,,5.978260869600001
640361,45.595854922,,,22.279792746,20.725388601,28.497409326,,17.098445595999998,,,16.062176166,32.642487046999996,,,20.725388601,21.243523315999997,,21.761658031,,10.880829016,,,6.2176165803,21.761658031,,,15.025906736,18.134715026,,7.7720207254,,13.989637305999999,,,
640364,49.375,,,11.875,15.625,30.0,,19.375,,,31.875,28.75,,,8.125,15.0,,13.75,,15.0,,,15.0,21.875,,,8.125,13.125,,11.25,,10.625,,,10.0
640LEA,48.770491803,,,19.535519126,18.169398907,29.234972678000002,,19.535519126,,,24.316939891,30.87431694,,,15.573770492000001,17.62295082,,16.93989071,,13.93442623,,,10.928961749,20.355191257,,,10.792349727000001,12.978142077000001,,9.1530054645,,11.202185792,,,7.1038251365999985
64A000,61.290322581000005,6.451612903200001,,25.806451613000004,19.35483871,51.61290322600001,,9.6774193548,,,29.032258065,32.258064516,,,22.580645161,25.806451613000004,,22.580645161,,9.6774193548,,9.6774193548,6.451612903200001,6.451612903200001,,,,,,,,6.451612903200001,,,
650326,47.670250896000006,,,7.8853046595,11.46953405,22.222222222,,25.448028674,,,36.559139785,36.200716846,,,11.46953405,14.695340502,,15.770609319,,20.430107527,,,22.222222222,16.129032258,,,,6.0931899642,,6.8100358423000005,,9.318996415800001,,,9.6774193548
650327,59.53307393,,,,12.840466926,35.79766537,,23.73540856,,,50.97276264600001,27.626459144000002,,,5.0583657588,12.451361868,,14.785992217999999,,12.840466926,,,21.011673152,12.840466926,,,,5.4474708171,,8.560311283999999,,,,,10.116731518
650340,64.705882353,,,14.705882353,14.705882353,35.294117647,,29.411764706,5.8823529412,,41.176470588,17.647058824000002,,,,8.8235294118,,8.8235294118,,8.8235294118,,,17.647058824000002,17.647058824000002,,,,11.764705882000001,,11.764705882000001,5.8823529412,5.8823529412,,,5.8823529412
